sequenceID	gb_subtype	rec_subtype	strain	gb_segment	rec_segment	iso_host	iso_source	iso_country	lab_host	iso_year	iso_month	iso_day	length	pubmed_id
AB093474	-	-	C/Hiroshima/247/2000	-	4	-	human throat swab from child with upper respiratory illness	Japan:Hiroshima	-	-	-	-	401	11056564
AB093475	-	-	C/Hiroshima/248/2000	-	4	-	human throat swab from child with upper respiratory illness	Japan:Hiroshima	-	-	-	-	401	11056564
AB093476	-	-	C/Hiroshima/249/2000	-	4	-	human throat swab from child with upper respiratory illness	Japan:Hiroshima	-	-	-	-	401	11056564
AB093477	-	-	C/Hiroshima/250/2000	-	4	-	human throat swab from child with bronchitis	Japan:Hiroshima	-	-	-	-	401	11056564
AB093478	-	-	C/Hiroshima/251/2000	-	4	-	human throat swab from child with bronchitis	Japan:Hiroshima	-	-	-	-	401	11056564
AB093479	-	-	C/Hiroshima/252/2000	-	4	-	human throat swab from child with bronchitis	Japan:Hiroshima	-	-	-	-	401	11056564
AB093480	-	-	C/Hiroshima/290/99	-	4	-	human throat swab from child with upper respiratory illness	Japan:Hiroshima	-	-	-	-	401	11056564
AB099410	-	-	C/Yamagata/2/99	-	4	-	-	-	-	-	-	-	1926	15310173
AB099411	-	-	C/Yamagata/9/2000	-	4	-	-	-	-	-	-	-	1926	15310173
AB099412	-	-	C/Yamagata/2/2000	-	4	-	-	-	-	-	-	-	1926	15310173
AB099413	-	-	C/Yamagata/3/2000	-	4	-	-	-	-	-	-	-	1923	15310173
AB099414	-	-	C/Yamagata/6/2000	-	4	-	-	-	-	-	-	-	1926	15310173
AB099415	-	-	C/Yamagata/8/2000	-	4	-	-	-	-	-	-	-	1926	15310173
AB099416	-	-	C/Miyagi/2/2000	-	4	-	-	-	-	-	-	-	1926	15310173
AB099417	-	-	C/Miyagi/3/2000	-	4	-	-	-	-	-	-	-	1926	15310173
AB099418	-	-	C/Miyagi/4/2000	-	4	-	-	-	-	-	-	-	1926	15310173
AB099419	-	-	C/Miyagi/5/2000	-	4	-	-	-	-	-	-	-	1926	15310173
AB099420	-	-	C/Saitama/1/2000	-	4	-	-	-	-	-	-	-	1926	15310173
AB099421	-	-	C/Saitama/2/2000	-	4	-	-	-	-	-	-	-	1923	15310173
AB099422	-	-	C/Saitama/3/2000	-	4	-	-	-	-	-	-	-	1926	15310173
AB099423	-	-	C/Hiroshima/290/99	-	4	-	-	-	-	-	-	-	1926	15310173
AB099424	-	-	C/Hiroshima/252/99	-	4	-	-	-	-	-	-	-	1926	15310173
AB099425	-	-	C/Hiroshima/249/2000	-	4	-	-	-	-	-	-	-	1926	15310173
AB099426	-	-	C/Hiroshima/246/2000	-	4	-	-	-	-	-	-	-	1926	15310173
AB099427	-	-	C/Hiroshima/247/2000	-	4	-	-	-	-	-	-	-	1926	15310173
AB099428	-	-	C/Hiroshima/248/2000	-	4	-	-	-	-	-	-	-	1926	15310173
AB099429	-	-	C/Hiroshima/250/2000	-	4	-	-	-	-	-	-	-	1926	15310173
AB099430	-	-	C/Hiroshima/251/2000	-	4	-	-	-	-	-	-	-	1926	15310173
AB099431	-	-	C/Yamagata/2/99	-	1	-	-	-	-	-	-	-	469	15310173
AB099432	-	-	C/Yamagata/9/2000	-	1	-	-	-	-	-	-	-	469	15310173
AB099433	-	-	C/Yamagata/2/2000	-	1	-	-	-	-	-	-	-	469	15310173
AB099434	-	-	C/Yamagata/3/2000	-	1	-	-	-	-	-	-	-	469	15310173
AB099435	-	-	C/Yamagata/6/2000	-	1	-	-	-	-	-	-	-	469	15310173
AB099436	-	-	C/Yamagata/8/2000	-	1	-	-	-	-	-	-	-	469	15310173
AB099437	-	-	C/Miyagi/2/2000	-	1	-	-	-	-	-	-	-	469	15310173
AB099438	-	-	C/Miyagi/3/2000	-	1	-	-	-	-	-	-	-	469	15310173
AB099439	-	-	C/Miyagi/4/2000	-	1	-	-	-	-	-	-	-	469	15310173
AB099440	-	-	C/Miyagi/5/2000	-	1	-	-	-	-	-	-	-	469	15310173
AB099441	-	-	C/Saitama/1/2000	-	1	-	-	-	-	-	-	-	469	15310173
AB099442	-	-	C/Saitama/2/2000	-	1	-	-	-	-	-	-	-	469	15310173
AB099443	-	-	C/Saitama/3/2000	-	1	-	-	-	-	-	-	-	469	15310173
AB099444	-	-	C/Hiroshima/290/99	-	1	-	-	-	-	-	-	-	469	15310173
AB099445	-	-	C/Hiroshima/252/99	-	1	-	-	-	-	-	-	-	469	15310173
AB099446	-	-	C/Hiroshima/249/2000	-	1	-	-	-	-	-	-	-	469	15310173
AB099447	-	-	C/Hiroshima/246/2000	-	1	-	-	-	-	-	-	-	469	15310173
AB099448	-	-	C/Hiroshima/247/2000	-	1	-	-	-	-	-	-	-	469	15310173
AB099449	-	-	C/Hiroshima/248/2000	-	1	-	-	-	-	-	-	-	469	15310173
AB099450	-	-	C/Hiroshima/250/2000	-	1	-	-	-	-	-	-	-	469	15310173
AB099451	-	-	C/Hiroshima/251/2000	-	1	-	-	-	-	-	-	-	469	15310173
AB099452	-	-	C/NewJersey/76	-	1	-	-	-	-	-	-	-	469	15310173
AB099453	-	-	C/California/78	-	1	-	-	-	-	-	-	-	469	15310173
AB099454	-	-	C/Kansas/1/79	-	1	-	-	-	-	-	-	-	469	15310173
AB099455	-	-	C/Greece/79	-	1	-	-	-	-	-	-	-	469	15310173
AB099456	-	-	C/Yamagata/2/99	-	2	-	-	-	-	-	-	-	376	15310173
AB099457	-	-	C/Yamagata/9/2000	-	2	-	-	-	-	-	-	-	376	15310173
AB099458	-	-	C/Yamagata/2/2000	-	2	-	-	-	-	-	-	-	376	15310173
AB099459	-	-	C/Yamagata/3/2000	-	2	-	-	-	-	-	-	-	376	15310173
AB099460	-	-	C/Yamagata/6/2000	-	2	-	-	-	-	-	-	-	376	15310173
AB099461	-	-	C/Yamagata/8/2000	-	2	-	-	-	-	-	-	-	376	15310173
AB099462	-	-	C/Miyagi/2/2000	-	2	-	-	-	-	-	-	-	376	15310173
AB099463	-	-	C/Miyagi/3/2000	-	2	-	-	-	-	-	-	-	376	15310173
AB099464	-	-	C/Miyagi/4/2000	-	2	-	-	-	-	-	-	-	376	15310173
AB099465	-	-	C/Miyagi/5/2000	-	2	-	-	-	-	-	-	-	376	15310173
AB099466	-	-	C/Saitama/1/2000	-	2	-	-	-	-	-	-	-	376	15310173
AB099467	-	-	C/Saitama/2/2000	-	2	-	-	-	-	-	-	-	376	15310173
AB099468	-	-	C/Saitama/3/2000	-	2	-	-	-	-	-	-	-	376	15310173
AB099469	-	-	C/Hiroshima/290/99	-	2	-	-	-	-	-	-	-	376	15310173
AB099470	-	-	C/Hiroshima/252/99	-	2	-	-	-	-	-	-	-	376	15310173
AB099471	-	-	C/Hiroshima/249/2000	-	2	-	-	-	-	-	-	-	376	15310173
AB099472	-	-	C/Hiroshima/246/2000	-	2	-	-	-	-	-	-	-	376	15310173
AB099473	-	-	C/Hiroshima/247/2000	-	2	-	-	-	-	-	-	-	376	15310173
AB099474	-	-	C/Hiroshima/248/2000	-	2	-	-	-	-	-	-	-	376	15310173
AB099475	-	-	C/Hiroshima/250/2000	-	2	-	-	-	-	-	-	-	376	15310173
AB099476	-	-	C/Hiroshima/251/2000	-	2	-	-	-	-	-	-	-	376	15310173
AB099477	-	-	C/NewJersey/76	-	2	-	-	-	-	-	-	-	376	15310173
AB099478	-	-	C/California/78	-	2	-	-	-	-	-	-	-	376	15310173
AB099479	-	-	C/Kansas/1/79	-	2	-	-	-	-	-	-	-	376	15310173
AB099480	-	-	C/Greece/79	-	2	-	-	-	-	-	-	-	376	15310173
AB099530	-	-	C/Yamagata/2/99	-	3	-	-	-	-	-	-	-	372	15310173
AB099531	-	-	C/Yamagata/9/2000	-	3	-	-	-	-	-	-	-	372	15310173
AB099532	-	-	C/Yamagata/2/2000	-	3	-	-	-	-	-	-	-	372	15310173
AB099533	-	-	C/Yamagata/3/2000	-	3	-	-	-	-	-	-	-	372	15310173
AB099534	-	-	C/Yamagata/6/2000	-	3	-	-	-	-	-	-	-	372	15310173
AB099535	-	-	C/Yamagata/8/2000	-	3	-	-	-	-	-	-	-	372	15310173
AB099536	-	-	C/Miyagi/2/2000	-	3	-	-	-	-	-	-	-	372	15310173
AB099537	-	-	C/Miyagi/3/2000	-	3	-	-	-	-	-	-	-	372	15310173
AB099538	-	-	C/Miyagi/4/2000	-	3	-	-	-	-	-	-	-	372	15310173
AB099539	-	-	C/Miyagi/5/2000	-	3	-	-	-	-	-	-	-	372	15310173
AB099540	-	-	C/Saitama/1/2000	-	3	-	-	-	-	-	-	-	372	15310173
AB099541	-	-	C/Saitama/2/2000	-	3	-	-	-	-	-	-	-	372	15310173
AB099542	-	-	C/Saitama/3/2000	-	3	-	-	-	-	-	-	-	372	15310173
AB099543	-	-	C/Hiroshima/290/99	-	3	-	-	-	-	-	-	-	372	15310173
AB099544	-	-	C/Hiroshima/252/99	-	3	-	-	-	-	-	-	-	372	15310173
AB099545	-	-	C/Hiroshima/249/2000	-	3	-	-	-	-	-	-	-	372	15310173
AB099546	-	-	C/Hiroshima/246/2000	-	3	-	-	-	-	-	-	-	372	15310173
AB099547	-	-	C/Hiroshima/247/2000	-	3	-	-	-	-	-	-	-	372	15310173
AB099548	-	-	C/Hiroshima/248/2000	-	3	-	-	-	-	-	-	-	372	15310173
AB099549	-	-	C/Hiroshima/250/2000	-	3	-	-	-	-	-	-	-	372	15310173
AB099550	-	-	C/Hiroshima/251/2000	-	3	-	-	-	-	-	-	-	372	15310173
AB099551	-	-	C/NewJersey/76	-	3	-	-	-	-	-	-	-	372	15310173
AB099552	-	-	C/California/78	-	3	-	-	-	-	-	-	-	372	15310173
AB099553	-	-	C/Kansas/1/79	-	3	-	-	-	-	-	-	-	372	15310173
AB099554	-	-	C/Greece/79	-	3	-	-	-	-	-	-	-	372	15310173
AB099555	-	-	C/Yamagata/2/99	-	5	-	-	-	-	-	-	-	600	15310173
AB099556	-	-	C/Yamagata/9/2000	-	5	-	-	-	-	-	-	-	600	15310173
AB099557	-	-	C/Yamagata/2/2000	-	5	-	-	-	-	-	-	-	600	15310173
AB099558	-	-	C/Yamagata/3/2000	-	5	-	-	-	-	-	-	-	600	15310173
AB099559	-	-	C/Yamagata/6/2000	-	5	-	-	-	-	-	-	-	600	15310173
AB099560	-	-	C/Yamagata/8/2000	-	5	-	-	-	-	-	-	-	600	15310173
AB099561	-	-	C/Miyagi/2/2000	-	5	-	-	-	-	-	-	-	600	15310173
AB099562	-	-	C/Miyagi/3/2000	-	5	-	-	-	-	-	-	-	600	15310173
AB099563	-	-	C/Miyagi/4/2000	-	5	-	-	-	-	-	-	-	600	15310173
AB099564	-	-	C/Miyagi/5/2000	-	5	-	-	-	-	-	-	-	600	15310173
AB099565	-	-	C/Saitama/1/2000	-	5	-	-	-	-	-	-	-	600	15310173
AB099566	-	-	C/Saitama/2/2000	-	5	-	-	-	-	-	-	-	600	15310173
AB099567	-	-	C/Saitama/3/2000	-	5	-	-	-	-	-	-	-	600	15310173
AB099568	-	-	C/Hiroshima/290/99	-	5	-	-	-	-	-	-	-	600	15310173
AB099569	-	-	C/Hiroshima/252/99	-	5	-	-	-	-	-	-	-	600	15310173
AB099570	-	-	C/Hiroshima/249/2000	-	5	-	-	-	-	-	-	-	600	15310173
AB099571	-	-	C/Hiroshima/246/2000	-	5	-	-	-	-	-	-	-	600	15310173
AB099572	-	-	C/Hiroshima/247/2000	-	5	-	-	-	-	-	-	-	600	15310173
AB099573	-	-	C/Hiroshima/248/2000	-	5	-	-	-	-	-	-	-	600	15310173
AB099574	-	-	C/Hiroshima/250/2000	-	5	-	-	-	-	-	-	-	600	15310173
AB099575	-	-	C/Hiroshima/251/2000	-	5	-	-	-	-	-	-	-	600	15310173
AB099576	-	-	C/NewJersey/76	-	5	-	-	-	-	-	-	-	600	15310173
AB099577	-	-	C/Kansas/1/79	-	5	-	-	-	-	-	-	-	600	15310173
AB099578	-	-	C/Greece/79	-	5	-	-	-	-	-	-	-	600	15310173
AB099579	-	-	C/Yamagata/2/99	-	6	-	-	-	-	-	-	-	1122	15310173
AB099580	-	-	C/Yamagata/9/2000	-	6	-	-	-	-	-	-	-	1122	15310173
AB099581	-	-	C/Yamagata/2/2000	-	6	-	-	-	-	-	-	-	1122	15310173
AB099582	-	-	C/Yamagata/3/2000	-	6	-	-	-	-	-	-	-	1122	15310173
AB099583	-	-	C/Yamagata/6/2000	-	6	-	-	-	-	-	-	-	1122	15310173
AB099584	-	-	C/Yamagata/8/2000	-	6	-	-	-	-	-	-	-	1122	15310173
AB099585	-	-	C/Miyagi/2/2000	-	6	-	-	-	-	-	-	-	1122	15310173
AB099586	-	-	C/Miyagi/3/2000	-	6	-	-	-	-	-	-	-	1122	15310173
AB099587	-	-	C/Miyagi/4/2000	-	6	-	-	-	-	-	-	-	1122	15310173
AB099588	-	-	C/Miyagi/5/2000	-	6	-	-	-	-	-	-	-	1122	15310173
AB099589	-	-	C/Saitama/1/2000	-	6	-	-	-	-	-	-	-	1122	15310173
AB099590	-	-	C/Saitama/2/2000	-	6	-	-	-	-	-	-	-	1122	15310173
AB099591	-	-	C/Saitama/3/2000	-	6	-	-	-	-	-	-	-	1122	15310173
AB099592	-	-	C/Hiroshima/290/99	-	6	-	-	-	-	-	-	-	1122	15310173
AB099593	-	-	C/Hiroshima/252/99	-	6	-	-	-	-	-	-	-	1122	15310173
AB099594	-	-	C/Hiroshima/249/2000	-	6	-	-	-	-	-	-	-	1122	15310173
AB099595	-	-	C/Hiroshima/246/2000	-	6	-	-	-	-	-	-	-	1122	15310173
AB099596	-	-	C/Hiroshima/247/2000	-	6	-	-	-	-	-	-	-	1122	15310173
AB099597	-	-	C/Hiroshima/248/2000	-	6	-	-	-	-	-	-	-	1122	15310173
AB099598	-	-	C/Hiroshima/250/2000	-	6	-	-	-	-	-	-	-	1122	15310173
AB099599	-	-	C/Hiroshima/251/2000	-	6	-	-	-	-	-	-	-	1122	15310173
AB099600	-	-	C/NewJersey/76	-	6	-	-	-	-	-	-	-	1122	15310173
AB099601	-	-	C/Kansas/1/79	-	6	-	-	-	-	-	-	-	1122	15310173
AB099602	-	-	C/Greece/79	-	6	-	-	-	-	-	-	-	1122	15310173
AB099603	-	-	C/Yamagata/2/99	-	7	-	-	-	-	-	-	-	862	15310173
AB099604	-	-	C/Yamagata/9/2000	-	7	-	-	-	-	-	-	-	862	15310173
AB099605	-	-	C/Yamagata/2/2000	-	7	-	-	-	-	-	-	-	862	15310173
AB099606	-	-	C/Yamagata/3/2000	-	7	-	-	-	-	-	-	-	862	15310173
AB099607	-	-	C/Yamagata/6/2000	-	7	-	-	-	-	-	-	-	862	15310173
AB099608	-	-	C/Yamagata/8/2000	-	7	-	-	-	-	-	-	-	862	15310173
AB099609	-	-	C/Miyagi/2/2000	-	7	-	-	-	-	-	-	-	862	15310173
AB099610	-	-	C/Miyagi/3/2000	-	7	-	-	-	-	-	-	-	862	15310173
AB099611	-	-	C/Miyagi/4/2000	-	7	-	-	-	-	-	-	-	862	15310173
AB099612	-	-	C/Miyagi/5/2000	-	7	-	-	-	-	-	-	-	862	15310173
AB099613	-	-	C/Saitama/1/2000	-	7	-	-	-	-	-	-	-	862	15310173
AB099614	-	-	C/Saitama/2/2000	-	7	-	-	-	-	-	-	-	862	15310173
AB099615	-	-	C/Saitama/3/2000	-	7	-	-	-	-	-	-	-	862	15310173
AB099616	-	-	C/Hiroshima/290/99	-	7	-	-	-	-	-	-	-	862	15310173
AB099617	-	-	C/Hiroshima/252/99	-	7	-	-	-	-	-	-	-	862	15310173
AB099618	-	-	C/Hiroshima/249/2000	-	7	-	-	-	-	-	-	-	862	15310173
AB099619	-	-	C/Hiroshima/246/2000	-	7	-	-	-	-	-	-	-	862	15310173
AB099620	-	-	C/Hiroshima/247/2000	-	7	-	-	-	-	-	-	-	862	15310173
AB099621	-	-	C/Hiroshima/248/2000	-	7	-	-	-	-	-	-	-	862	15310173
AB099622	-	-	C/Hiroshima/250/2000	-	7	-	-	-	-	-	-	-	862	15310173
AB099623	-	-	C/Hiroshima/251/2000	-	7	-	-	-	-	-	-	-	862	15310173
AB099624	-	-	C/NewJersey/76	-	7	-	-	-	-	-	-	-	862	15310173
AB099625	-	-	C/California/78	-	7	-	-	-	-	-	-	-	862	15310173
AB099626	-	-	C/Kansas/1/79	-	7	-	-	-	-	-	-	-	862	15310173
AB099627	-	-	C/Greece/79	-	7	-	-	-	-	-	-	-	862	15310173
AB126191	-	-	C/Ann Arbor/1/50	1	1	-	-	-	-	-	-	-	2365	15218173
AB126192	-	-	C/Ann Arbor/1/50	2	2	-	-	-	-	-	-	-	2363	15218173
AB126193	-	-	C/Ann Arbor/1/50	3	3	-	-	-	-	-	-	-	2183	15218173
AB126194	-	-	C/Ann Arbor/1/50	4	4	-	-	-	-	-	-	-	2073	15218173
AB126195	-	-	C/Ann Arbor/1/50	5	5	-	-	-	-	-	-	-	1807	15218173
AB126196	-	-	C/Ann Arbor/1/50	6	6	-	-	-	-	-	-	-	1180	15218173
AB182357	-	-	C/Aichi/1/99	-	4	-	-	-	-	-	-	-	1926	15695727
AB182358	-	-	C/Aichi/1/99	-	1	-	-	-	-	-	-	-	469	15695727
AB182359	-	-	C/Aichi/1/99	-	2	-	-	-	-	-	-	-	376	15695727
AB182360	-	-	C/Aichi/1/99	-	3	-	-	-	-	-	-	-	372	15695727
AB182361	-	-	C/Aichi/1/99	-	5	-	-	-	-	-	-	-	600	15695727
AB182362	-	-	C/Aichi/1/99	-	6	-	-	-	-	-	-	-	1122	15695727
AB182363	-	-	C/Aichi/1/99	-	7	-	-	-	-	-	-	-	862	15695727
AB219076	-	-	C/Miyagi/3/92	-	4	-	-	-	-	-	-	-	1926	16586359
AB219077	-	-	C/Miyagi/3/97	-	4	-	-	-	-	-	-	-	1926	16586359
AB219078	-	-	C/Miyagi/4/97	-	4	-	-	-	-	-	-	-	1926	16586359
AB219079	-	-	C/Yamagata/20/2004	-	4	-	-	-	-	-	-	-	1926	16586359
AB219080	-	-	C/Yamagata/21/2004	-	4	-	-	-	-	-	-	-	1926	16586359
AB252153	-	-	C/Yamagata/3/2004	4	4	-	-	Japan:Yamagata	-	-	-	-	1926	17215347
AB252154	-	-	C/Yamagata/15/2004	4	4	-	-	Japan:Yamagata	-	-	-	-	1926	17215347
AB252155	-	-	C/Yamagata/27/2004	-	4	-	-	Japan:Yamagata	-	-	-	-	1926	17215347
AB252156	-	-	C/Miyagi/12/2004	4	4	-	-	Japan:Miyagi	-	-	-	-	1926	17215347
AB252157	-	-	C/Miyagi/42/2004	4	4	-	-	Japan:Miyagi	-	-	-	-	1926	17215347
AB252158	-	-	C/Niigata/1/2004	4	4	-	-	Japan:Niigata	-	-	-	-	1926	17215347
AB252159	-	-	C/Fukushima/1/2004	4	4	-	-	Japan:Fukushima	-	-	-	-	1926	17215347
AB252160	-	-	C/Saitama/1/2004	4	4	-	-	Japan:Saitama	-	-	-	-	1923	17215347
AB252161	-	-	C/Kanagawa/2/2004	4	4	-	-	Japan:Kanagawa	-	-	-	-	1926	17215347
AB252162	-	-	C/Osaka/2/2004	4	4	-	-	Japan:Osaka	-	-	-	-	1926	17215347
AB252163	-	-	C/Hiroshima/4/2004	4	4	-	-	Japan:Hiroshima	-	-	-	-	1926	17215347
AB252164	-	-	C/Fukuoka/2/2004	4	4	-	-	Japan:Fukuoka	-	-	-	-	1926	17215347
AB252165	-	-	C/Fukuoka/3/2004	4	4	-	-	Japan:Fukuoka	-	-	-	-	1926	17215347
AB283001	-	-	C/Ann Arbor/1/50	7	7	-	-	USA	-	1950	-	-	935	17537859
AB684308	-	-	C/Johannesburg/4/67	5	5	-	-	South Africa	-	-	-	-	1754	22398038
AB684309	-	-	C/NewJersey/76	5	5	-	-	USA	-	-	-	-	1754	22398038
AB684310	-	-	C/Greece/79	5	5	-	-	Greece	-	-	-	-	1754	22398038
AB684311	-	-	C/Yamagata/3/2000	5	5	-	-	Japan:Yamagata	-	2000	FEB	2	1754	22398038
AB684312	-	-	C/Miyagi/4/2002	5	5	-	-	Japan:Miyagi	-	2002	JAN	24	1754	22398038
AB684313	-	-	C/Yamagata/15/2004	5	5	-	-	Japan:Yamagata	-	2004	MAY	11	1754	22398038
AB684314	-	-	C/Yamagata/3/2005	5	5	-	-	Japan:Yamagata	-	2005	SEP	7	1754	22398038
AB684315	-	-	C/Yamagata/1/2007	5	5	-	-	Japan:Yamagata	-	2007	JAN	17	1754	22398038
AB684316	-	-	C/Yamagata/2/2010	5	5	-	-	Japan:Yamagata	-	2010	FEB	9	1754	22398038
AB751364	-	-	C/Mie/186/2012	4	4	-	-	Japan: Mie	-	-	-	-	1021	24647258
AB751365	-	-	C/Mie/277/2012	4	4	-	-	Japan: Mie	-	-	-	-	1021	24647258
AB751594	-	-	C/Mie/275/2012	4	4	-	-	Japan: Mie	-	-	-	-	902	24647258
AB751595	-	-	C/Mie/265/2012	4	4	-	-	Japan: Mie	-	-	-	-	1020	24647258
AB751596	-	-	C/Mie/199/2012egg	4	4	-	-	Japan: Mie	-	-	-	-	1005	24647258
AB751597	-	-	C/Mie/193/2012	4	4	-	-	Japan: Mie	-	-	-	-	1010	24647258
AB751598	-	-	C/Mie/185/2012	4	4	-	-	Japan: Mie	-	-	-	-	902	24647258
AB751599	-	-	C/Mie/204/2012	4	4	-	-	Japan: Mie	-	-	-	-	1851	24647258
AB751600	-	-	C/Mie/67/2012	4	4	-	-	Japan: Mie	-	-	-	-	1041	24647258
AB751601	-	-	C/Mie/198/2012	4	4	-	-	Japan: Mie	-	-	-	-	973	24647258
AB751602	-	-	C/Mie/182/2012	4	4	-	-	Japan: Mie	-	-	-	-	902	24647258
AB751603	-	-	C/Mie/180/2012	4	4	-	-	Japan: Mie	-	-	-	-	1934	24647258
AF102026	-	-	C/Ann Arbor/1/50	-	7	-	-	-	-	-	-	-	741	9918879
AF102027	-	-	C/Ann Arbor/1/50	-	7	-	-	-	-	-	-	-	741	9918879
AF170573	-	-	C/Johannesburg/1/66	5	5	-	-	South Africa: Johannesburg	-	-	-	-	1802	10600605
AF170574	-	-	C/Johannesburg/1/66	3	3	-	-	South Africa: Johannesburg	-	-	-	-	2183	10600605
AF170575	-	-	C/Johannesburg/1/66	2	2	-	-	South Africa: Johannesburg	-	-	-	-	2363	10600605
AF170576	-	-	C/Johannesburg/1/66	1	1	-	-	South Africa: Johannesburg	-	-	-	-	2365	10600605
AM410041	-	-	C/Johannesburg/1/66	4	4	-	-	-	-	-	-	-	2073	17686850
AM410042	-	-	C/Johannesburg/1/66	6	6	-	-	-	-	-	-	-	1180	17686850
AM410043	-	-	C/Johannesburg/1/66	7	7	-	-	-	-	-	-	-	935	17686850
AX035437	-	-	-	-	-	-	-	-	-	-	-	-	12	-
AX035443	-	-	-	-	-	-	-	-	-	-	-	-	13	-
AX100746	-	-	-	-	-	-	-	-	-	-	-	-	12	-
AX100749	-	-	-	-	-	-	-	-	-	-	-	-	13	-
AX100756	-	-	-	-	-	-	-	-	-	-	-	-	44	-
AX352659	-	-	-	-	-	-	-	-	-	-	-	-	12	-
AX352664	-	-	-	-	-	-	-	-	-	-	-	-	13	-
AX362217	-	-	-	-	-	-	-	-	-	-	-	-	12	-
AX362222	-	-	-	-	-	-	-	-	-	-	-	-	13	-
AX428930	-	-	-	-	-	-	-	-	-	-	-	-	12	-
AX428935	-	-	-	-	-	-	-	-	-	-	-	-	13	-
AX512612	-	-	-	-	-	-	-	-	-	-	-	-	12	-
AX512618	-	-	-	-	-	-	-	-	-	-	-	-	13	-
AX522263	-	-	-	-	-	-	-	-	-	-	-	-	12	-
AX522269	-	-	-	-	-	-	-	-	-	-	-	-	13	-
AY880247	-	-	C/JHB/1/66	4	4	-	-	South Africa	-	-	-	-	2073	-
BD269488	-	-	-	-	-	-	-	-	-	-	-	-	12	-
BD269494	-	-	-	-	-	-	-	-	-	-	-	-	13	-
BD460836	-	-	-	-	-	-	-	-	-	-	-	-	12	-
BD460841	-	-	-	-	-	-	-	-	-	-	-	-	13	-
D00028	-	-	Taylor/1233/47	7	7	-	-	-	-	-	-	-	894	2943076
D00029	-	-	Ann Arbor/1/50	-	7	-	-	-	-	-	-	-	894	2943076
D00030	-	-	Great Lakes/1167/54	-	7	-	-	-	-	-	-	-	894	2943076
D00031	-	-	Johannesburg/1/66	-	7	-	-	-	-	-	-	-	894	2943076
D00032	-	-	Mississippi/80	-	7	-	-	-	-	-	-	-	894	2943076
D00033	-	-	Yamagata/10/81	-	7	-	-	-	-	-	-	-	894	2943076
D00034	-	-	England/892/83	-	7	-	-	-	-	-	-	-	894	2943076
D16258	-	-	Yamagata/64	6	6	-	-	-	-	-	-	-	1154	7996141
D16259	-	-	Aomori/74	6	6	-	-	-	-	-	-	-	1153	7996141
D16260	-	-	Aichi/1/81	6	6	-	-	-	-	-	-	-	1154	7996141
D16261	-	-	Yamagata/1/88	6	6	-	-	-	-	-	-	-	1156	7996141
D26546	-	-	Taylor/1233/47	6	6	-	-	-	-	-	-	-	1147	8128618
D28967	-	-	C/Yamagata/7/88	4	4	-	-	-	-	-	-	-	1999	8030242
D28968	-	-	C/Yamagata/8/88	4	4	-	-	-	-	-	-	-	2012	8030242
D28969	-	-	C/Yamagata/9/88	4	4	-	-	-	-	-	-	-	2023	8030242
D28970	-	-	C/Aichi/1/81	4	4	-	-	-	-	-	-	-	1997	8030242
D28971	-	-	C/Yamagata/26/81	4	4	-	-	-	-	-	-	-	2019	8030242
D30691	-	-	C/Nara/1/85	2	2	-	-	-	-	-	-	-	342	7996155
D30692	-	-	C/Nara/2/85	7	7	-	-	-	-	-	-	-	340	7996155
D30693	-	-	C/Nara/82	5	5	-	-	-	-	-	-	-	500	7996155
D30694	-	-	C/Nara/1/85	1	1	-	-	-	-	-	-	-	379	7996155
D30695	-	-	C/Nara/2/85	3	3	-	-	-	-	-	-	-	259	7996155
D30696	-	-	C/Nara/82	7	7	-	-	-	-	-	-	-	340	7996155
D30697	-	-	C/Nara/2/85	4	4	-	-	-	-	-	-	-	1987	7996155
D30698	-	-	C/Nara/2/85	2	2	-	-	-	-	-	-	-	342	7996155
D30699	-	-	C/Nara/82	3	3	-	-	-	-	-	-	-	259	7996155
D30700	-	-	C/Nara/2/85	1	1	-	-	-	-	-	-	-	379	7996155
D30701	-	-	C/Nara/2/85	6	6	-	-	-	-	-	-	-	369	7996155
D30702	-	-	C/Nara/82	2	2	-	-	-	-	-	-	-	342	7996155
D30703	-	-	C/Nara/2/85	5	5	-	-	-	-	-	-	-	500	7996155
D30704	-	-	C/Nara/82	6	6	-	-	-	-	-	-	-	369	7996155
D30705	-	-	C/Nara/82	1	1	-	-	-	-	-	-	-	379	7996155
D30706	-	-	C/Nara/1/85	3	3	-	-	-	-	-	-	-	259	7996155
D30707	-	-	C/Nara/1/85	7	7	-	-	-	-	-	-	-	340	7996155
D30708	-	-	C/Nara/1/85	5	5	-	-	-	-	-	-	-	500	7996155
D30709	-	-	C/Nara/1/85	6	6	-	-	-	-	-	-	-	369	7996155
D49361	-	-	C/Yamagata/10/89	4	4	-	-	-	-	-	-	-	1983	8578866
D63467	-	-	C/Yamagata/64	-	4	-	-	-	-	-	-	-	1976	8627255
D63468	-	-	C/Sapporo/71	-	4	-	-	-	-	-	-	-	1995	8627255
D63469	-	-	C/Aomori/74	-	4	-	-	-	-	-	-	-	2020	8627255
D63470	-	-	C/Kanagawa/1/76	-	4	-	-	-	-	-	-	-	2007	8627255
D63471	-	-	C/Miyagi/77	-	4	-	-	-	-	-	-	-	1974	8627255
D63472	-	-	C/Kyoto/1/79	-	4	-	-	-	-	-	-	-	2027	8627255
