sequenceID	source.name	gb_segment	rec_subtype	full_name	isolate.gb_subtype
MN988215	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H2N3
MW109585	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H6N6
MW333287	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H5N8
MW342701	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H5N8
MW547649	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H10N9
MW848662	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H1N2
MW857527	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H11N7
MW875656	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H4N9
MW876044	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H11N3
MW876094	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H12N1
MZ565045	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H5N2
MZ565341	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H5N2
MZ565613	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H2N7
MZ945741	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H1N2
NC_002019	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	H1N1
NC_007369	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/New York/392/2004(H3N2))	H3N2
OL370768	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H12N5
OL371256	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H5N9
OL371512	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H9N5
OL371656	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H1N7
OM373271	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H10N8
OM966129	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H10N9
CY005135	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/ruddy turnstone/DE/510/1988(H9N6))	H9N6
CY005366	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/ruddy turnstone/Delaware/97/2000(H12N5))	H12N5
CY067680	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/blue-winged teal/Guatemala/CIP049-02/2008(H7N9))	H7N9
CY075056	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/swine/Guangxi/10/2007(H9N2))	H9N2
CY079173	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/northern pintail/Interior Alaska/8BM3731/2008(H3N8))	H3N8
CY096650	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/blue-winged teal/Guatemala/CIP049-04/2010(H8N4))	H8N4
CY241065	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/environment/New Jersey/UGAI16-1117/2016(H10N2))	H10N2
DQ376696	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/chicken/Taiwan/0705/99(H6N1))	H6N1
EU030986	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/laughing gull/Delaware Bay/42/2006(H7N3))	H7N3
GQ247863	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/duck/England/1/1956(H11N6))	H11N6
KU322399	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/Parma/58/2012(H3N2))	H3N2
KX977605	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/mallard duck/Netherlands/1/2007(H10N7))	H10N7
KX978763	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/mallard duck/Netherlands/2/2009(H7N7))	H7N7
KX978990	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/black-headed gull/Netherlands/10/2010(H13N8))	HXN8
KY415716	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/Pigeon/Longquan/LQ67/2016(H2N8))	H2N8
KY635787	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/duck/Bangladesh/24692/2015(H7N1))	H7N1
KY644185	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/blackish oystercatcher/Chile/C6534/2016(H2N2))	H2N2
KY990770	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/mallard duck/California/UCD470/2016(H12N5))	H12N5
LC029899	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/duck/Hokkaido/207/2014(H8N2))	H8N2
LC371844	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/duck/Hokkaido/95/2001(H2N2))	H2N2
LC431478	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/duck/Alaska/5111/1994(H2N3))	H2N3
MF147318	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/black-headed gull/Netherlands/57/2012(H13N6))	HXN6
MF147444	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/black-headed gull/Netherlands/2/2008(H13N8))	HXN8
MF959949	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/mallard duck/Netherlands/3/2001(H3N6))	H3N6
MF978416	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/feline/New York/WVDL-16/2016(H7N2))	H7N2
MG668925	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/Thailand/NBL1/2006(H5N1))	H5N1
MH134707	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H12N5
MH502284	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H10N2
MH569265	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H3N7
MH578787	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H12N1
MH579126	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H11N8
MH579131	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H9N1
MH596894	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H11N1
MH598159	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H12N5
MK268559	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H3N2
MN055193	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H11N2
MN988216	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H2N3
MW109586	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H6N6
MW333288	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H5N8
MW342702	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H5N8
MW547707	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H10N9
MW848668	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H1N2
MW857528	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H11N7
MW875657	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H4N9
MW876047	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H11N3
MW876096	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H12N1
MZ565046	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H5N2
MZ565342	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H5N2
MZ565612	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H2N7
MZ945742	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H1N2
NC_002018	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	H1N1
NC_007368	iav-ncbi-refseqs-seg6	6	-	Influenza A virus (A/New York/392/2004(H3N2))	H3N2
OL370769	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H12N5
OL371257	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H5N9
OL371513	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H9N5
OL371657	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H1N7
OM373272	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H10N8
OM966134	iav-ncbi-refseqs-seg6	6	-	Influenza A virus	H10N9
CY005134	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/ruddy turnstone/DE/510/1988(H9N6))	H9N6
CY005365	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/ruddy turnstone/Delaware/97/2000(H12N5))	H12N5
CY014680	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/duck/England/1/1956(H11N6))	H11N6
CY067681	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/blue-winged teal/Guatemala/CIP049-02/2008(H7N9))	H7N9
CY075057	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/swine/Guangxi/10/2007(H9N2))	H9N2
CY079172	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/northern pintail/Interior Alaska/8BM3731/2008(H3N8))	H3N8
CY096651	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/blue-winged teal/Guatemala/CIP049-04/2010(H8N4))	H8N4
CY241064	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/environment/New Jersey/UGAI16-1117/2016(H10N2))	H10N2
DQ376659	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/chicken/Taiwan/0705/99(H6N1))	H6N1
EU030987	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/laughing gull/Delaware Bay/42/2006(H7N3))	H7N3
KJ907481	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/Thailand/NBL1/2006(H5N1))	H5N1
KU322442	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/Parma/58/2012(H3N2))	H3N2
KX978014	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/black-headed gull/Netherlands/10/2010(H13N8))	HXN8
KX978780	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/mallard duck/Netherlands/1/2007(H10N7))	H10N7
KX979181	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/mallard duck/Netherlands/2/2009(H7N7))	H7N7
KY415672	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/Pigeon/Longquan/LQ67/2016(H2N8))	H2N8
KY635810	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/duck/Bangladesh/24692/2015(H7N1))	H7N1
KY709692	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/blackish oystercatcher/Chile/C6534/2016(H2N2))	H2N2
KY990765	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/mallard duck/California/UCD470/2016(H12N5))	H12N5
LC371821	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/duck/Hokkaido/207/2014(H8N2))	H8N2
LC371845	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/duck/Hokkaido/95/2001(H2N2))	H2N2
LC431479	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/duck/Alaska/5111/1994(H2N3))	H2N3
MF146835	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/black-headed gull/Netherlands/57/2012(H13N6))	HXN6
MF147812	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/black-headed gull/Netherlands/2/2008(H13N8))	HXN8
MF959942	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/mallard duck/Netherlands/3/2001(H3N6))	H3N6
MF978415	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/feline/New York/WVDL-16/2016(H7N2))	H7N2
MH134607	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H12N5
MH502283	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H10N2
MH569266	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H3N7
MH578808	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H11N8
MH579025	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H9N1
MH579081	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H12N1
MH596893	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H11N1
MH598158	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H12N5
MK268561	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H3N2
MN055192	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H11N2
MN988217	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H2N3
MW109587	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H6N6
MW333289	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H5N8
MW342703	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H5N8
MW547736	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H10N9
MW848666	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H1N2
MW857529	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H11N7
MW875658	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H4N9
MW876045	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H11N3
MW876093	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H12N1
MZ565047	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H5N2
MZ565343	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H5N2
MZ565611	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H2N7
MZ945743	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H1N2
NC_002016	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	H1N1
NC_007367	iav-ncbi-refseqs-seg7	7	-	Influenza A virus (A/New York/392/2004(H3N2))	H3N2
OL370770	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H12N5
OL371258	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H5N9
OL371514	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H9N5
OL371658	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H1N7
OM373273	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H10N8
OM966128	iav-ncbi-refseqs-seg7	7	-	Influenza A virus	H10N9
CY005137	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/ruddy turnstone/DE/510/1988(H9N6))	H9N6
CY005368	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/ruddy turnstone/Delaware/97/2000(H12N5))	H12N5
CY067682	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/blue-winged teal/Guatemala/CIP049-02/2008(H7N9))	H7N9
CY075058	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/swine/Guangxi/10/2007(H9N2))	H9N2
CY079175	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/northern pintail/Interior Alaska/8BM3731/2008(H3N8))	H3N8
CY096652	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/blue-winged teal/Guatemala/CIP049-04/2010(H8N4))	H8N4
CY130066	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/duck/England/1/1956(H11N6))	H11N6
CY241067	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/environment/New Jersey/UGAI16-1117/2016(H10N2))	H10N2
DQ376768	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/chicken/Taiwan/0705/99(H6N1))	H6N1
EU030988	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/laughing gull/Delaware Bay/42/2006(H7N3))	H7N3
KU322485	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/Parma/58/2012(H3N2))	H3N2
KX978582	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/mallard duck/Netherlands/2/2009(H7N7))	H7N7
KX979221	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/black-headed gull/Netherlands/10/2010(H13N8))	HXN8
KX979276	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/mallard duck/Netherlands/1/2007(H10N7))	H10N7
KY415936	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/Pigeon/Longquan/LQ67/2016(H2N8))	H2N8
KY635768	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/duck/Bangladesh/24692/2015(H7N1))	H7N1
KY709699	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/blackish oystercatcher/Chile/C6534/2016(H2N2))	H2N2
KY990785	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/mallard duck/California/UCD470/2016(H12N5))	H12N5
LC371822	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/duck/Hokkaido/207/2014(H8N2))	H8N2
LC371846	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/duck/Hokkaido/95/2001(H2N2))	H2N2
LC431480	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/duck/Alaska/5111/1994(H2N3))	H2N3
MF145791	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/black-headed gull/Netherlands/57/2012(H13N6))	HXN6
MF147504	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/black-headed gull/Netherlands/2/2008(H13N8))	HXN8
MF959996	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/mallard duck/Netherlands/3/2001(H3N6))	H3N6
MF978418	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/feline/New York/WVDL-16/2016(H7N2))	H7N2
MG668935	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/Thailand/NBL1/2006(H5N1))	H5N1
MH134670	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H12N5
MH502286	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H10N2
MH569267	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H3N7
MH578894	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H9N1
MH579079	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H12N1
MH596897	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H11N1
MH598161	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H12N5
MH613324	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H11N8
MK077428	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H3N2
MN055190	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H11N2
MN988218	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H2N3
MW109588	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H6N6
MW333290	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H5N8
MW342704	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H5N8
MW547765	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H10N9
MW848664	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H1N2
MW857530	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H11N7
MW875659	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H4N9
MW876048	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H11N3
MW876091	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H12N1
MZ565048	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H5N2
MZ565344	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H5N2
MZ565614	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H2N7
MZ945744	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H1N2
NC_002020	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	H1N1
NC_007370	iav-ncbi-refseqs-seg8	8	-	Influenza A virus (A/New York/392/2004(H3N2))	H3N2
OL370771	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H12N5
OL371259	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H5N9
OL371515	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H9N5
OL371659	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H1N7
OM373274	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H10N8
OM966130	iav-ncbi-refseqs-seg8	8	-	Influenza A virus	H10N9
AY504599	ibv-ncbi-refseqs-seg1	1	-	Influenza B virus (B/Victoria/504/2000)	Victoria
CQ903172	ibv-ncbi-refseqs-seg1	-	-	Influenza B virus	HongKong
CY018772	ibv-ncbi-refseqs-seg1	2	-	Influenza B virus (B/Yamagata/16/1988)	Yamagata
NC_002205	ibv-ncbi-refseqs-seg1	2	-	Influenza B virus (B/Lee/1940)	Lee
AY504600	ibv-ncbi-refseqs-seg2	2	-	Influenza B virus (B/Victoria/504/2000)	Victoria
CQ903173	ibv-ncbi-refseqs-seg2	-	-	Influenza B virus	HongKong
CY018771	ibv-ncbi-refseqs-seg2	1	-	Influenza B virus (B/Yamagata/16/1988)	Yamagata
NC_002204	ibv-ncbi-refseqs-seg2	1	-	Influenza B virus (B/Lee/1940)	Lee
AY504601	ibv-ncbi-refseqs-seg3	3	-	Influenza B virus (B/Victoria/504/2000)	Victoria
CQ903174	ibv-ncbi-refseqs-seg3	-	-	Influenza B virus	HongKong
CY018770	ibv-ncbi-refseqs-seg3	3	-	Influenza B virus (B/Yamagata/16/1988)	Yamagata
NC_002206	ibv-ncbi-refseqs-seg3	3	-	Influenza B virus (B/Lee/1940)	Lee
AY504602	ibv-ncbi-refseqs-seg4	4	-	Influenza B virus (B/Victoria/504/2000)	Victoria
CY018765	ibv-ncbi-refseqs-seg4	4	-	Influenza B virus (B/Yamagata/16/1988)	Yamagata
CY018773	ibv-ncbi-refseqs-seg4	4	-	Influenza B virus (B/Hong Kong/22/1989)	HongKong
NC_002207	ibv-ncbi-refseqs-seg4	4	-	Influenza B virus (B/Lee/1940)	Lee
AY504603	ibv-ncbi-refseqs-seg5	5	-	Influenza B virus (B/Victoria/504/2000)	Victoria
CQ903177	ibv-ncbi-refseqs-seg5	-	-	Influenza B virus	HongKong
CY018768	ibv-ncbi-refseqs-seg5	5	-	Influenza B virus (B/Yamagata/16/1988)	Yamagata
NC_002208	ibv-ncbi-refseqs-seg5	5	-	Influenza B virus (B/Lee/1940)	Lee
AY504604	ibv-ncbi-refseqs-seg6	6	-	Influenza B virus (B/Victoria/504/2000)	Victoria
CQ903176	ibv-ncbi-refseqs-seg6	-	-	Influenza B virus	HongKong
CY018767	ibv-ncbi-refseqs-seg6	6	-	Influenza B virus (B/Yamagata/16/1988)	Yamagata
NC_002209	ibv-ncbi-refseqs-seg6	6	-	Influenza B virus (B/Lee/1940)	Lee
AY504605	ibv-ncbi-refseqs-seg7	7	-	Influenza B virus (B/Victoria/504/2000)	Victoria
CQ903178	ibv-ncbi-refseqs-seg7	-	-	Influenza B virus	HongKong
CY018766	ibv-ncbi-refseqs-seg7	7	-	Influenza B virus (B/Yamagata/16/1988)	Yamagata
NC_002210	ibv-ncbi-refseqs-seg7	7	-	Influenza B virus (B/Lee/1940)	Lee
AY504606	ibv-ncbi-refseqs-seg8	8	-	Influenza B virus (B/Victoria/504/2000)	Victoria
CQ903179	ibv-ncbi-refseqs-seg8	-	-	Influenza B virus	HongKong
CY018769	ibv-ncbi-refseqs-seg8	8	-	Influenza B virus (B/Yamagata/16/1988)	Yamagata
NC_002211	ibv-ncbi-refseqs-seg8	8	-	Influenza B virus (B/Lee/1940)	Lee
NC_006307	icv-ncbi-refseqs-seg1	1	-	Influenza C virus (C/Ann Arbor/1/50)	-
NC_006308	icv-ncbi-refseqs-seg2	2	-	Influenza C virus (C/Ann Arbor/1/50)	-
NC_006309	icv-ncbi-refseqs-seg3	3	-	Influenza C virus (C/Ann Arbor/1/50)	-
NC_006310	icv-ncbi-refseqs-seg4	4	-	Influenza C virus (C/Ann Arbor/1/50)	-
NC_006311	icv-ncbi-refseqs-seg5	5	-	Influenza C virus (C/Ann Arbor/1/50)	-
NC_006312	icv-ncbi-refseqs-seg6	6	-	Influenza C virus (C/Ann Arbor/1/50)	-
NC_006306	icv-ncbi-refseqs-seg7	7	-	Influenza C virus (C/Ann Arbor/1/50)	-
NC_036616	idv-ncbi-refseqs-seg1	1	-	Influenza D virus (D/swine/Oklahoma/1334/2011)	-
NC_036615	idv-ncbi-refseqs-seg2	2	-	Influenza D virus (D/swine/Oklahoma/1334/2011)	-
NC_036619	idv-ncbi-refseqs-seg3	3	-	Influenza D virus (D/swine/Oklahoma/1334/2011)	-
NC_036618	idv-ncbi-refseqs-seg4	4	-	Influenza D virus (D/swine/Oklahoma/1334/2011)	-
NC_036617	idv-ncbi-refseqs-seg5	5	-	Influenza D virus (D/swine/Oklahoma/1334/2011)	-
NC_036620	idv-ncbi-refseqs-seg6	6	-	Influenza D virus (D/swine/Oklahoma/1334/2011)	-
NC_036621	idv-ncbi-refseqs-seg7	7	-	Influenza D virus (D/swine/Oklahoma/1334/2011)	-
