isolate_id	gb_serotype	rec_serotype	mlca_serotype	genome_lineage	iso_year	iso_month	iso_day	origin_type	iso_host	sample_type	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession
D/bovine/France/B14D/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038782	-	-	-
D/bovine/Italy/34471/2017	-	-	-	-|-|-|-|-|-|-	2017	-	-	host	Bos taurus	-	Italy	-	MT349553	MT349555	-	-	-	-	-
D/swine/Guangdong/NN13/2017	-	-	DOK	-|-|-|DOK|-|-|-	2017	MAR	23	host	Sus scrofa	-	China	-	-	-	-	MH315965	-	-	-
D/bovine/South Dakota/1925152/2019	-	-	-	-|-|-|-|-|-|-	2019	DEC	18	host	Bos taurus	lung	USA	-	-	-	OR126152	OR126155	OR126158	-	-
D/bovine/France/O-EA23D/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038796	ON038816	ON038837	-	ON038858	ON038879	ON038900
D/bovine/Pakistan/Pak-08/2024	-	-	DOK	-|-|-|DOK|-|-|-	2024	-	-	host	Bos taurus	nasal swab	Pakistan	-	-	-	-	PP763080	-	-	-
D/bovine/France/O-EB19/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038800	ON038820	ON038841	-	ON038862	ON038883	ON038904
D/swine/Guangdong/YS1/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	NOV	11	host	Sus scrofa	-	China	-	-	-	-	KY441104	-	-	-
D/bovine/Guangdong/SQ/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	MAR	10	host	Bos taurus	-	China	-	-	-	-	MH315968	-	-	-
D/bovine/France/O-EB31/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038807	ON038827	ON038848	-	ON038869	ON038890	ON038911
D/bovine/Guangdong/YC/2017	-	-	DOK	-|-|-|DOK|-|-|-	2017	MAR	23	host	Bos taurus	-	China	-	-	-	-	MH315970	-	-	-
D/bovine/Guangdong/QQ7/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	MAY	20	host	Bos taurus	-	China	-	-	-	-	KY441116	-	-	-
D/bovine/France/O-EB13D/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038797	ON038817	ON038838	-	ON038859	ON038880	ON038902
D/bovine/France/B34/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038791	-	-	-
D/bovine/France/B13D/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038784	-	-	-
D/bovine/Kirklareli/2202-15/2021	-	-	DOK	-|-|-|DOK|-|-|-	2021	FEB	22	host	Bos taurus	-	Turkey	-	-	-	-	PP574424	-	-	-
D/bovine/France/O-EB8D/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038814	ON038835	ON038856	-	ON038877	ON038898	ON038919
D/bovine/Guangdong/RS1/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	MAR	25	host	Bos taurus	-	China	-	-	-	-	KY441119	-	-	-
D/swine/Guangdong/PS1/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	OCT	9	host	Sus scrofa	-	China	-	-	-	-	KY441108	-	-	-
D/bovine/France/O-EB22D/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038804	ON038824	ON038845	-	ON038866	ON038886	ON038908
D/bovine/Kirklareli/403-10/2020	-	-	DOK	-|-|-|DOK|-|-|-	2020	DEC	28	host	Bos taurus	nasal swab	Turkey	-	-	-	-	PP297653	-	-	-
D/bovine/France/B33/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038790	-	-	-
D/bovine/Italy/16RS483-3/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	MAR	14	host	Bos taurus	-	Italy	-	-	-	-	MK965260	-	-	-
D/bovine/Pakistan/Pak-01/2023	-	-	DOK	-|-|-|DOK|-|-|-	2023	-	-	host	Bos taurus	nasal swab	Pakistan	-	-	-	-	PP763073	-	-	-
D/bovine/Italy/32965/2021	-	-	D660	-|-|-|D660|-|-|-	2021	-	-	host	Bos taurus	-	Italy	-	-	-	-	ON166839	-	-	-
D/bovine/Bursa/ET-130/2013	-	-	DOK	-|-|-|DOK|-|-|-	2013	-	-	host	Bos taurus	nasal swab	Turkey	-	-	-	-	OP353622	-	-	-
D/bovine/Ireland/082301/2014	-	-	DOK	-|-|-|DOK|-|-|-	2014	-	-	host	Bos taurus	-	Ireland	-	-	-	-	KY992091	-	KY992096	-
D/bovine/Kirklareli/2202-4/2021	-	-	DOK	-|-|-|DOK|-|-|-	2021	FEB	22	host	Bos taurus	nasal swab	Turkey	-	-	-	-	PP832904	-	-	-
D/bovine/Kirklareli/5950/2024	-	-	-	-|-|-|-|-|-|-	2024	MAR	3	host	Bos taurus	nasal swab	Turkey	-	-	-	-	PP825809	-	-	-
D/bovine/Italy/132550/2021	-	-	D660	-|-|-|D660|-|-|-	2021	-	-	host	Bos taurus	-	Italy	-	-	-	-	ON166840	-	-	-
D/swine/Guangdong/P8/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	OCT	8	host	Sus scrofa	-	China	-	-	-	-	KY441106	-	-	-
D/bovine/France/B39D/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038788	-	-	-
D/bovine/Italy/18RS182-4/2017	-	-	DOK	-|-|-|DOK|-|-|-	2017	APR	3	host	Bos taurus	-	Italy	-	-	-	MK965331	MK965274	MK965286	MK965353	MK965307
D/bovine/Pennsylvania/321/2017	-	-	D660	-|-|-|D660|-|-|-	2017	OCT	16	host	Bos taurus	nasal swab	USA	-	-	-	-	MH785021	-	MH785020	MH785019
D/bovine/Pakistan/Pak-07/2023	-	-	DOK	-|-|-|DOK|-|-|-	2023	-	-	host	Bos taurus	nasal swab	Pakistan	-	-	-	-	PP763079	-	-	-
D/bovine/Ireland/007780/2014	-	-	-	-|-|-|-|-|-|-	2014	-	-	host	Bos taurus	-	Ireland	-	-	-	-	KY992090	-	KY992095	-
D/bovine/Guangdong/25969/2017	-	-	DOK	-|-|-|DOK|-|-|-	2017	MAR	23	host	Bos taurus	-	China	-	-	-	-	MH315969	-	-	-
D/bovine/Italy/7368/2022	-	-	-	-|-|-|-|-|-|-	2022	-	-	host	Bos taurus	-	Italy	-	-	-	-	ON166842	-	-	-
D/swine/Guangdong/P14/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	OCT	8	host	Sus scrofa	-	China	-	-	-	-	KY441107	-	-	-
D/bovine/Italy/344734/2021	-	-	D660	-|-|-|D660|-|-|-	2021	-	-	host	Bos taurus	-	Italy	-	-	-	-	ON166841	-	-	-
D/bovine/Kirklareli/5882/2024	-	-	-	-|-|-|-|-|-|-	2024	MAR	3	host	Bos taurus	nasal swab	Turkey	-	-	-	-	PP825810	-	-	-
D/bovine/Brazil/5058/2020	-	-	-	-|-|-|-|-|-|-	2020	MAY	1	host	Bos taurus	nasal swab	Brazil	-	-	OK648461	OK648462	OK648460	OK648463	OK648464	-
D/bovine/France/O-EB24D/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038806	ON038826	ON038847	-	ON038868	ON038889	ON038910
D/bovine/France/C3/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	MAR	12	host	Bos taurus	nasal swab	France	-	-	-	-	ON038936	-	-	-
D/bovine/France/B38D/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038793	-	-	-
D/bovine/Pakistan/Pak-03/2023	-	-	-	-|-|-|-|-|-|-	2023	-	-	host	Bos taurus	nasal swab	Pakistan	-	-	-	-	PP763075	-	-	-
D/bovine/France/O-EB33/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038809	ON038829	ON038850	-	ON038871	ON038892	ON038913
D/bovine/Pakistan/Pak-05/2023	-	-	DOK	-|-|-|DOK|-|-|-	2023	-	-	host	Bos taurus	nasal swab	Pakistan	-	-	-	-	PP763077	-	-	-
D/bovine/Italy/60797/2017	-	-	-	-|-|-|-|-|-|-	2017	-	-	host	Bos taurus	-	Italy	-	MT349531	MT349532	MT349533	-	MT349535	-	MT349534
D/bovine/Kirklareli/2202-16/2021	-	-	DOK	-|-|-|DOK|-|-|-	2021	FEB	22	host	Bos taurus	nasal swab	Turkey	-	-	-	-	PP574425	-	-	-
D/bovine/France/O-EB14D/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038798	ON038818	ON038839	-	ON038860	ON038881	-
D/bovine/Jilin/HY15/2023	-	-	-	-|-|-|-|-|-|-	2023	OCT	17	host	Bos taurus	nasal swabs	China	-	-	-	-	OR880344	-	-	-
D/bovine/Guangdong/NS1/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	MAR	16	host	buffalo	-	China	-	-	-	-	KY441118	-	-	-
D/bovine/Guangdong/LG9/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	APR	15	host	Bos taurus	-	China	-	-	-	-	KY441113	-	-	-
D/bovine/Italy/18RS182-8/2017	-	-	DOK	-|-|-|DOK|-|-|-	2017	AUG	22	host	Bos taurus	-	Italy	-	-	-	MK965333	MK965276	MK965288	MK965355	MK965309
D/bovine/France/A13/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038774	-	-	-
D/bovine/France/O-EB32/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038808	ON038828	ON038849	-	ON038870	ON038891	ON038912
D/bovine/Guangdong/LG2/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	APR	15	host	Bos taurus	-	China	-	-	-	-	KY441111	-	-	-
D/bovine/Italy/18RS182-12/2017	-	-	DOK	-|-|-|DOK|-|-|-	2017	DEC	1	host	Bos taurus	-	Italy	-	-	-	MK965326	MK965267	MK965281	MK965348	MK965302
D/bovine/Italy/18RS182-18/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	JAN	19	host	Bos taurus	-	Italy	-	MK965380	-	MK965324	MK965272	MK965291	MK965346	MK965312
D/bovine/France/O-EB20/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038801	ON038821	ON038842	-	ON038863	ON038884	ON038905
D/wildbeest/Namibia/W123/2020	-	-	-	-|-|-|-|-|-|-	2020	-	-	host	Connochaetes taurinus	nasal swab	Namibia	-	-	-	-	OK513029	-	-	-
D/bovine/France/A31/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038775	-	-	-
D/bovine/Italy/11213/2021	-	-	D660	-|-|-|D660|-|-|-	2021	-	-	host	Bos taurus	-	Italy	-	-	-	-	ON166834	-	-	-
D/bovine/Italy/18RS182-10/2017	-	-	DOK	-|-|-|DOK|-|-|-	2017	OCT	10	host	Bos taurus	-	Italy	-	-	-	MK965325	MK965266	MK965280	MK965347	MK965301
D/bovine/Italy/18RS182-14/2017	-	-	DOK	-|-|-|DOK|-|-|-	2017	DEC	18	host	Bos taurus	-	Italy	-	MK965375	-	MK965328	MK965269	MK965283	MK965350	MK965304
D/bovine/Quebec/3E-H/2018	-	-	D660	-|-|-|D660|-|-|-	2018	-	-	host	Bos taurus	-	Canada	-	MT246285	MT246284	MT246283	MT246282	-	MT246281	MT246280
D/bovine/Italy/12825/2017	-	-	DOK	-|-|-|DOK|-|-|-	2017	-	-	host	Bos taurus	-	Italy	-	MT349628	-	MT349631	MT349634	MT349633	MT349630	MT349632
D/caprine/Guangdong/JK1/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	JUL	5	host	Capra hircus	-	China	-	-	-	-	KY441122	-	-	-
D/bovine/France/B22D/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038794	-	-	-
D/bovine/France/B23D/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038786	-	-	-
D/bovine/Italy/18RS182-3/2017	-	-	DOK	-|-|-|DOK|-|-|-	2017	MAR	20	host	Bos taurus	-	Italy	-	MK965376	-	MK965330	MK965273	MK965285	MK965352	MK965306
D/bovine/France/O-EB18D/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038799	ON038819	ON038840	-	ON038861	ON038882	ON038903
D/bovine/Guangdong/RS4/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	MAR	25	host	Bos taurus	-	China	-	-	-	-	KY441120	-	-	-
D/bovine/Guangdong/SK/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	APR	15	host	Bos taurus	-	China	-	-	-	-	MH315967	-	-	-
D/bovine/France/B24D/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038792	-	-	-
D/bovine/France/O-EB23D/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038805	ON038825	ON038846	-	ON038867	ON038888	ON038909
D/bovine/Guangdong/QQ4/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	MAY	20	host	Bos taurus	-	China	-	-	-	-	KY441115	-	-	-
D/bovine/Italy/17936/2017	-	-	DOK	-|-|-|DOK|-|-|-	2017	-	-	host	Bos taurus	-	Italy	-	MT349586	MT349587	MT349589	MT349592	MT349591	MT349588	-
D/bovine/France/B19/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038778	-	-	-
D/bovine/France/B20/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038780	-	-	-
D/bovine/France/A23D/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038776	-	-	-
D/bovine/Denmark/47398-3622/2015	-	-	DOK	-|-|-|DOK|-|-|-	2015	NOV	3	host	Bos taurus	bronchoalveolar lavage	Denmark	-	-	-	-	OM468296	-	-	-
D/bovine/Pakistan/Pak-04/2023	-	-	DOK	-|-|-|DOK|-|-|-	2023	-	-	host	Bos taurus	nasal swab	Pakistan	-	-	-	-	PP763076	-	-	-
D/bovine/Italy/16RS2581-9/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	DEC	29	host	Bos taurus	-	Italy	-	MK965382	-	MK965335	MK965259	MK965293	MK965357	MK965314
D/bovine/Pakistan/Pak-06/2023	-	-	DOK	-|-|-|DOK|-|-|-	2023	-	-	host	Bos taurus	nasal swab	Pakistan	-	-	-	-	PP763078	-	-	-
D/bovine/Italy/27054-2/2020	-	-	D660	-|-|-|D660|-|-|-	2020	-	-	host	Bos taurus	-	Italy	-	-	-	-	ON166836	-	-	-
D/bovine/France/O-EA31/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	-	-	-	ON038901
D/bovine/Luxembourg/0003/2018	-	-	-	-|-|-|-|-|-|-	2018	-	-	host	Sus scrofa	nasal swab	Luxembourg	-	ON038920	ON038922	ON038924	-	-	ON038929	-
D/bovine/France/O-EB21D/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038803	ON038823	ON038844	-	ON038865	ON038885	ON038907
D/swine/Guangdong/YS2/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	NOV	11	host	Sus scrofa	-	China	-	-	-	-	KY441105	-	-	-
D/bovine/France/O-EB38D/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038811	ON038832	ON038853	-	ON038874	ON038895	ON038916
D/bovine/Italy/27930/2022	-	-	-	-|-|-|-|-|-|-	2022	-	-	host	Bos taurus	-	Italy	-	-	-	-	ON166843	-	-	-
D/bovine/Jilin/HY19/2023	-	-	-	-|-|-|-|-|-|-	2023	OCT	17	host	Bos taurus	nasal swabs	China	-	-	-	-	OR880345	-	-	-
D/bovine/Ireland/023638/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	-	-	host	Bos taurus	-	Ireland	-	-	-	-	KY992094	-	KY992098	-
D/bovine/Italy/18984/2020	-	-	D660	-|-|-|D660|-|-|-	2020	-	-	host	Bos taurus	-	Italy	-	-	-	-	ON166837	-	-	-
D/swine/Guangdong/U1/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	SEP	26	host	Sus scrofa	-	China	-	-	-	-	KY441109	-	-	-
D/bovine/Guangdong/PY1/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	FEB	10	host	buffalo	-	China	-	-	-	-	KY441121	-	-	-
D/bovine/Pakistan/Pak-02/2023	-	-	-	-|-|-|-|-|-|-	2023	-	-	host	Bos taurus	nasal swab	Pakistan	-	-	-	-	PP763074	-	-	-
D/bovine/France/O-EB20D/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038802	ON038822	ON038843	-	ON038864	ON038887	ON038906
D/bovine/Guangdong/GDQY/2018	-	-	-	-|-|-|-|-|-|-	2018	MAR	22	host	Bos taurus	nasal swab	China	-	-	-	-	MK290418	-	-	-
D/bovine/Italy/361588/2017	-	-	-	-|-|-|-|-|-|-	2017	-	-	host	Bos taurus	-	Italy	-	-	-	-	-	-	-	MT349544
D/bovine/France/B18D/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038783	-	-	-
D/bovine/Ireland/037157/2015	-	-	DOK	-|-|-|DOK|-|-|-	2015	-	-	host	Bos taurus	-	Ireland	-	-	-	-	KY992092	-	KY992100	-
D/bovine/Guangdong/LG5/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	APR	15	host	Bos taurus	-	China	-	-	-	-	KY441112	-	-	-
D/bovine/France/B37D/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038787	-	-	-
D/bovine/Italy/18RS182-1/2017	-	-	DOK	-|-|-|DOK|-|-|-	2017	MAR	17	host	Bos taurus	-	Italy	-	-	-	MK965329	MK965265	MK965284	MK965351	MK965305
D/bovine/Italy/18RS182-6/2017	-	-	DOK	-|-|-|DOK|-|-|-	2017	APR	12	host	Bos taurus	-	Italy	-	MK965377	-	MK965332	MK965275	MK965287	MK965354	MK965308
D/bovine/Italy/123836/2017	-	-	-	-|-|-|-|-|-|-	2017	-	-	host	Bos taurus	-	Italy	-	MT349635	MT349636	MT349638	-	MT349640	MT349637	MT349639
D/bovine/Bursa/ET-138/2021	-	-	-	-|-|-|-|-|-|-	2021	-	-	host	Bos taurus	nasal swab	Turkey	-	-	-	-	OP353623	-	-	-
D/bovine/France/B21D/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038785	-	-	-
D/bovine/Guangdong/QQ12/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	MAY	20	host	Bos taurus	-	China	-	-	-	-	KY441117	-	-	-
D/bovine/Italy/18788-3/2020	-	-	D660	-|-|-|D660|-|-|-	2020	-	-	host	Bos taurus	-	Italy	-	-	-	-	ON166838	-	-	-
D/bovine/Italy/56705-6/2020	-	-	D660	-|-|-|D660|-|-|-	2020	-	-	host	Bos taurus	-	Italy	-	-	-	-	ON166835	-	-	-
D/bovine/France/O-EB34/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	ON038830	ON038851	-	ON038872	ON038893	ON038914
D/bovine/France/O-EA13/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038795	ON038815	ON038836	-	ON038857	ON038878	ON038899
D/bovine/Ireland/010807/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	-	-	host	Bos taurus	-	Ireland	-	-	-	-	KY992093	-	KY992097	-
D/bovine/Pakistan/Pak-09/2024	-	-	DOK	-|-|-|DOK|-|-|-	2024	-	-	host	Bos taurus	nasal swab	Pakistan	-	-	-	-	PP763081	-	-	-
D/bovine/France/B45D/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038789	-	-	-
D/bovine/France/B32/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038779	-	-	-
D/bovine/Guangdong/QQ1/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	MAY	20	host	Bos taurus	-	China	-	-	-	-	KY441114	-	-	-
D/bovine/France/O-EB39D/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038812	ON038833	ON038854	-	ON038875	ON038896	ON038917
D/bovine/France/B31/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038777	-	-	-
D/swine/Guangdong/U16/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	SEP	26	host	Sus scrofa	-	China	-	-	-	-	KY441110	-	-	-
D/bovine/Italy/72637/2019	-	-	-	-|-|-|-|-|-|-	2019	-	-	host	Bos taurus	-	Italy	-	MN165175	MN165176	MN165178	-	MN165180	MN165177	MN165179
D/bovine/France/O-EB45D/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038813	ON038834	ON038855	-	ON038876	ON038897	ON038918
D/bovine/Italy/18RS182-17/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	JAN	19	host	Bos taurus	-	Italy	-	MK965379	-	MK965323	MK965271	MK965290	MK965345	MK965311
D/bovine/Turkey/IDV-1/2018	-	-	-	-|-|-|-|-|-|-	2018	JAN	13	host	Bos taurus	nasal swabs from cattle	Turkey	-	-	-	-	MN598644	-	-	-
D/swine/Guangdong/LX-2/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	APR	15	host	Sus scrofa	-	China	-	-	-	-	MH315966	-	-	-
D/bovine/Kirklareli/1803-8/2021	-	-	DOK	-|-|-|DOK|-|-|-	2021	MAR	18	host	Bos taurus	nasal swab	Turkey	-	-	-	-	PP574423	-	-	-
D/bovine/France/O-EB37D/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038810	ON038831	ON038852	-	ON038873	ON038894	ON038915
D/bovine/Italy/14429/2018	-	-	-	-|-|-|-|-|-|-	2018	-	-	host	Bos taurus	-	Italy	-	MN165231	MN165232	MN165234	-	MN165236	MN165233	MN165235
D/bovine/France/O-EC3/2018	-	-	-	-|-|-|-|-|-|-	2018	MAR	12	host	Bos taurus	nasal swab	France	-	-	-	-	-	-	ON038928	ON038931
