isolate_id	species	genome_lineage	gb_serotype	rec_serotype	mlca_serotype	iso_year	iso_month	iso_day	origin_type	sample_type	lab_host	host	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession	segment8_accession
C/Scotland/7482/2007	ICV	-	-	-	-	2007	-	-	host	respiratory sample	-	Homo sapiens	United Kingdom	NULL	KT835340	KT835336	KT835345	KT835354	KT835357	KT835363	KT835367	-
C/Seoul/APD462/2015	ICV	-	-	-	-	2015	APR	11	host	-	-	Homo sapiens	South Korea	NULL	MK050104	MK050103	MK050102	MK050092	MK050100	MK050101	MK050096	-
C/Singapore/DSO-050530/2006	ICV	-	-	-	-	2006	MAY	18	host	-	-	Homo sapiens	Singapore	NULL	JX963126	JX963122	JX963118	GQ853455	JX963110	JX963106	JX963114	-
C/Singapore/DSO-070170/2006	ICV	-	-	-	-	2006	NOV	17	host	-	-	Homo sapiens	Singapore	NULL	JX963127	JX963123	JX963119	GQ853453	JX963111	JX963107	JX963115	-
C/Singapore/DSO-070193/2006	ICV	-	-	-	-	2006	NOV	29	host	-	-	Homo sapiens	Singapore	NULL	JX963128	JX963124	JX963120	GQ853454	JX963112	JX963108	JX963116	-
C/Singapore/DSO-070203/2006	ICV	-	-	-	-	2006	DEC	4	host	-	-	Homo sapiens	Singapore	NULL	JX963129	JX963125	JX963121	GQ853452	JX963113	JX963109	JX963117	-
C/Tokyo/1/2014	ICV	-	-	-	-	2014	-	-	host	-	-	Homo sapiens	Japan	Tokyo	LC123383	LC123485	LC123587	LC122677	LC123813	LC123881	LC125045	-
C/Tokyo/3/2010	ICV	-	-	-	-	2010	-	-	host	-	-	Homo sapiens	Japan	Tokyo	LC123363	LC123465	LC123567	LC122666	LC123793	LC123861	LC125025	-
C/Tokyo/4/2014	ICV	-	-	-	-	2014	-	-	host	-	-	Homo sapiens	Japan	Tokyo	LC123384	LC123486	LC123588	LC122678	LC123814	LC123882	LC125046	-
C/Victoria/2/2012	ICV	-	-	-	-	2012	-	-	host	-	-	Homo sapiens	Australia	NULL	KM504277	KM504278	KM504279	KM504280	KM504281	KM504282	KM504283	-
C/Vietnam/1290/2014	ICV	-	-	-	-	2014	APR	16	host	nasopharyngeal swab	-	Homo sapiens	Viet Nam	NULL	MH828694	MH828693	MH828692	MH828688	MH828690	MH828689	MH828691	-
C/Yamagata/1/2005	ICV	-	-	-	-	2005	-	-	host	-	-	Homo sapiens	Japan	Yamagata	LC123342	LC123444	LC123546	LC122648	LC123775	LC123840	LC125004	-
C/Yamagata/1/2006	ICV	-	-	-	-	2006	-	-	host	-	-	Homo sapiens	Japan	Yamagata	LC123349	LC123451	LC123553	LC122655	LC123781	LC123847	LC125011	-
C/Yamagata/1/2007	ICV	-	-	-	-	2007	JAN	17	host	-	-	Homo sapiens	Japan	Yamagata	LC123355	LC123457	LC123559	LC122660	AB684315	LC123853	LC125017	-
C/Yamagata/1/2012	ICV	-	-	-	-	2012	-	-	host	-	-	Homo sapiens	Japan	Yamagata	LC123364	LC123466	LC123568	LC122667	LC123794	LC123862	LC125026	-
C/Yamagata/11/2008	ICV	-	-	-	-	2008	-	-	host	-	-	Homo sapiens	Japan	Yamagata	LC123357	LC123459	LC123561	LC122662	LC123788	LC123855	LC125019	-
C/Yamagata/11/88	ICV	-	-	-	-	1988	-	-	host	-	-	Homo sapiens	Japan	Yamagata	LC603646	LC603647	LC603645	LC603641	LC603643	LC603642	LC603644	-
C/Yamagata/13/2006	ICV	-	-	-	-	2006	-	-	host	-	-	Homo sapiens	Japan	Yamagata	LC123351	LC123453	LC123555	LC122657	LC123783	LC123849	LC125013	-
C/Yamagata/14/2012	ICV	-	-	-	-	2012	-	-	host	-	-	Homo sapiens	Japan	Yamagata	LC123368	LC123470	LC123572	LC122670	LC123798	LC123866	LC125030	-
C/Yamagata/16/2008	ICV	-	-	-	-	2008	-	-	host	-	-	Homo sapiens	Japan	Yamagata	LC123358	LC123460	LC123562	LC122663	LC123789	LC123856	LC125020	-
C/Yamagata/18/2004	ICV	-	-	-	-	2004	-	-	host	-	-	Homo sapiens	Japan	Yamagata	LC123335	LC123437	LC123539	LC122644	LC123768	LC123833	LC124997	-
C/Yamagata/2/2005	ICV	-	-	-	-	2005	-	-	host	-	-	Homo sapiens	Japan	Yamagata	LC123343	LC123445	LC123547	LC122649	LC123776	LC123841	LC125005	-
C/Yamagata/20/2006	ICV	-	-	-	-	2006	-	-	host	-	-	Homo sapiens	Japan	Yamagata	LC123353	LC123455	LC123557	LC122658	LC123785	LC123851	LC125015	-
C/Yamagata/26/2004	ICV	-	-	-	-	2004	-	-	host	-	-	Homo sapiens	Japan	Yamagata	LC123336	LC123438	LC123540	LC122645	LC123769	LC123834	LC124998	-
C/Yamagata/28/2012	ICV	-	-	-	-	2012	-	-	host	-	-	Homo sapiens	Japan	Yamagata	LC123369	LC123471	LC123573	LC122671	LC123799	LC123867	LC125031	-
C/Yamagata/29/2004	ICV	-	-	-	-	2004	-	-	host	-	-	Homo sapiens	Japan	Yamagata	LC603653	LC603654	LC603652	LC603648	LC603650	LC603649	LC603651	-
C/Yamagata/3/2004	ICV	-	-	-	-	2004	-	-	host	-	-	Homo sapiens	Japan	Yamagata	LC123332	LC123434	LC123536	AB252153	LC123766	LC123830	LC124994	-
C/Yamagata/3/2005	ICV	-	-	-	-	2005	SEP	7	host	-	-	Homo sapiens	Japan	Yamagata	LC123344	LC123446	LC123548	LC122650	AB684314	LC123842	LC125006	-
C/Yamagata/3/2008	ICV	-	-	-	-	2008	-	-	host	-	-	Homo sapiens	Japan	Yamagata	LC123356	LC123458	LC123560	LC122661	LC123787	LC123854	LC125018	-
C/Yamagata/3/2012	ICV	-	-	-	-	2012	-	-	host	-	-	Homo sapiens	Japan	Yamagata	LC123365	LC123467	LC123569	LC122668	LC123795	LC123863	LC125027	-
C/Yamagata/5/2002	ICV	-	-	-	-	2002	-	-	host	-	-	Homo sapiens	Japan	Yamagata	LC123325	LC123427	LC123529	LC122638	LC123760	LC123823	LC124987	-
C/Yamagata/7/2012	ICV	-	-	-	-	2012	-	-	host	-	-	Homo sapiens	Japan	Yamagata	LC123367	LC123469	LC123571	LC122669	LC123797	LC123865	LC125029	-
C/Yamagata/9/2006	ICV	-	-	-	-	2006	-	-	host	-	-	Homo sapiens	Japan	Yamagata	LC123350	LC123452	LC123554	LC122656	LC123782	LC123848	LC125012	-
C/Yamagata/4/92	ICV	-	-	-	-	1992	-	-	host	-	-	Homo sapiens	Japan	Yamagata	LC123312	LC123414	LC123516	AB899777	LC123748	LC123821	LC124986	-
C/Paris/1/67	ICV	-	-	-	-	1967	-		host			Homo sapiens	France		LC123287	LC123389	LC123491	AB035357	LC123725	LC123817	LC124980	
D/bovine/France/5920/2014	IDV	-	-	-	D/Yama2016	2014	FEB	18	host	lung fragment	-	Bos taurus	France	-	MG720239	MG720241	MG720238	MG720235	MG720237	MG720240	MG720236	-
D/bovine/Ibaraki/7768/2016	IDV	-	-	-	D/OK	2016	-	-	host	-	-	Bos taurus	Japan	-	LC128439	LC128438	LC128437	LC128433	LC128435	LC128434	LC128436	-
D/bovine/Italy/1/2014	IDV	-	-	-	D/OK	2014	-	-	host	-	-	Bos taurus	Italy	-	KT592516	KT592521	KT592517	KT592522	KT592518	KT592519	KT592520	-
D/bovine/Italy/46484/2015	IDV	-	-	-	D/OK	2015	-	-	host	-	-	Bos taurus	Italy	-	KT592523	KT592524	KT592525	KT592526	KT592527	KT592528	KT592529	-
D/bovine/Kansas/1-35/2010	IDV	-	-	-	D/OK	2010	DEC	10	host	-	-	Bos taurus	USA	-	KM392475	KM392476	KM392477	KM392478	KM392479	KM392480	KM392481	-
D/bovine/Kansas/11-8/2012	IDV	-	-	-	D/660	2012	APR	19	host	-	-	Bos taurus	USA	-	KM392503	KM392504	KM392505	KM392506	KM392507	KM392508	KM392509	-
D/bovine/Kansas/13-21/2012	IDV	-	-	-	D/660	2012	OCT	17	host	-	-	Bos taurus	USA	-	KM392489	KM392490	KM392491	KM392492	KM392493	KM392494	KM392495	-
D/bovine/Kansas/14-22/2012	IDV	-	-	-	D/OK	2012	DEC	1	host	-	-	Bos taurus	USA	-	KM392496	KM392497	KM392498	KM392499	KM392500	KM392501	KM392502	-
D/bovine/Mexico/S56/2015	IDV	-	-	-	D/660	2015	-	-	host	-	-	Bos taurus	Mexico	-	KU710440	KU710436	KU710428	KU171128	KU710420	KU710432	KU710424	-
D/bovine/Mexico/S62/2015	IDV	-	-	-	D/OK	2015	-	-	host	-	-	Bos taurus	Mexico	-	KU710441	KU710437	KU710429	KU171129	KU710421	KU710433	KU710425	-
D/bovine/Mexico/S7/2015	IDV	-	-	-	D/660	2015	-	-	host	-	-	Bos taurus	Mexico	-	KU710438	KU710434	KU710426	KU171126	KU710418	KU710430	KU710422	-
D/bovine/Mexico/S8/2015	IDV	-	-	-	D/660	2015	-	-	host	-	-	Bos taurus	Mexico	-	KU710439	KU710435	KU710427	KU171127	KU710419	KU710431	KU710423	-
D/bovine/Minnesota/628/2013	IDV	-	-	-	D/OK	2013	FEB	18	host	-	-	Bos taurus	USA	-	KF425652	KF425653	KF425654	KF425655	KF425656	KF425657	KF425658	-
D/bovine/Minnesota/729/2013	IDV	-	-	-	D/660	2013	FEB	26	host	-	-	Bos taurus	USA	-	KF425666	KF425667	KF425668	KF425669	KF425670	KF425671	KF425672	-
D/bovine/Mississippi/C00046N/2014	IDV	-	-	-	D/OK	2014	FEB	19	host	nasal swab	-	Bos taurus; 6 to 8 months	USA	-	KT581409	KT581410	KT581411	KT581412	KT581413	KT581414	KT581415	-
D/bovine/Miyazaki/B22/2016	IDV	-	-	-	D/Yama2016	2016	-	-	host	-	-	Bos taurus	Japan	-	LC270265	LC270266	LC270267	LC270268	LC270269	LC270270	LC270271	-
D/bovine/Nebraska/9-5/2012	IDV	-	-	-	D/660	2012	JAN	31	host	-	-	Bos taurus	USA	-	KM392468	KM392469	KM392470	KM392471	KM392472	KM392473	KM392474	-
D/bovine/Northern Ireland/24280/2017	IDV	-	-	-	D/OK	2017	DEC	1	host	-	-	Bos taurus	United Kingdom	-	MK101118	MK101119	MK101120	MK101121	MK101122	MK101123	MK101124	-
D/bovine/Oklahoma/660/2013	IDV	-	-	-	D/OK	2013	FEB	20	host	-	-	Bos taurus	USA	-	KF425659	KF425660	KF425661	KF425662	KF425663	KF425664	KF425665	-
D/bovine/Shandong/Y125/2014	IDV	-	-	-	D/OK	2014	APR	2	host	-	-	Bos taurus	China	-	KM015491	KM015492	KM015493	KM015494	KM015495	KM015496	KM015497	-
D/bovine/Shandong/Y127/2014	IDV	-	-	-	D/OK	2014	APR	2	host	-	-	Bos taurus	China	-	KM015498	KM015499	KM015500	KM015501	KM015502	KM015503	KM015504	-
D/bovine/Shandong/Y217/2014	IDV	-	-	-	D/OK	2014	APR	2	host	-	-	Bos taurus	China	-	KM015505	KM015506	KM015507	KM015508	KM015509	KM015510	KM015511	-
D/bovine/Texas/3-13/2011	IDV	-	-	-	D/660	2011	JUN	1	host	-	-	Bos taurus	USA	-	KM392482	KM392483	KM392484	KM392485	KM392486	KM392487	KM392488	-
D/bovine/Yamagata/10710/2016	IDV	-	-	-	D/Yama2016	2016	-	-	host	-	-	Bos taurus	Japan	-	LC318665	LC318666	LC318667	LC318668	LC318669	LC318670	LC318671	-
D/swine/Italy/173287-4/2016	IDV	-	-	-	D/OK	2016	-	-	host	-	-	Sus scrofa	Italy	-	KX768824	KX768825	KX768826	KX768827	KX768828	KX768829	KX768830	-
D/swine/Italy/199724-3/2015	IDV	-	-	-	D/OK	2015	-	-	host	-	-	Sus scrofa	Italy	-	KT592530	KT592531	KT592532	KT592533	KT592534	KT592535	KT592536	-
D/swine/Italy/254578/2015	IDV	-	-	-	D/OK	2015	-	-	host	-	-	Sus scrofa	Italy	-	KX768831	KX768832	KX768833	KX768834	KX768835	KX768836	KX768837	-
D/swine/Italy/268344-2/2015	IDV	-	-	-	D/OK	2015	-	-	host	-	-	Sus scrofa	Italy	-	KX768817	KX768818	KX768819	KX768820	KX768821	KX768822	KX768823	-
D/swine/Italy/354017/2015	IDV	-	-	-	D/OK	2015	-	-	host	-	-	Sus scrofa	Italy	-	KX768838	KX768839	KX768840	KX768841	KX768842	KX768843	KX768844	-
D/swine/Kentucky/17TOSU1262/2017	IDV	-	-	-	D/660	2017	NOV	1	host	nasal swab	-	Sus scrofa	USA	-	MK054181	MK054182	MK054180	MK054184	MK054178	MK054183	MK054179	-
D/swine/Oklahoma/1334/2011	IDV	-	-	-	D/OK	2011	MAR	21	host	-	-	Sus scrofa	USA	-	NC_036616	NC_036615	NC_036619	NC_036618	NC_036617	NC_036620	NC_036621	-
D/bovine/Yamagata/1/2019	IDV	-	-	-	-	2019	-	-	-	-	-	Bos taurus	Japan		LC494105	LC494106	LC494107	LC494108	LC494109	LC494110	LC494111	
B/Germany/9318/2019	IBV	-	Victoria	-	Victoria	2019	MAR	16	host	NP Swab	-	Homo sapiens	Germany	NULL	MK946995	MK946994	MK946993	MK946988	MK946991	MK946990	MK946989	MK946992
B/Gyeongbuk/923/2018	IBV	-	Victoria	-	Victoria	2018	FEB	5	host	napharyngeal swab	-	Homo sapiens	South Korea	Gyeonbuk	MN822677	MN822678	MN822676	MN822671	MN822674	MN822673	MN822672	MN822675
B/Hong Kong/8/1973	IBV	-	Yamagata	-	Yamagata	1973	-	-	host			Homo sapiens	China	Hong Kong	CQ903173	CQ903172	CQ903174	CY018773	CQ903177	CQ903176	CQ903178	CQ903179
B/Hong Kong/8/1973(2)	IBV		Yamagata	-	Yamagata	1973	-	-	host			Homo sapiens	China	Hong Kong				M10298				
B/Lee/40	IBV	-	Yamagata	-	Yamagata	1940			host			Homo sapiens	USA	New York	NC_002204	NC_002205	NC_002206	NC_002207	NC_002208	NC_002209	NC_002210	NC_002211
B/Lee/40(2)	IBV		Yamagata	-	Yamagata	1940			host			Homo sapiens	USA	New York				CQ903175				
B/Maine/10/2018	IBV	-	Victoria	-	Victoria	2018	FEB	20	host	-	-	Homo sapiens	USA	Maine	MH233781	MH233782	MH233783	MH233784	MH233785	MH233786	MH233787	MH233788
B/Mississippi/02/2017	IBV	-	Victoria	-	Victoria	2017	JAN	18	host	-	-	Homo sapiens	USA	Mississippi	CY222163	CY222162	CY222164	CY222165	CY222166	CY222167	CY222168	CY222169
B/New York/1255/2011	IBV	-	Victoria	-	Victoria	2011	FEB	2	host	-	-	Homo sapiens	USA	New York, Madison County	CY175640	CY175639	CY175638	CY175633	CY175636	CY175635	CY175634	CY175637
B/Pennsylvania/06/2018	IBV	-	Victoria	-	Victoria	2018	FEB	19	host	-	-	Homo sapiens	USA	Pennsylvania	MH233893	MH233894	MH233895	MH233896	MH233897	MH233898	MH233899	MH233900
B/Singapore/DMS1498/2011	IBV	-	Victoria	-	Victoria	2011	FEB	26	host	cultured isolate	-	Homo sapiens	Singapore	NULL	MN588329	MN588384	MN588439	MN588494	MN588549	MN588604	MN588659	MN588714
B/Singapore/DMS3545/2018	IBV	-	Victoria	-	Victoria	2018	OCT	18	host	nasopharyngeal swab	-	Homo sapiens	Singapore	NULL	MN589524	MN589523	MN589525	MN589526	MN589527	MN589528	MN589529	MN589530
B/Singapore/DMS3634/2018	IBV	-	Victoria	-	Victoria	2018	DEC	31	host	nasopharyngeal swab	-	Homo sapiens	Singapore	NULL	MN589571	MN589572	MN589573	MN589574	MN589575	MN589576	MN589577	MN589578
B/Singapore/DMS3651/2019	IBV	-	Victoria	-	Victoria	2019	JAN	24	host	nasopharyngeal swab	-	Homo sapiens	Singapore	NULL	MN589579	MN589580	MN589581	MN589582	MN589583	MN589584	MN589585	MN589586
B/South Korea/9320/2019	IBV	-	Victoria	-	Victoria	2019	MAR	27	host	Nasal Wash	-	Homo sapiens	South Korea	NULL	MK947011	MK947010	MK947009	MK947004	MK947007	MK947006	MK947005	MK947008
B/Thailand/CU-H1400/2010	IBV	-	Victoria	-	Victoria	2010	FEB	1	host	nasal swab	-	Homo sapiens	Thailand	NULL	JX513148	JX513147	JX513149	JX513150	JX513151	JX513152	JX513153	JX513154
B/Thailand/TM-10944_62/2019	IBV	-	Victoria	-	Victoria	2019	JUN	1	host	sputum	-	Homo sapiens	Thailand	NULL	MN539665	MN542669	MN542824	MN509275	MN539639	MN538929	MN558961	MN539658
B/Victoria/504/2000	IBV	-	Victoria	-	Victoria	2000			host			Homo sapiens	Australia	Victoria	AY504599	AY504600	AY504601	AY504602	AY504603	AY504604	AY504605	AY504606
B/Virginia/7672/2018	IBV	-	Victoria	-	Victoria	2018	JAN	3	host	NP Swab	-	Homo sapiens	USA	Virginia	MK445822	MK445802	MK445782	MK445682	MK445742	MK445722	MK445702	MK445762
B/Wuhan/4/2009	IBV	-	Victoria	-	Victoria	2009	MAY	31	host	-	-	Homo sapiens	China	Hubei	CY110748	CY110747	CY110749	CY110750	CY110751	CY110752	CY110753	CY110754
B/Yamagata/16/88	IBV	-	Yamagata	-	Yamagata	1988			host			Homo sapiens	Japan	Yamagata	CY018772	CY018771	CY018770	CY018765	CY018768	CY018767	CY018766	CY018769
B/Nicaragua/9151_03/2017	IBV	-	Victoria	-	Victoria	2017	JUL	15	host	-	-	Homo sapiens	Nicaragua	Managua	MK961943	MK961942	MK961941	MK961936	MK961939	MK961938	MK961937	MK961940
B/Texas/10124/2019	IBV	-	Victoria	-	Victoria	2019	NOV	19	host	-	-	Homo sapiens	USA	Texas	MT600866	MT600865	MT600864	MT600859	MT600862	MT600861	MT600860	
B/Texas/10124/2019(2)	IBV	-	Victoria	-	Victoria	2019	NOV	19	host	-	-	Homo sapiens	USA	Texas								MT600863
B/Pennsylvania/5/2007	IBV	-	Victoria	-	Victoria	2007	-	-	host	-	-	Homo sapiens	USA	Pennsylvania	OQ034462	OQ034461	OQ034463	OQ034464	OQ034465	OQ034466	OQ034467	
B/Pennsylvania/5/2007(2)	IBV	-	Victoria	-	Victoria	2007	-	-	host	-	-	Homo sapiens	USA	Pennsylvania								OQ034468
B/Brisbane/60/2008	IBV	-	Victoria	-	Victoria	2008	-	-	host	-	-	Homo sapiens	Australia	Brisbane				CY115151				
B/China/MDCK/2021	IBV	-	Victoria	-	Victoria	2021	-	-	host	throat swab		Homo sapiens	China					OQ028246				
B/China/MDCK/2021(2)	IBV	-	Victoria	-	Victoria	2021	-	-	host	throat swab		Homo sapiens	China					OQ028654				
B/China/MDCK/2021(3)	IBV	-	Victoria	-	Victoria	2021	-	-	host	throat swab		Homo sapiens	China					OP999643				
B/China/MDCK/2021(4)	IBV	-	Victoria	-	Victoria	2021	-	-	host	throat swab		Homo sapiens	China					OQ061212				
B/Saudi Arabia/Riyadh55/2020	IBV	-	Victoria	-	Victoria	2020	DEC	23	host	Nasopharyngeal Aspirates		Homo sapiens	Saudi Arabia					OQ380849				
B/Human/New York City/PV22452/2020	IBV	-	Victoria	-	Victoria	2020	NOV	13	host	nasal swab		Homo sapiens	USA	New York City				ON041202				
B/India/Pun1924024/2019	IBV	-	Victoria	-	Victoria	2019	OCT	29	host	Egg passage(s)		Homo sapiens	India					MN945457				
B/Florida/4/2006	IBV	-	Yamagata	-	Yamagata	2006	-	-	host			Homo sapiens	USA					CY033876				
B/India/Pun1922338/2019	IBV	-	Victoria	-	Victoria	2019	AUG	23	host			Homo sapiens	India					MN945463				
