sequenceID	full_name	isolate	gb_segment	rec_segment	rec_subtype	gb_subtype	length
LC122675	Influenza C virus (C/Miyagi/5/2014)	C/Miyagi/5/2014	4	4	SaoPaolo	-	1986
LC122676	Influenza C virus (C/Miyagi/6/2014)	C/Miyagi/6/2014	4	4	SaoPaolo	-	1986
LC122677	Influenza C virus (C/Tokyo/1/2014)	C/Tokyo/1/2014	4	4	SaoPaolo	-	1986
LC122678	Influenza C virus (C/Tokyo/4/2014)	C/Tokyo/4/2014	4	4	SaoPaolo	-	1986
LC327655	Influenza C virus (C/Iwate/1/2016)	C/Iwate/1/2016	4	4	SaoPaolo	-	2027
LC327662	Influenza C virus (C/Iwate/2/2016)	C/Iwate/2/2016	4	4	SaoPaolo	-	2027
LC385860	Influenza C virus	C/Yamagata/1/2016	4	4	SaoPaolo	-	1986
LC385861	Influenza C virus	C/Yamagata/4/2016	4	4	SaoPaolo	-	1986
LC385862	Influenza C virus	C/Yamagata/6/2016	4	4	SaoPaolo	-	1986
LC385863	Influenza C virus	C/Yamagata/12/2016	4	4	SaoPaolo	-	1986
LC385864	Influenza C virus	C/Yamagata/24/2016	4	4	SaoPaolo	-	1986
LC385865	Influenza C virus	C/Yamagata/26/2016	4	4	SaoPaolo	-	1986
LC385866	Influenza C virus	C/Yamagata/35/2016	4	4	SaoPaolo	-	1986
LC385867	Influenza C virus	C/Yamagata/36/2016	4	4	SaoPaolo	-	1986
LC512487	Influenza C virus	C/Yamagata/16/2010	4	4	SaoPaolo	-	1986
LC512488	Influenza C virus	C/Yamagata/2/2015	4	4	SaoPaolo	-	1986
LC512489	Influenza C virus	C/Yamagata/5/2015	4	4	SaoPaolo	-	1986
LC512490	Influenza C virus	C/Yamagata/10/2016	4	4	SaoPaolo	-	1986
LC512491	Influenza C virus	C/Yamagata/14/2016	4	4	SaoPaolo	-	1986
LC512492	Influenza C virus	C/Yamagata/25/2016	4	4	SaoPaolo	-	1986
LC512493	Influenza C virus	C/Yamagata/27/2016	4	4	SaoPaolo	-	1986
LC512494	Influenza C virus	C/Yamagata/28/2016	4	4	SaoPaolo	-	1986
LC512495	Influenza C virus	C/Yamagata/32/2016	4	4	SaoPaolo	-	1986
LC512496	Influenza C virus	C/Yamagata/37/2016	4	4	SaoPaolo	-	1986
LC512497	Influenza C virus	C/Yamagata/1/2017	4	4	SaoPaolo	-	1986
LC512498	Influenza C virus	C/Yamagata/2/2017	4	4	SaoPaolo	-	1986
LC512499	Influenza C virus	C/Yamagata/1/2018	4	4	SaoPaolo	-	1986
LC512500	Influenza C virus	C/Yamagata/2/2018	4	4	SaoPaolo	-	1986
LC512501	Influenza C virus	C/Yamagata/6/2018	4	4	SaoPaolo	-	1986
LC512502	Influenza C virus	C/Yamagata/8/2018	4	4	SaoPaolo	-	1986
LC512503	Influenza C virus	C/Yamagata/16/2018	4	4	SaoPaolo	-	1986
LC512504	Influenza C virus	C/Yamagata/19/2018	4	4	SaoPaolo	-	1986
LC512505	Influenza C virus	C/Yamagata/23/2018	4	4	SaoPaolo	-	1986
LC512506	Influenza C virus	C/Yamagata/31/2018	4	4	SaoPaolo	-	1986
LC512507	Influenza C virus	C/Yamagata/38/2018	4	4	SaoPaolo	-	1986
LC512508	Influenza C virus	C/Yamagata/40/2018	4	4	SaoPaolo	-	1986
LC512509	Influenza C virus	C/Yamagata/42/2018	4	4	SaoPaolo	-	1986
LC512510	Influenza C virus	C/Yamagata/30/2016	4	4	SaoPaolo	-	1986
LC512511	Influenza C virus	C/Yamagata/34/2016	4	4	SaoPaolo	-	1986
LC512512	Influenza C virus	C/Yamagata/5/2018	4	4	SaoPaolo	-	1986
LC512513	Influenza C virus	C/Yamagata/39/2018	4	4	SaoPaolo	-	1986
LC720285	Influenza C virus	C/Fukushima/O181/2018	4	4	SaoPaolo	-	2063
LC739856	Influenza C virus	C/Miyagi/1/2006	4	4	SaoPaolo	-	1986
LC739857	Influenza C virus	C/Miyagi/3/2006	4	4	SaoPaolo	-	1986
LC739858	Influenza C virus	C/Miyagi/5/2006	4	4	SaoPaolo	-	1986
LC739859	Influenza C virus	C/Miyagi/6/2006	4	4	SaoPaolo	-	1986
LC739860	Influenza C virus	C/Miyagi/7/2006	4	4	SaoPaolo	-	1986
LC739861	Influenza C virus	C/Miyagi/1/2008	4	4	SaoPaolo	-	1986
LC739862	Influenza C virus	C/Miyagi/4/2008	4	4	SaoPaolo	-	1986
LC739863	Influenza C virus	C/Miyagi/5/2008	4	4	SaoPaolo	-	1986
LC739864	Influenza C virus	C/Miyagi/6/2008	4	4	SaoPaolo	-	1986
LC739865	Influenza C virus	C/Miyagi/8/2008	4	4	SaoPaolo	-	1986
LC739866	Influenza C virus	C/Miyagi/9/2008	4	4	SaoPaolo	-	1986
LC739867	Influenza C virus	C/Miyagi/10/2008	4	4	SaoPaolo	-	1986
LC739868	Influenza C virus	C/Miyagi/12/2008	4	4	SaoPaolo	-	1986
LC739869	Influenza C virus	C/Miyagi/13/2008	4	4	SaoPaolo	-	1986
LC739870	Influenza C virus	C/Miyagi/17/2008	4	4	SaoPaolo	-	1986
LC739871	Influenza C virus	C/Miyagi/1/2010	4	4	SaoPaolo	-	1986
LC739872	Influenza C virus	C/Miyagi/8/2010	4	4	SaoPaolo	-	1986
LC739873	Influenza C virus	C/Miyagi/9/2010	4	4	SaoPaolo	-	1986
LC739874	Influenza C virus	C/Miyagi/10/2010	4	4	SaoPaolo	-	1986
LC739875	Influenza C virus	C/Miyagi/1/2011	4	4	SaoPaolo	-	1986
LC739876	Influenza C virus	C/Miyagi/3/2012	4	4	SaoPaolo	-	1986
LC739877	Influenza C virus	C/Miyagi/4/2012	4	4	SaoPaolo	-	1986
LC739878	Influenza C virus	C/Miyagi/5/2012	4	4	SaoPaolo	-	1986
LC739879	Influenza C virus	C/Miyagi/6/2012	4	4	SaoPaolo	-	1986
LC739880	Influenza C virus	C/Miyagi/7/2012	4	4	SaoPaolo	-	1986
LC739881	Influenza C virus	C/Miyagi/8/2012	4	4	SaoPaolo	-	1986
LC739882	Influenza C virus	C/Miyagi/9/2012	4	4	SaoPaolo	-	1986
LC739883	Influenza C virus	C/Miyagi/10/2012	4	4	SaoPaolo	-	1986
LC739884	Influenza C virus	C/Miyagi/11/2012	4	4	SaoPaolo	-	1986
LC739885	Influenza C virus	C/Miyagi/12/2012	4	4	SaoPaolo	-	1986
LC739886	Influenza C virus	C/Miyagi/13/2012	4	4	SaoPaolo	-	1986
LC739887	Influenza C virus	C/Miyagi/1/2014	4	4	SaoPaolo	-	1986
LC739890	Influenza C virus	C/Miyagi/1/2015	4	4	SaoPaolo	-	1986
LC739891	Influenza C virus	C/Miyagi/1/2016	4	4	SaoPaolo	-	1986
LC739892	Influenza C virus	C/Miyagi/2/2016	4	4	SaoPaolo	-	1986
LC739893	Influenza C virus	C/Miyagi/4/2016	4	4	SaoPaolo	-	1986
LC739894	Influenza C virus	C/Miyagi/5/2016	4	4	SaoPaolo	-	1986
LC739895	Influenza C virus	C/Miyagi/6/2016	4	4	SaoPaolo	-	1986
LC739896	Influenza C virus	C/Miyagi/7/2016	4	4	SaoPaolo	-	1986
LC739897	Influenza C virus	C/Miyagi/9/2016	4	4	SaoPaolo	-	1986
LC739898	Influenza C virus	C/Miyagi/1/2017	4	4	SaoPaolo	-	1986
LC739899	Influenza C virus	C/Miyagi/1/2018	4	4	SaoPaolo	-	1986
LC739900	Influenza C virus	C/Miyagi/2/2018	4	4	SaoPaolo	-	1986
LC739901	Influenza C virus	C/Miyagi/3/2018	4	4	SaoPaolo	-	1986
LC739902	Influenza C virus	C/Miyagi/4/2018	4	4	SaoPaolo	-	1986
LC739903	Influenza C virus	C/Miyagi/5/2018	4	4	SaoPaolo	-	1986
LC739904	Influenza C virus	C/Miyagi/6/2018	4	4	SaoPaolo	-	1986
LC739906	Influenza C virus	C/Miyagi/1/2020	4	4	SaoPaolo	-	1986
MH185829	Influenza C virus	C/Kaohsiung/95111003/2006	4	4	SaoPaolo	-	444
MH185830	Influenza C virus	C/Kaohsiung/96060801C/2007	4	4	SaoPaolo	-	420
MH185831	Influenza C virus	C/Kaohsiung/97042912C/2008	4	4	SaoPaolo	-	420
MH185832	Influenza C virus	C/Kaohsiung/106051925/2014	4	4	SaoPaolo	-	432
MH185833	Influenza C virus	C/Kaohsiung/105032177/2016	4	4	SaoPaolo	-	420
MH185834	Influenza C virus	C/Kaohsiung/107020729/2018	4	4	SaoPaolo	-	420
MK050092	Influenza C virus	C/Seoul/APD462/2015	4	4	SaoPaolo	-	1888
MK050093	Influenza C virus	C/Seoul/APD401/2015	4	4	SaoPaolo	-	1888
MK050094	Influenza C virus	C/Cheongju/GPD805/2015	4	4	SaoPaolo	-	1027
MK480585	Influenza C virus	C/Thailand/B12597_HE_gene/2015	4	4	SaoPaolo	-	1802
MK480599	Influenza C virus	C/Thailand/CN38_HE_gene/2017	4	4	SaoPaolo	-	1702
MZ330902	Influenza C virus	C/Biliran/TB2-293/2014	4	4	SaoPaolo	-	1968
MZ330923	Influenza C virus	C/Biliran/TB4-130/2018	4	4	SaoPaolo	-	1968
MZ330930	Influenza C virus	C/Biliran/TB4-169/2018	4	4	SaoPaolo	-	1968
MZ330937	Influenza C virus	C/Biliran/TB4-271/2019	4	4	SaoPaolo	-	1968
MZ330993	Influenza C virus	C/Biliran/TB8-250/2014	4	4	SaoPaolo	-	1968
MZ331007	Influenza C virus	C/Palawan/068/2014	4	4	SaoPaolo	-	1968
OK254888	Influenza C virus	C/canine/China/Guangzhou-1/2020	4	4	SaoPaolo	-	1965
OK254895	Influenza C virus	C/canine/China/Guangzhou-2/2020	4	4	SaoPaolo	-	1965
OK625710	Influenza C virus	C/Connecticut/UNK154/2017	4	4	SaoPaolo	-	1968
ON013500	Influenza C virus	C/Philippines/4335-2010/2010	4	4	SaoPaolo	-	1926
ON013501	Influenza C virus	C/Philippines/2007-2011/2011	4	4	SaoPaolo	-	1926
ON013502	Influenza C virus	C/Philippines/2064-2011/2011	4	4	SaoPaolo	-	1926
ON013503	Influenza C virus	C/Philippines/1774-2011/2011	4	4	SaoPaolo	-	1926
ON013504	Influenza C virus	C/Philippines/2059-2011/2011	4	4	SaoPaolo	-	1926
ON013505	Influenza C virus	C/Philippines/1813-2011/2011	4	4	SaoPaolo	-	1926
ON013506	Influenza C virus	C/Philippines/2811-2010/2010	4	4	SaoPaolo	-	1926
ON013507	Influenza C virus	C/Philippines/3496-2010/2010	4	4	SaoPaolo	-	1926
ON013508	Influenza C virus	C/Philippines/1972-2011/2011	4	4	SaoPaolo	-	1926
ON013509	Influenza C virus	C/Philippines/2079-2011/2011	4	4	SaoPaolo	-	1926
ON013510	Influenza C virus	C/Philippines/2069-2011/2011	4	4	SaoPaolo	-	1926
ON013511	Influenza C virus	C/Philippines/2081-2011/2011	4	4	SaoPaolo	-	1926
ON013512	Influenza C virus	C/Philippines/1680-2011/2011	4	4	SaoPaolo	-	1926
ON013513	Influenza C virus	C/Philippines/1881-2011/2011	4	4	SaoPaolo	-	1926
ON013514	Influenza C virus	C/Philippines/2554-2011/2011	4	4	SaoPaolo	-	1926
ON013515	Influenza C virus	C/Philippines/1536-2011/2011	4	4	SaoPaolo	-	1926
ON013516	Influenza C virus	C/Philippines/2410-2009/2009	4	4	SaoPaolo	-	1926
ON013517	Influenza C virus	C/Philippines/3841-2011/2011	4	4	SaoPaolo	-	1926
OQ030185	Influenza C virus	C/canine/China/Guangzhou-1/2020	4	4	SaoPaolo	-	1965
OQ030192	Influenza C virus	C/canine/China/Guangzhou-2/2020	4	4	SaoPaolo	-	1965
OQ733370	Influenza C virus	C/China/Taian062/2020	4	4	SaoPaolo	-	1968
OQ733382	Influenza C virus	C/China/Taian106/2020	4	4	SaoPaolo	-	1968
PQ044623	Influenza C virus	C/Sri Lanka/68/2023	4	4	SaoPaolo	-	1968
AB035357	Influenza C virus	C/Paris/1/67	-	4	Taylor	-	1987
AB126194	Influenza C virus (C/Ann Arbor/1/50)	C/Ann Arbor/1/50	4	4	Taylor	-	2073
FR671422	Influenza C virus (C/JJ/1950)	C/JJ/1950	4	4	Taylor	-	2073
LC122632	Influenza C virus (C/Taylor/1233/1947)	C/Taylor/1233/1947	4	4	Taylor	-	1986
LC385858	Influenza C virus (C/Ann Arbor/1/50)	C/Ann Arbor/1/50	4	4	Taylor	-	1986
M11637	Influenza C virus	-	-	4	Taylor	-	2015
M11638	Influenza C virus	-	-	4	Taylor	-	2015
M11641	Influenza C virus	-	-	4	Taylor	-	2015
NC_006310	Influenza C virus (C/Ann Arbor/1/50)	C/Ann Arbor/1/50	4	4	Taylor	-	2073
AB035362	Influenza C virus	C/New Jersey/1/76	-	4	Yamagata	-	1962
AB064397	Influenza C virus (C/Yamagata/3/96)	C/Yamagata/3/96	-	4	Yamagata	-	1926
AB064398	Influenza C virus (C/Yamagata/8/96)	C/Yamagata/8/96	-	4	Yamagata	-	1926
AB064399	Influenza C virus (C/Yamagata/9/96)	C/Yamagata/9/96	-	4	Yamagata	-	1926
AB064400	Influenza C virus (C/Yamagata/20/96)	C/Yamagata/20/96	-	4	Yamagata	-	1926
AB064401	Influenza C virus (C/Yamagata/2/98)	C/Yamagata/2/98	-	4	Yamagata	-	1926
AB064402	Influenza C virus (C/Yamagata/6/98)	C/Yamagata/6/98	-	4	Yamagata	-	1926
AB064403	Influenza C virus (C/Yamagata/13/98)	C/Yamagata/13/98	-	4	Yamagata	-	1926
AB086656	Influenza C virus (C/Shizuoka/79)	C/Shizuoka/79	-	4	Yamagata	-	1926
AB086662	Influenza C virus (C/Miyagi/2/96)	C/Miyagi/2/96	-	4	Yamagata	-	1926
AB086663	Influenza C virus (C/Miyagi/6/96)	C/Miyagi/6/96	-	4	Yamagata	-	1926
AB086665	Influenza C virus (C/Miyagi/1/97)	C/Miyagi/1/97	-	4	Yamagata	-	1926
AB086666	Influenza C virus (C/Miyagi/2/98)	C/Miyagi/2/98	-	4	Yamagata	-	1926
AB086667	Influenza C virus (C/Miyagi/4/98)	C/Miyagi/4/98	-	4	Yamagata	-	1926
AB086668	Influenza C virus (C/Miyagi/1/99)	C/Miyagi/1/99	-	4	Yamagata	-	1926
AB086669	Influenza C virus (C/Miyagi/3/99)	C/Miyagi/3/99	-	4	Yamagata	-	1926
AB093474	Influenza C virus (C/Hiroshima/247/2000)	C/Hiroshima/247/2000	-	4	Yamagata	-	401
AB093475	Influenza C virus (C/Hiroshima/248/2000)	C/Hiroshima/248/2000	-	4	Yamagata	-	401
AB093476	Influenza C virus (C/Hiroshima/249/2000)	C/Hiroshima/249/2000	-	4	Yamagata	-	401
AB093479	Influenza C virus (C/Hiroshima/252/2000)	C/Hiroshima/252/2000	-	4	Yamagata	-	401
AB093480	Influenza C virus (C/Hiroshima/290/99)	C/Hiroshima/290/99	-	4	Yamagata	-	401
AB099410	Influenza C virus (C/Yamagata/2/99)	C/Yamagata/2/99	-	4	Yamagata	-	1926
AB099411	Influenza C virus (C/Yamagata/9/2000)	C/Yamagata/9/2000	-	4	Yamagata	-	1926
AB099412	Influenza C virus (C/Yamagata/2/2000)	C/Yamagata/2/2000	-	4	Yamagata	-	1926
AB099414	Influenza C virus (C/Yamagata/6/2000)	C/Yamagata/6/2000	-	4	Yamagata	-	1926
AB099415	Influenza C virus (C/Yamagata/8/2000)	C/Yamagata/8/2000	-	4	Yamagata	-	1926
AB099417	Influenza C virus (C/Miyagi/3/2000)	C/Miyagi/3/2000	-	4	Yamagata	-	1926
AB099418	Influenza C virus (C/Miyagi/4/2000)	C/Miyagi/4/2000	-	4	Yamagata	-	1926
AB099420	Influenza C virus (C/Saitama/1/2000)	C/Saitama/1/2000	-	4	Yamagata	-	1926
AB099423	Influenza C virus (C/Hiroshima/290/99)	C/Hiroshima/290/99	-	4	Yamagata	-	1926
AB099424	Influenza C virus (C/Hiroshima/252/99)	C/Hiroshima/252/99	-	4	Yamagata	-	1926
AB099425	Influenza C virus (C/Hiroshima/249/2000)	C/Hiroshima/249/2000	-	4	Yamagata	-	1926
AB099427	Influenza C virus (C/Hiroshima/247/2000)	C/Hiroshima/247/2000	-	4	Yamagata	-	1926
AB099428	Influenza C virus (C/Hiroshima/248/2000)	C/Hiroshima/248/2000	-	4	Yamagata	-	1926
AB219076	Influenza C virus (C/Miyagi/3/92)	C/Miyagi/3/92	-	4	Yamagata	-	1926
AB219077	Influenza C virus (C/Miyagi/3/97)	C/Miyagi/3/97	-	4	Yamagata	-	1926
AB219078	Influenza C virus (C/Miyagi/4/97)	C/Miyagi/4/97	-	4	Yamagata	-	1926
AB252154	Influenza C virus (C/Yamagata/15/2004)	C/Yamagata/15/2004	4	4	Yamagata	-	1926
AB252164	Influenza C virus (C/Fukuoka/2/2004)	C/Fukuoka/2/2004	4	4	Yamagata	-	1926
AB899775	Influenza C virus (C/Yamagata/7/81)	C/Yamagata/7/81	-	4	Yamagata	-	1986
AB899776	Influenza C virus (C/Yamagata/10/1981)	C/Yamagata/10/81	-	4	Yamagata	-	1986
D28967	Influenza C virus (C/Yamagata/7/88)	C/Yamagata/7/88	4	4	Yamagata	-	1999
D28968	Influenza C virus (C/Yamagata/8/88)	C/Yamagata/8/88	4	4	Yamagata	-	2012
D28971	Influenza C virus (C/Yamagata/26/81)	C/Yamagata/26/81	4	4	Yamagata	-	2019
D30697	Influenza C virus (C/Nara/2/85)	C/Nara/2/85	4	4	Yamagata	-	1987
D49361	Influenza C virus (C/Yamagata/10/89)	C/Yamagata/10/89	4	4	Yamagata	-	1983
D63468	Influenza C virus (C/Sapporo/71)	C/Sapporo/71	-	4	Yamagata	-	1995
D63472	Influenza C virus (C/Kyoto/1/79)	C/Kyoto/1/79	-	4	Yamagata	-	2027
D63473	Influenza C virus (C/Yamagata/3/88)	C/Yamagata/3/88	-	4	Yamagata	-	1926
D63503	Influenza C virus (C/Yamagata/4/88)	C/Yamagata/4/88	-	4	Yamagata	-	1976
D87392	Influenza C virus (C/Miyagi/2/92)	C/Miyagi/2/92	-	4	Yamagata	-	1987
D87393	Influenza C virus (C/Miyagi/3/91)	C/Miyagi/3/91	-	4	Yamagata	-	1987
D87394	Influenza C virus (C/Miyagi/9/91)	C/Miyagi/9/91	-	4	Yamagata	-	2030
EU086908	Influenza C virus (C/Caen/BO1/2004)	CaenBO1	-	4	Yamagata	-	1729
EU086909	Influenza C virus (C/Caen/JO2/2004)	CaenJO2	-	4	Yamagata	-	1729
K01689	Influenza C virus	-	-	4	Yamagata	-	2071
LC122633	Influenza C virus (C/Great Lakes/1167/1954)	C/Great Lakes/1167/1954	4	4	Yamagata	-	1986
LC122634	Influenza C virus (C/California/78)	C/California/78	4	4	Yamagata	-	1986
LC122636	Influenza C virus (C/pig/Beijing/115/81)	C/pig/Beijing/115/81	4	4	Yamagata	-	1986
LC122637	Influenza C virus (C/England/892/1983)	C/England/892/1983	4	4	Yamagata	-	1986
LC122641	Influenza C virus (C/Miyagi/20/2002)	C/Miyagi/20/2002	4	4	Yamagata	-	1926
LC385859	Influenza C virus (C/Yamagata/15/2004)	C/Yamagata/15/2004	4	4	Yamagata	-	1986
LC603641	Influenza C virus	C/Yamagata/11/88	4	4	Yamagata	-	1986
M11639	Influenza C virus	-	-	4	Yamagata	-	2014
M11642	Influenza C virus	-	-	4	Yamagata	-	2015
M11643	Influenza C virus	-	-	4	Yamagata	-	2015
M11644	Influenza C virus	-	-	4	Yamagata	-	2015
M11645	Influenza C virus	-	-	4	Yamagata	-	2015
