sequenceID	isolate	length	collection_year	collection_month	collection_month_day	gb_segment	country	place_sampled	pubmed_id	host_sci_name
CY151859	B/Victoria/518/2005	1516	2005	JUL	8	6	Australia: Victoria	Victoria	-	human; gender M; age 12Y
CY151860	B/Victoria/518/2005	1804	2005	JUL	8	5	Australia: Victoria	Victoria	-	human; gender M; age 12Y
CY151861	B/Victoria/518/2005	1063	2005	JUL	8	8	Australia: Victoria	Victoria	-	human; gender M; age 12Y
CY151862	B/Victoria/518/2005	2270	2005	JUL	8	3	Australia: Victoria	Victoria	-	human; gender M; age 12Y
CY151863	B/Victoria/518/2005	2323	2005	JUL	8	1	Australia: Victoria	Victoria	-	human; gender M; age 12Y
CY151864	B/Victoria/518/2005	2352	2005	JUL	8	2	Australia: Victoria	Victoria	-	human; gender M; age 12Y
CY151865	B/Brisbane/11/2005	1842	2005	JUL	9	4	Australia: Brisbane	Brisbane	-	human; gender M; age 1Y
CY151866	B/Brisbane/11/2005	1154	2005	JUL	9	7	Australia: Brisbane	Brisbane	-	human; gender M; age 1Y
CY151867	B/Brisbane/11/2005	1516	2005	JUL	9	6	Australia: Brisbane	Brisbane	-	human; gender M; age 1Y
CY151868	B/Brisbane/11/2005	1804	2005	JUL	9	5	Australia: Brisbane	Brisbane	-	human; gender M; age 1Y
CY151869	B/Brisbane/11/2005	1061	2005	JUL	9	8	Australia: Brisbane	Brisbane	-	human; gender M; age 1Y
CY151870	B/Brisbane/11/2005	2270	2005	JUL	9	3	Australia: Brisbane	Brisbane	-	human; gender M; age 1Y
CY151871	B/Brisbane/11/2005	2323	2005	JUL	9	1	Australia: Brisbane	Brisbane	-	human; gender M; age 1Y
CY151872	B/Brisbane/11/2005	2351	2005	JUL	9	2	Australia: Brisbane	Brisbane	-	human; gender M; age 1Y
CY151873	B/Wellington/87/2005	1843	2005	JUL	11	4	New Zealand	-	-	human; gender F; age 12Y
CY151874	B/Wellington/87/2005	1147	2005	JUL	11	7	New Zealand	-	-	human; gender F; age 12Y
CY151875	B/Wellington/87/2005	1516	2005	JUL	11	6	New Zealand	-	-	human; gender F; age 12Y
CY151876	B/Wellington/87/2005	1773	2005	JUL	11	5	New Zealand	-	-	human; gender F; age 12Y
CY151877	B/Wellington/87/2005	1055	2005	JUL	11	8	New Zealand	-	-	human; gender F; age 12Y
CY151878	B/Wellington/87/2005	2264	2005	JUL	11	3	New Zealand	-	-	human; gender F; age 12Y
CY151879	B/Wellington/87/2005	2320	2005	JUL	11	1	New Zealand	-	-	human; gender F; age 12Y
CY151880	B/Wellington/87/2005	2355	2005	JUL	11	2	New Zealand	-	-	human; gender F; age 12Y
CY151881	B/Brisbane/10/2005	1836	2005	JUL	11	4	Australia: Brisbane	Brisbane	-	human; gender M; age 1Y
CY151882	B/Brisbane/10/2005	1147	2005	JUL	11	7	Australia: Brisbane	Brisbane	-	human; gender M; age 1Y
CY151883	B/Brisbane/10/2005	1516	2005	JUL	11	6	Australia: Brisbane	Brisbane	-	human; gender M; age 1Y
CY151884	B/Brisbane/10/2005	1803	2005	JUL	11	5	Australia: Brisbane	Brisbane	-	human; gender M; age 1Y
CY151885	B/Brisbane/10/2005	1056	2005	JUL	11	8	Australia: Brisbane	Brisbane	-	human; gender M; age 1Y
CY151886	B/Brisbane/10/2005	2264	2005	JUL	11	3	Australia: Brisbane	Brisbane	-	human; gender M; age 1Y
CY151887	B/Brisbane/10/2005	2301	2005	JUL	11	1	Australia: Brisbane	Brisbane	-	human; gender M; age 1Y
CY151888	B/Brisbane/10/2005	2355	2005	JUL	11	2	Australia: Brisbane	Brisbane	-	human; gender M; age 1Y
CY151889	B/Townsville/6/2005	1843	2005	JUL	11	4	Australia: Townsville	Townsville	-	human; gender M; age 12Y
CY151890	B/Townsville/6/2005	1147	2005	JUL	11	7	Australia: Townsville	Townsville	-	human; gender M; age 12Y
CY151891	B/Townsville/6/2005	1516	2005	JUL	11	6	Australia: Townsville	Townsville	-	human; gender M; age 12Y
CY151892	B/Townsville/6/2005	1803	2005	JUL	11	5	Australia: Townsville	Townsville	-	human; gender M; age 12Y
CY151893	B/Townsville/6/2005	1062	2005	JUL	11	8	Australia: Townsville	Townsville	-	human; gender M; age 12Y
CY151894	B/Townsville/6/2005	2264	2005	JUL	11	3	Australia: Townsville	Townsville	-	human; gender M; age 12Y
CY151895	B/Townsville/6/2005	2333	2005	JUL	11	1	Australia: Townsville	Townsville	-	human; gender M; age 12Y
CY151896	B/Townsville/6/2005	2355	2005	JUL	11	2	Australia: Townsville	Townsville	-	human; gender M; age 12Y
CY151897	B/Sydney/25/2005	1842	2005	JUL	14	4	Australia	-	-	Homo sapiens
CY151898	B/Sydney/25/2005	1151	2005	JUL	14	7	Australia	-	-	Homo sapiens
CY151899	B/Sydney/25/2005	1524	2005	JUL	14	6	Australia	-	-	Homo sapiens
CY151900	B/Sydney/25/2005	1809	2005	JUL	14	5	Australia	-	-	Homo sapiens
CY151901	B/Sydney/25/2005	1055	2005	JUL	14	8	Australia	-	-	Homo sapiens
CY151902	B/Sydney/25/2005	2267	2005	JUL	14	3	Australia	-	-	Homo sapiens
CY151903	B/Sydney/25/2005	2320	2005	JUL	14	1	Australia	-	-	Homo sapiens
CY151904	B/Sydney/25/2005	2353	2005	JUL	14	2	Australia	-	-	Homo sapiens
CY151905	B/Townsville/8/2005	1836	2005	JUL	14	4	Australia: Townsville	Townsville	-	human; gender M; age 14Y
CY151906	B/Townsville/8/2005	1147	2005	JUL	14	7	Australia: Townsville	Townsville	-	human; gender M; age 14Y
CY151907	B/Townsville/8/2005	1516	2005	JUL	14	6	Australia: Townsville	Townsville	-	human; gender M; age 14Y
CY151908	B/Townsville/8/2005	1803	2005	JUL	14	5	Australia: Townsville	Townsville	-	human; gender M; age 14Y
CY151909	B/Townsville/8/2005	1055	2005	JUL	14	8	Australia: Townsville	Townsville	-	human; gender M; age 14Y
CY151910	B/Townsville/8/2005	2269	2005	JUL	14	3	Australia: Townsville	Townsville	-	human; gender M; age 14Y
CY151911	B/Townsville/8/2005	2328	2005	JUL	14	1	Australia: Townsville	Townsville	-	human; gender M; age 14Y
CY151912	B/Townsville/8/2005	2355	2005	JUL	14	2	Australia: Townsville	Townsville	-	human; gender M; age 14Y
CY151913	B/Sydney/12/2005	1842	2005	JUL	17	4	Australia	-	-	Homo sapiens
CY151914	B/Sydney/12/2005	1154	2005	JUL	17	7	Australia	-	-	Homo sapiens
CY151915	B/Sydney/12/2005	1517	2005	JUL	17	6	Australia	-	-	Homo sapiens
CY151916	B/Sydney/12/2005	1804	2005	JUL	17	5	Australia	-	-	Homo sapiens
CY151917	B/Sydney/12/2005	1061	2005	JUL	17	8	Australia	-	-	Homo sapiens
CY151918	B/Sydney/12/2005	2270	2005	JUL	17	3	Australia	-	-	Homo sapiens
CY151919	B/Sydney/12/2005	2323	2005	JUL	17	1	Australia	-	-	Homo sapiens
CY151920	B/Sydney/12/2005	2355	2005	JUL	17	2	Australia	-	-	Homo sapiens
CY151921	B/Christchurch/209/2005	1840	2005	JUL	20	4	New Zealand: Christchurch	Christchurch	-	human; gender M; age 4Y
CY151922	B/Christchurch/209/2005	1143	2005	JUL	20	7	New Zealand: Christchurch	Christchurch	-	human; gender M; age 4Y
CY151923	B/Christchurch/209/2005	1516	2005	JUL	20	6	New Zealand: Christchurch	Christchurch	-	human; gender M; age 4Y
CY151924	B/Christchurch/209/2005	1803	2005	JUL	20	5	New Zealand: Christchurch	Christchurch	-	human; gender M; age 4Y
CY151925	B/Christchurch/209/2005	1055	2005	JUL	20	8	New Zealand: Christchurch	Christchurch	-	human; gender M; age 4Y
CY151926	B/Christchurch/209/2005	2264	2005	JUL	20	3	New Zealand: Christchurch	Christchurch	-	human; gender M; age 4Y
CY151927	B/Christchurch/209/2005	2320	2005	JUL	20	1	New Zealand: Christchurch	Christchurch	-	human; gender M; age 4Y
CY151928	B/Christchurch/209/2005	2351	2005	JUL	20	2	New Zealand: Christchurch	Christchurch	-	human; gender M; age 4Y
CY151929	B/Brisbane/15/2005	1843	2005	JUL	21	4	Australia: Brisbane	Brisbane	-	human; gender M; age 11Y
CY151930	B/Brisbane/15/2005	1147	2005	JUL	21	7	Australia: Brisbane	Brisbane	-	human; gender M; age 11Y
CY151931	B/Brisbane/15/2005	1516	2005	JUL	21	6	Australia: Brisbane	Brisbane	-	human; gender M; age 11Y
CY151932	B/Brisbane/15/2005	1802	2005	JUL	21	5	Australia: Brisbane	Brisbane	-	human; gender M; age 11Y
CY151933	B/Brisbane/15/2005	1055	2005	JUL	21	8	Australia: Brisbane	Brisbane	-	human; gender M; age 11Y
CY151934	B/Brisbane/15/2005	2269	2005	JUL	21	3	Australia: Brisbane	Brisbane	-	human; gender M; age 11Y
CY151935	B/Brisbane/15/2005	2301	2005	JUL	21	1	Australia: Brisbane	Brisbane	-	human; gender M; age 11Y
CY151936	B/Brisbane/15/2005	2345	2005	JUL	21	2	Australia: Brisbane	Brisbane	-	human; gender M; age 11Y
CY151937	B/Townsville/9/2005	1841	2005	JUL	21	4	Australia: Townsville	Townsville	-	human; gender M; age 19Y
CY151938	B/Townsville/9/2005	1145	2005	JUL	21	7	Australia: Townsville	Townsville	-	human; gender M; age 19Y
CY151939	B/Townsville/9/2005	1516	2005	JUL	21	6	Australia: Townsville	Townsville	-	human; gender M; age 19Y
CY151940	B/Townsville/9/2005	1803	2005	JUL	21	5	Australia: Townsville	Townsville	-	human; gender M; age 19Y
CY151941	B/Townsville/9/2005	1063	2005	JUL	21	8	Australia: Townsville	Townsville	-	human; gender M; age 19Y
CY151942	B/Townsville/9/2005	2258	2005	JUL	21	3	Australia: Townsville	Townsville	-	human; gender M; age 19Y
CY151943	B/Townsville/9/2005	2331	2005	JUL	21	1	Australia: Townsville	Townsville	-	human; gender M; age 19Y
CY151944	B/Townsville/9/2005	2351	2005	JUL	21	2	Australia: Townsville	Townsville	-	human; gender M; age 19Y
CY151945	B/Victoria/120/2005	1842	2005	JUL	25	4	Australia: Victoria	Victoria	-	human; gender M; age 13Y
CY151946	B/Victoria/120/2005	1144	2005	JUL	25	7	Australia: Victoria	Victoria	-	human; gender M; age 13Y
CY151947	B/Victoria/120/2005	1408	2005	JUL	25	6	Australia: Victoria	Victoria	-	human; gender M; age 13Y
CY151948	B/Victoria/120/2005	1804	2005	JUL	25	5	Australia: Victoria	Victoria	-	human; gender M; age 13Y
CY151949	B/Victoria/120/2005	1063	2005	JUL	25	8	Australia: Victoria	Victoria	-	human; gender M; age 13Y
CY151950	B/Victoria/120/2005	2270	2005	JUL	25	3	Australia: Victoria	Victoria	-	human; gender M; age 13Y
CY151951	B/Victoria/120/2005	2323	2005	JUL	25	1	Australia: Victoria	Victoria	-	human; gender M; age 13Y
CY151952	B/Victoria/120/2005	2351	2005	JUL	25	2	Australia: Victoria	Victoria	-	human; gender M; age 13Y
CY151953	B/Victoria/121/2005	1842	2005	JUL	26	4	Australia: Victoria	Victoria	-	human; gender M; age 24Y
CY151954	B/Victoria/121/2005	1154	2005	JUL	26	7	Australia: Victoria	Victoria	-	human; gender M; age 24Y
CY151955	B/Victoria/121/2005	1408	2005	JUL	26	6	Australia: Victoria	Victoria	-	human; gender M; age 24Y
CY151956	B/Victoria/121/2005	1804	2005	JUL	26	5	Australia: Victoria	Victoria	-	human; gender M; age 24Y
CY151957	B/Victoria/121/2005	1063	2005	JUL	26	8	Australia: Victoria	Victoria	-	human; gender M; age 24Y
CY151958	B/Victoria/121/2005	2270	2005	JUL	26	3	Australia: Victoria	Victoria	-	human; gender M; age 24Y
CY151959	B/Victoria/121/2005	2303	2005	JUL	26	1	Australia: Victoria	Victoria	-	human; gender M; age 24Y
CY151960	B/Victoria/121/2005	2360	2005	JUL	26	2	Australia: Victoria	Victoria	-	human; gender M; age 24Y
CY151961	B/Victoria/522/2005	1842	2005	JUL	27	4	Australia	-	-	human; gender M; age 2Y
CY151962	B/Victoria/522/2005	1149	2005	JUL	27	7	Australia	-	-	human; gender M; age 2Y
CY151963	B/Victoria/522/2005	1516	2005	JUL	27	6	Australia	-	-	human; gender M; age 2Y
CY151964	B/Victoria/522/2005	1804	2005	JUL	27	5	Australia	-	-	human; gender M; age 2Y
CY151965	B/Victoria/522/2005	1061	2005	JUL	27	8	Australia	-	-	human; gender M; age 2Y
CY151966	B/Victoria/522/2005	2270	2005	JUL	27	3	Australia	-	-	human; gender M; age 2Y
CY151967	B/Victoria/522/2005	2323	2005	JUL	27	1	Australia	-	-	human; gender M; age 2Y
CY151968	B/Victoria/522/2005	2360	2005	JUL	27	2	Australia	-	-	human; gender M; age 2Y
CY151969	B/Victoria/521/2005	1841	2005	JUL	31	4	Australia	-	-	human; gender M; age 8Y
CY151970	B/Victoria/521/2005	1144	2005	JUL	31	7	Australia	-	-	human; gender M; age 8Y
CY151971	B/Victoria/521/2005	1496	2005	JUL	31	6	Australia	-	-	human; gender M; age 8Y
CY151972	B/Victoria/521/2005	1803	2005	JUL	31	5	Australia	-	-	human; gender M; age 8Y
CY151973	B/Victoria/521/2005	1063	2005	JUL	31	8	Australia	-	-	human; gender M; age 8Y
CY151974	B/Victoria/521/2005	2269	2005	JUL	31	3	Australia	-	-	human; gender M; age 8Y
CY151975	B/Victoria/521/2005	2320	2005	JUL	31	1	Australia	-	-	human; gender M; age 8Y
CY151976	B/Victoria/521/2005	2346	2005	JUL	31	2	Australia	-	-	human; gender M; age 8Y
CY151977	B/Brisbane/19/2005	1842	2005	JUL	31	4	Australia: Brisbane	Brisbane	-	human; age 10Y
CY151978	B/Brisbane/19/2005	1143	2005	JUL	31	7	Australia: Brisbane	Brisbane	-	human; age 10Y
CY151979	B/Brisbane/19/2005	1516	2005	JUL	31	6	Australia: Brisbane	Brisbane	-	human; age 10Y
CY151980	B/Brisbane/19/2005	1804	2005	JUL	31	5	Australia: Brisbane	Brisbane	-	human; age 10Y
CY151981	B/Brisbane/19/2005	1061	2005	JUL	31	8	Australia: Brisbane	Brisbane	-	human; age 10Y
CY151982	B/Brisbane/19/2005	2270	2005	JUL	31	3	Australia: Brisbane	Brisbane	-	human; age 10Y
CY151983	B/Brisbane/19/2005	2303	2005	JUL	31	1	Australia: Brisbane	Brisbane	-	human; age 10Y
CY151984	B/Brisbane/19/2005	2351	2005	JUL	31	2	Australia: Brisbane	Brisbane	-	human; age 10Y
CY151985	B/Brisbane/26/2005	1842	2005	AUG	3	4	Australia: Brisbane	Brisbane	-	human; gender F; age 2Y
CY151986	B/Brisbane/26/2005	1154	2005	AUG	3	7	Australia: Brisbane	Brisbane	-	human; gender F; age 2Y
CY151987	B/Brisbane/26/2005	1516	2005	AUG	3	6	Australia: Brisbane	Brisbane	-	human; gender F; age 2Y
CY151988	B/Brisbane/26/2005	1804	2005	AUG	3	5	Australia: Brisbane	Brisbane	-	human; gender F; age 2Y
CY151989	B/Brisbane/26/2005	1061	2005	AUG	3	8	Australia: Brisbane	Brisbane	-	human; gender F; age 2Y
CY151990	B/Brisbane/26/2005	2270	2005	AUG	3	3	Australia: Brisbane	Brisbane	-	human; gender F; age 2Y
CY151991	B/Brisbane/26/2005	2323	2005	AUG	3	1	Australia: Brisbane	Brisbane	-	human; gender F; age 2Y
CY151992	B/Brisbane/26/2005	2351	2005	AUG	3	2	Australia: Brisbane	Brisbane	-	human; gender F; age 2Y
CY151993	B/Otago/13/2005	1842	2005	AUG	5	4	New Zealand	-	-	human; gender M; age 6Y
CY151994	B/Otago/13/2005	1151	2005	AUG	5	7	New Zealand	-	-	human; gender M; age 6Y
CY151995	B/Otago/13/2005	1513	2005	AUG	5	6	New Zealand	-	-	human; gender M; age 6Y
CY151996	B/Otago/13/2005	1809	2005	AUG	5	5	New Zealand	-	-	human; gender M; age 6Y
CY151997	B/Otago/13/2005	1056	2005	AUG	5	8	New Zealand	-	-	human; gender M; age 6Y
CY151998	B/Otago/13/2005	2265	2005	AUG	5	3	New Zealand	-	-	human; gender M; age 6Y
CY151999	B/Otago/13/2005	2292	2005	AUG	5	1	New Zealand	-	-	human; gender M; age 6Y
CY152000	B/Otago/13/2005	2347	2005	AUG	5	2	New Zealand	-	-	human; gender M; age 6Y
CY152001	B/Brisbane/36/2005	1842	2005	AUG	5	4	Australia: Brisbane	Brisbane	-	Homo sapiens
CY152002	B/Brisbane/36/2005	1154	2005	AUG	5	7	Australia: Brisbane	Brisbane	-	Homo sapiens
CY152003	B/Brisbane/36/2005	1516	2005	AUG	5	6	Australia: Brisbane	Brisbane	-	Homo sapiens
CY152004	B/Brisbane/36/2005	1804	2005	AUG	5	5	Australia: Brisbane	Brisbane	-	Homo sapiens
CY152005	B/Brisbane/36/2005	1046	2005	AUG	5	8	Australia: Brisbane	Brisbane	-	Homo sapiens
CY152006	B/Brisbane/36/2005	2270	2005	AUG	5	3	Australia: Brisbane	Brisbane	-	Homo sapiens
CY152007	B/Brisbane/36/2005	2323	2005	AUG	5	1	Australia: Brisbane	Brisbane	-	Homo sapiens
CY152008	B/Brisbane/36/2005	2354	2005	AUG	5	2	Australia: Brisbane	Brisbane	-	Homo sapiens
CY152009	B/Victoria/303/2005	1842	2005	AUG	5	4	Australia: Victoria	Victoria	-	human; gender F; age 16Y
CY152010	B/Victoria/303/2005	1143	2005	AUG	5	7	Australia: Victoria	Victoria	-	human; gender F; age 16Y
CY152011	B/Victoria/303/2005	1516	2005	AUG	5	6	Australia: Victoria	Victoria	-	human; gender F; age 16Y
CY152012	B/Victoria/303/2005	1804	2005	AUG	5	5	Australia: Victoria	Victoria	-	human; gender F; age 16Y
CY152013	B/Victoria/303/2005	1061	2005	AUG	5	8	Australia: Victoria	Victoria	-	human; gender F; age 16Y
CY152014	B/Victoria/303/2005	2270	2005	AUG	5	3	Australia: Victoria	Victoria	-	human; gender F; age 16Y
CY152015	B/Victoria/303/2005	2323	2005	AUG	5	1	Australia: Victoria	Victoria	-	human; gender F; age 16Y
CY152016	B/Victoria/303/2005	2360	2005	AUG	5	2	Australia: Victoria	Victoria	-	human; gender F; age 16Y
CY152017	B/Victoria/122/2005	1843	2005	AUG	8	4	Australia: Victoria	Victoria	-	human; gender M; age 17Y
CY152018	B/Victoria/122/2005	1154	2005	AUG	8	7	Australia: Victoria	Victoria	-	human; gender M; age 17Y
CY152019	B/Victoria/122/2005	1516	2005	AUG	8	6	Australia: Victoria	Victoria	-	human; gender M; age 17Y
CY152020	B/Victoria/122/2005	1773	2005	AUG	8	5	Australia: Victoria	Victoria	-	human; gender M; age 17Y
CY152021	B/Victoria/122/2005	1040	2005	AUG	8	8	Australia: Victoria	Victoria	-	human; gender M; age 17Y
CY152022	B/Victoria/122/2005	2269	2005	AUG	8	3	Australia: Victoria	Victoria	-	human; gender M; age 17Y
CY152023	B/Victoria/122/2005	2318	2005	AUG	8	1	Australia: Victoria	Victoria	-	human; gender M; age 17Y
CY152024	B/Victoria/122/2005	2353	2005	AUG	8	2	Australia: Victoria	Victoria	-	human; gender M; age 17Y
CY152025	B/Brisbane/38/2005	1842	2005	AUG	9	4	Australia: Brisbane	Brisbane	-	Homo sapiens
CY152026	B/Brisbane/38/2005	1154	2005	AUG	9	7	Australia: Brisbane	Brisbane	-	Homo sapiens
CY152027	B/Brisbane/38/2005	1516	2005	AUG	9	6	Australia: Brisbane	Brisbane	-	Homo sapiens
CY152028	B/Brisbane/38/2005	1804	2005	AUG	9	5	Australia: Brisbane	Brisbane	-	Homo sapiens
CY152029	B/Brisbane/38/2005	1061	2005	AUG	9	8	Australia: Brisbane	Brisbane	-	Homo sapiens
CY152030	B/Brisbane/38/2005	2270	2005	AUG	9	3	Australia: Brisbane	Brisbane	-	Homo sapiens
CY152031	B/Brisbane/38/2005	2323	2005	AUG	9	1	Australia: Brisbane	Brisbane	-	Homo sapiens
CY152032	B/Brisbane/38/2005	2354	2005	AUG	9	2	Australia: Brisbane	Brisbane	-	Homo sapiens
CY152033	B/Townsville/04/2005	1836	2005	AUG	11	4	Australia: Townsville	Townsville	-	human; gender M; age 37Y
CY152034	B/Townsville/04/2005	1147	2005	AUG	11	7	Australia: Townsville	Townsville	-	human; gender M; age 37Y
CY152035	B/Townsville/04/2005	1516	2005	AUG	11	6	Australia: Townsville	Townsville	-	human; gender M; age 37Y
CY152036	B/Townsville/04/2005	1773	2005	AUG	11	5	Australia: Townsville	Townsville	-	human; gender M; age 37Y
CY152037	B/Townsville/04/2005	1040	2005	AUG	11	8	Australia: Townsville	Townsville	-	human; gender M; age 37Y
CY152038	B/Townsville/04/2005	2269	2005	AUG	11	3	Australia: Townsville	Townsville	-	human; gender M; age 37Y
CY152039	B/Townsville/04/2005	2295	2005	AUG	11	1	Australia: Townsville	Townsville	-	human; gender M; age 37Y
CY152040	B/Townsville/04/2005	2353	2005	AUG	11	2	Australia: Townsville	Townsville	-	human; gender M; age 37Y
CY152041	B/Wellington/94/2005	1841	2005	AUG	12	4	New Zealand	-	-	human; gender M; age 23Y
CY152042	B/Wellington/94/2005	1147	2005	AUG	12	7	New Zealand	-	-	human; gender M; age 23Y
CY152043	B/Wellington/94/2005	1516	2005	AUG	12	6	New Zealand	-	-	human; gender M; age 23Y
CY152044	B/Wellington/94/2005	1803	2005	AUG	12	5	New Zealand	-	-	human; gender M; age 23Y
CY152045	B/Wellington/94/2005	1063	2005	AUG	12	8	New Zealand	-	-	human; gender M; age 23Y
CY152046	B/Wellington/94/2005	2264	2005	AUG	12	3	New Zealand	-	-	human; gender M; age 23Y
CY152047	B/Wellington/94/2005	2301	2005	AUG	12	1	New Zealand	-	-	human; gender M; age 23Y
CY152048	B/Wellington/94/2005	2355	2005	AUG	12	2	New Zealand	-	-	human; gender M; age 23Y
CY152049	B/Brisbane/43/2005	1842	2005	AUG	12	4	Australia: Brisbane	Brisbane	-	human; gender M; age 7Y
CY152050	B/Brisbane/43/2005	1144	2005	AUG	12	7	Australia: Brisbane	Brisbane	-	human; gender M; age 7Y
CY152051	B/Brisbane/43/2005	1516	2005	AUG	12	6	Australia: Brisbane	Brisbane	-	human; gender M; age 7Y
CY152052	B/Brisbane/43/2005	1804	2005	AUG	12	5	Australia: Brisbane	Brisbane	-	human; gender M; age 7Y
CY152053	B/Brisbane/43/2005	1061	2005	AUG	12	8	Australia: Brisbane	Brisbane	-	human; gender M; age 7Y
CY152054	B/Brisbane/43/2005	2270	2005	AUG	12	3	Australia: Brisbane	Brisbane	-	human; gender M; age 7Y
CY152055	B/Brisbane/43/2005	2303	2005	AUG	12	1	Australia: Brisbane	Brisbane	-	human; gender M; age 7Y
CY152056	B/Brisbane/43/2005	2355	2005	AUG	12	2	Australia: Brisbane	Brisbane	-	human; gender M; age 7Y
CY152057	B/Victoria/307/2005	1842	2005	AUG	17	4	Australia: Victoria	Victoria	-	human; gender F; age 7Y
CY152058	B/Victoria/307/2005	1151	2005	AUG	17	7	Australia: Victoria	Victoria	-	human; gender F; age 7Y
CY152059	B/Victoria/307/2005	1505	2005	AUG	17	6	Australia: Victoria	Victoria	-	human; gender F; age 7Y
CY152060	B/Victoria/307/2005	1786	2005	AUG	17	5	Australia: Victoria	Victoria	-	human; gender F; age 7Y
CY152061	B/Victoria/307/2005	1055	2005	AUG	17	8	Australia: Victoria	Victoria	-	human; gender F; age 7Y
CY152062	B/Victoria/307/2005	2265	2005	AUG	17	3	Australia: Victoria	Victoria	-	human; gender F; age 7Y
CY152063	B/Victoria/307/2005	2324	2005	AUG	17	1	Australia: Victoria	Victoria	-	human; gender F; age 7Y
CY152064	B/Victoria/307/2005	2367	2005	AUG	17	2	Australia: Victoria	Victoria	-	human; gender F; age 7Y
CY152065	B/Victoria/1308/2005	1836	2005	AUG	17	4	Australia: Victoria	Victoria	-	human; gender F; age 3Y
CY152066	B/Victoria/1308/2005	1147	2005	AUG	17	7	Australia: Victoria	Victoria	-	human; gender F; age 3Y
CY152067	B/Victoria/1308/2005	1516	2005	AUG	17	6	Australia: Victoria	Victoria	-	human; gender F; age 3Y
CY152068	B/Victoria/1308/2005	1803	2005	AUG	17	5	Australia: Victoria	Victoria	-	human; gender F; age 3Y
CY152069	B/Victoria/1308/2005	1055	2005	AUG	17	8	Australia: Victoria	Victoria	-	human; gender F; age 3Y
CY152070	B/Victoria/1308/2005	2269	2005	AUG	17	3	Australia: Victoria	Victoria	-	human; gender F; age 3Y
CY152071	B/Victoria/1308/2005	2332	2005	AUG	17	1	Australia: Victoria	Victoria	-	human; gender F; age 3Y
CY152072	B/Victoria/1308/2005	2355	2005	AUG	17	2	Australia: Victoria	Victoria	-	human; gender F; age 3Y
CY152073	B/Brisbane/65/2005	1842	2005	AUG	17	4	Australia: Brisbane	Brisbane	-	human; gender F; age 10Y
CY152074	B/Brisbane/65/2005	1150	2005	AUG	17	7	Australia: Brisbane	Brisbane	-	human; gender F; age 10Y
CY152075	B/Brisbane/65/2005	1516	2005	AUG	17	6	Australia: Brisbane	Brisbane	-	human; gender F; age 10Y
CY152076	B/Brisbane/65/2005	1780	2005	AUG	17	5	Australia: Brisbane	Brisbane	-	human; gender F; age 10Y
CY152077	B/Brisbane/65/2005	1063	2005	AUG	17	8	Australia: Brisbane	Brisbane	-	human; gender F; age 10Y
CY152078	B/Brisbane/65/2005	2270	2005	AUG	17	3	Australia: Brisbane	Brisbane	-	human; gender F; age 10Y
CY152079	B/Brisbane/65/2005	2323	2005	AUG	17	1	Australia: Brisbane	Brisbane	-	human; gender F; age 10Y
CY152080	B/Brisbane/65/2005	2351	2005	AUG	17	2	Australia: Brisbane	Brisbane	-	human; gender F; age 10Y
CY152081	B/Victoria/524/2005	1843	2005	AUG	19	4	Australia: Victoria	Victoria	-	human; gender M; age 1Y
CY152082	B/Victoria/524/2005	1092	2005	AUG	19	7	Australia: Victoria	Victoria	-	human; gender M; age 1Y
CY152083	B/Victoria/524/2005	1516	2005	AUG	19	6	Australia: Victoria	Victoria	-	human; gender M; age 1Y
CY152084	B/Victoria/524/2005	1804	2005	AUG	19	5	Australia: Victoria	Victoria	-	human; gender M; age 1Y
CY152085	B/Victoria/524/2005	1061	2005	AUG	19	8	Australia: Victoria	Victoria	-	human; gender M; age 1Y
CY152086	B/Victoria/524/2005	2270	2005	AUG	19	3	Australia: Victoria	Victoria	-	human; gender M; age 1Y
CY152087	B/Victoria/524/2005	2303	2005	AUG	19	1	Australia: Victoria	Victoria	-	human; gender M; age 1Y
CY152088	B/Victoria/524/2005	2354	2005	AUG	19	2	Australia: Victoria	Victoria	-	human; gender M; age 1Y
CY152089	B/Sydney/27/2005	1842	2005	AUG	22	4	Australia	-	-	Homo sapiens
CY152090	B/Sydney/27/2005	1154	2005	AUG	22	7	Australia	-	-	Homo sapiens
CY152091	B/Sydney/27/2005	1516	2005	AUG	22	6	Australia	-	-	Homo sapiens
CY152092	B/Sydney/27/2005	1804	2005	AUG	22	5	Australia	-	-	Homo sapiens
CY152093	B/Sydney/27/2005	1063	2005	AUG	22	8	Australia	-	-	Homo sapiens
CY152094	B/Sydney/27/2005	2270	2005	AUG	22	3	Australia	-	-	Homo sapiens
CY152095	B/Sydney/27/2005	2323	2005	AUG	22	1	Australia	-	-	Homo sapiens
CY152096	B/Sydney/27/2005	2354	2005	AUG	22	2	Australia	-	-	Homo sapiens
CY152097	B/Sydney/20/2005	1836	2005	AUG	25	4	Australia	-	-	Homo sapiens
CY152098	B/Sydney/20/2005	1149	2005	AUG	25	7	Australia	-	-	Homo sapiens
CY152099	B/Sydney/20/2005	1516	2005	AUG	25	6	Australia	-	-	Homo sapiens
CY152100	B/Sydney/20/2005	1773	2005	AUG	25	5	Australia	-	-	Homo sapiens
CY152101	B/Sydney/20/2005	1055	2005	AUG	25	8	Australia	-	-	Homo sapiens
CY152102	B/Sydney/20/2005	2270	2005	AUG	25	3	Australia	-	-	Homo sapiens
