isolate	gb_subtype	rec_subtype	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession
C/Yamagata/2/2005	-	-	2005	-	-	Homo sapiens	-	Japan	LC123343	LC123445	LC123547	LC122649	LC123776	LC123841	LC125005
C/Seoul/APD462/2015	-	-	2015	APR	11	Homo sapiens	-	South Korea	MK050104	MK050103	MK050102	MK050092	MK050100	MK050101	MK050096
C/Miyagi/7/91	-	-	-	-	-	-	-	-	AB086677	AB086705	AB086734	AB086660	AB086751	AB086765	AB034179
C/Yamagata/18/2004	-	-	2004	-	-	Homo sapiens	-	Japan	LC123335	LC123437	LC123539	LC122644	LC123768	LC123833	LC124997
C/Iwate/2/2016	-	-	2016	-	-	Homo sapiens	-	Japan	LC327659	LC327660	LC327661	LC327662	LC327663	LC327664	LC327665
C/Yamagata/26/2004	-	-	2004	-	-	Homo sapiens	-	Japan	LC123336	LC123438	LC123540	LC122645	LC123769	LC123834	LC124998
C/Biliran/TB5-241/2014	-	-	2014	JUN	20	Homo sapiens	nasal swab	Philippines	MZ330957	MZ330956	MZ330955	MZ330951	MZ330953	MZ330952	MZ330954
C/Yamagata/8/2000	-	-	-	-	-	-	-	-	AB099436	AB099461	AB099535	AB099415	AB099560	AB099584	AB099608
C/Yamagata/1/2007	-	-	2007	JAN	17	Homo sapiens	-	Japan	LC123355	LC123457	LC123559	LC122660	AB684315	LC123853	LC125017
C/Miyagi/3/2010	-	-	2010	-	-	Homo sapiens	-	Japan	LC123362	LC123464	LC123566	LC122665	LC123792	LC123860	LC125024
C/Bovine/Montana/12/2016	-	-	2016	NOV	18	Bos taurus	sick calve's nasal swab	USA	MH348113	MH348114	MH348115	MH348116	MH348117	MH348118	MH348119
C/Leyte/2/2011	-	-	2011	-	-	Homo sapiens	-	Philippines	AB979705	AB980263	AB981323	AB978549	AB981423	AB982132	AB985617
C/Yamagata/7/2002	-	-	2002	-	-	Homo sapiens	-	Japan	LC123326	LC123428	LC123530	AB899778	LC123761	LC123824	LC124988
C/Hiroshima/246/2000	-	-	-	-	-	-	-	Japan	AB099447	AB099472	AB099546	AB099426	AB099571	AB099595	AB099619
C/Yamagata/28/2012	-	-	2012	-	-	Homo sapiens	-	Japan	LC123369	LC123471	LC123573	LC122671	LC123799	LC123867	LC125031
C/Yamagata/1/86	-	-	-	-	-	Homo sapiens	-	-	AB086674	AB086702	AB086731	AB086657	AB086748	AB000611	AB034170
C/Yamagata/11/88	-	-	1988	-	-	Homo sapiens	-	Japan	LC603646	LC603647	LC603645	LC603641	LC603643	LC603642	LC603644
C/Hiroshima/247/2000	-	-	-	-	-	-	-	Japan	AB099448	AB099473	AB099547	AB099427	AB099572	AB099596	AB099620
C/Miyagi/2/96	-	-	-	-	-	-	-	-	AB086688	AB086716	AB086736	AB086662	AB086753	AB086777	AB086800
C/Yamagata/32/2014	-	-	2014	-	-	Homo sapiens	-	Japan	LC123377	LC123479	LC123581	LC013259	LC123807	LC123875	LC125039
C/California/78	-	-	1978	-	-	Homo sapiens	-	USA	LC123294	LC123396	LC123498	LC122634	LC123731	AB000608	M10087
C/Nara/2/85	-	-	-	-	-	Homo sapiens	-	-	D78399	D78400	D78398	D30697	D78440	AB000727	AB034169
C/Palawan/1/2013	-	-	2013	-	-	Homo sapiens	-	Philippines	AB979719	AB980277	AB981337	AB978566	AB981437	AB982146	AB985631
C/Biliran/TB2-162/2014	-	-	2014	JUN	25	Homo sapiens	nasal swab	Philippines	MZ330887	MZ330886	MZ330885	MZ330881	MZ330883	MZ330882	MZ330884
C/Miyagi/2/93	-	-	-	-	-	-	-	-	AB086679	AB086707	AB064456	D88427	AB064477	AB086768	AB086791
C/Yamagata/14/2004	-	-	2004	-	-	Homo sapiens	-	Japan	LC123333	LC123435	LC123537	AB899779	LC123767	LC123831	LC124995
