strain_id	complete	seq_count	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_region	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession	segment_1_counts	segment_2_counts	segment_3_counts	segment_4_counts	segment_5_counts	segment_6_counts	segment_7_counts																							
C/Hiroshima/252/2000	FALSE	1	-	-	-	-	human throat swab from child with bronchitis	Japan	Hiroshima	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Minnesota/12/2015	FALSE	2	2015	MAR	12	Homo sapiens	-	USA	Minnesota	0	0	0	CY239438	0	CY239439	0	0	0	0	1	0	1	0																							
C/Hiroshima/252/99	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Miyagi/5/93	FALSE	6	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Yamagata/5/89	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Alberta/4753/2011	FALSE	2	2011	FEB	19	Homo sapiens	nasopharyngeal swab	Canada	Alberta	0	0	0	JX080412	0	JX133155	0	0	0	0	1	0	1	0																							
C/NewJersey/76	FALSE	7	-	-	-	-	-	USA	NULL	0	0	0	0	AB684309	0	0	0	0	0	0	1	0	0																							
C/Saitama/2/2000	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Yamagata/9/2000	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Yamagata/14/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512491	0	0	0	0	0	0	1	0	0	0																							
C/Chenogju/GPD1029/2015	FALSE	1	2015	MAY	5	Homo sapiens	-	South Korea	NULL	0	0	0	0	0	0	MK050097	0	0	0	0	0	0	1																							
C/Catalonia/1373/2009	FALSE	1	2009	SEP	9	Homo sapiens	nasopharyngeal swab	Spain	Catalonia	0	0	0	HM748628	0	0	0	0	0	0	1	0	0	0																							
C/Miyagi/1/94	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Bovine/Colorado/6/2017	FALSE	1	2017	DEC	30	Bos taurus	nasal swab	USA	Colorado	0	0	0	0	0	MH421867	0	0	0	0	0	0	1	0																							
C/Leyte/4/2011	FALSE	1	-	-	-	Homo sapiens	-	Philippines	Leyte	0	0	0	AB978551	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/2/99	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Minnesota/13/2015	FALSE	2	2015	MAR	21	Homo sapiens	-	USA	Minnesota	0	0	0	CY239440	0	CY239441	0	0	0	0	1	0	1	0																							
C/Yamagata/33/2014	FALSE	7	2014	-	-	Homo sapiens	-	Japan	Yamagata	LC123378	LC123480	LC123582	0	LC123808	LC123876	LC125040	1	1	1	0	1	1	1																							
C/Chenogju/GPD805/2015	FALSE	1	2015	MAR	19	Homo sapiens	-	South Korea	NULL	0	0	0	0	0	0	MK050099	0	0	0	0	0	0	1																							
C/Mie/193/2012	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751597	0	0	0	0	0	0	1	0	0	0																							
C/Thailand/B12983_PB2_gene/2015	FALSE	1	2015	SEP	25	Homo sapiens	nasal swab	Thailand	NULL	MK480597	0	0	0	0	0	0	1	0	0	0	0	0	0																							
C/Mie/204/2012	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751599	0	0	0	0	0	0	1	0	0	0																							
C/Mie/185/2012	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751598	0	0	0	0	0	0	1	0	0	0																							
C/Miyagi/1/97	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Bovine/Missouri/5/2017	FALSE	1	2017	DEC	30	Bos taurus	nasal swab	USA	Missouri	0	0	0	0	0	MH421866	0	0	0	0	0	0	1	0																							
C/Miyagi/2/96	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Miyagi/3/91	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Sendai/TU1/2008	FALSE	7	2008	-	-	Homo sapiens	-	Japan	"Miyagi, Sendai"	AB979707	AB980265	AB981325	AB978553	0	AB982134	AB985619	1	1	1	1	0	1	1																							
C/Thailand/CN38_HE_gene/2017	FALSE	1	2017	MAR	7	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	MK480599	0	0	0	0	0	0	1	0	0	0																							
C/Kaohsiung/105032177/2016	FALSE	1	2016	MAR	21	Homo sapiens	throat swab	Taiwan	Kaohsiung	0	0	0	MH185833	0	0	0	0	0	0	1	0	0	0																							
C/Minnesota/14/2015	FALSE	2	2015	MAR	23	Homo sapiens	-	USA	Minnesota	0	0	0	CY239442	0	CY239443	0	0	0	0	1	0	1	0																							
C/Cheongju/GPD805/2015	FALSE	1	2015	MAR	19	Homo sapiens	-	South Korea	NULL	0	0	0	MK050094	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/28/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512494	0	0	0	0	0	0	1	0	0	0																							
C/Thailand/B12983_PB1_gene/2015	FALSE	1	2015	SEP	25	Homo sapiens	nasal swab	Thailand	NULL	0	MK480596	0	0	0	0	0	0	1	0	0	0	0	0																							
C/Leyte/3/2013	FALSE	7	2013	-	-	Homo sapiens	-	Philippines	Leyte	AB979718	AB980276	AB981333	AB978565	0	AB982145	AB985630	1	1	1	1	0	1	1																							
C/Mie/277/2012	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751365	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/20/2004	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Catalonia/1318/2009	FALSE	1	2009	SEP	1	Homo sapiens	nasopharyngeal swab	Spain	Catalonia	0	0	0	HM748631	0	0	0	0	0	0	1	0	0	0																							
Aomori/74	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	D16259	0	0	0	0	0	0	1	0																							
C/Leyte/3/2011	FALSE	7	2011	-	-	Homo sapiens	-	Philippines	Leyte	AB979706	AB980264	AB981324	AB978550	0	AB982133	AB985618	1	1	1	1	0	1	1																							
C/Melbourne/2/2011	FALSE	1	2011	OCT	7	Homo sapiens	nasopharyngeal swab	Australia	Melbourne	0	0	0	JN899406	0	0	0	0	0	0	1	0	0	0																							
C/Thailand/B12597_P3_gene/2015	FALSE	1	2015	AUG	31	Homo sapiens	nasal swab	Thailand	NULL	0	0	MK480591	0	0	0	0	0	0	1	0	0	0	0																							
C/Hiroshima/4/2004	FALSE	1	-	-	-	-	-	Japan	Hiroshima	0	0	0	AB252163	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/14/2014	FALSE	1	2014	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Thailand/B12597_PB1_gene/2015	FALSE	1	2015	AUG	31	Homo sapiens	nasal swab	Thailand	NULL	0	MK480589	0	0	0	0	0	0	1	0	0	0	0	0																							
Yamagata/64	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	D16258	0	0	0	0	0	0	1	0																							
C/Kansas/2/79	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Ann Arbor/1/50 persistent variant (C/AA-pi)	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Thailand/B12597_HE_gene/2015	FALSE	1	2015	AUG	31	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	MK480585	0	0	0	0	0	0	1	0	0	0																							
Yamagata/1/88	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	D16261	0	0	0	0	0	0	1	0																							
C/Miyagi/6/93	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Alberta/10161/2011	FALSE	2	2011	APR	15	Homo sapiens	nasopharyngeal swab	Canada	Alberta	0	0	0	JX080414	0	JX133159	0	0	0	0	1	0	1	0																							
Johannesburg/1/66	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Yamagata/6/2018	FALSE	1	2018	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512501	0	0	0	0	0	0	1	0	0	0																							
C/Mie/198/2012	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751601	0	0	0	0	0	0	1	0	0	0																							
CaenLE2	FALSE	1	2006	-	-	-	-	France	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Yamagata/16/2018	FALSE	1	2018	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512503	0	0	0	0	0	0	1	0	0	0																							
C/Scotland/5334/2007	FALSE	2	2007	-	-	Homo sapiens	respiratory sample	United Kingdom	NULL	0	0	0	0	KT835359	KT835366	0	0	0	0	0	1	1	0																							
C/Thailand/CN38_M_gene/2017	FALSE	1	2017	MAR	7	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	0	0	MK480600	0	0	0	0	0	0	1	0																							
C/Saitama/3/2000	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Yamagata/1/88	FALSE	1	-	-	-	Homo sapiens	-	-	NULL	0	0	0	0	0	0	AB002469	0	0	0	0	0	0	1																							
C/Thailand/B12983_P3_gene/2015	FALSE	1	2015	SEP	25	Homo sapiens	nasal swab	Thailand	NULL	0	0	MK480598	0	0	0	0	0	0	1	0	0	0	0																							
C/Yamagata/9/96	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Kyoto/41/82	FALSE	5	-	-	-	Homo sapiens	-	-	NULL	0	0	0	0	D78434	AB000724	D78435	0	0	0	0	1	2	1																							
C/Yamagata/1/2017	FALSE	1	2017	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512497	0	0	0	0	0	0	1	0	0	0																							
C/Alberta/2921/2011	FALSE	2	2011	MAR	4	Homo sapiens	nasopharyngeal swab	Canada	Alberta	0	0	0	JX080409	0	JX133151	0	0	0	0	1	0	1	0																							
C/Thailand/c5395_HE_gene/2015	FALSE	1	2015	JAN	7	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	MK480578	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/39/2018	FALSE	1	2018	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512513	0	0	0	0	0	0	1	0	0	0																							
CMiyagi/5/93	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Minnesota/06/2015	FALSE	2	2015	FEB	15	Homo sapiens	-	USA	Minnesota	0	0	0	CY239428	0	CY239429	0	0	0	0	1	0	1	0																							
C/Yamagata/5/2018	FALSE	1	2018	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512512	0	0	0	0	0	0	1	0	0	0																							
Mississippi/80	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Yamagata/42/2018	FALSE	1	2018	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512509	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/15/2014	FALSE	1	2014	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Thailand/c5395_M_gene/2015	FALSE	1	2015	JAN	7	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	0	0	MK480579	0	0	0	0	0	0	1	0																							
England/892/83	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Nara/1/85	FALSE	14	-	-	-	Homo sapiens	-	-	NULL	D78396	D30691	D78395	0	D30708	D30709	D30707	2	2	2	0	2	3	2																							
C/Minnesota/20/2015	FALSE	2	2015	MAR	29	Homo sapiens	-	USA	Minnesota	0	0	0	CY239452	0	CY239453	0	0	0	0	1	0	1	0																							
C/Mie/265/2012	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751595	0	0	0	0	0	0	1	0	0	0																							
CaenBA1	FALSE	1	2007	-	-	-	-	France	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Minnesota/32/2015	FALSE	2	2015	MAR	2	Homo sapiens	-	USA	Minnesota	0	0	0	CY239479	0	CY239480	0	0	0	0	1	0	1	0																							
C/Miyagi/4/2000	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
Great Lakes/1167/54	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
Ann Arbor/1/50	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Minnesota/31/2015	FALSE	2	2015	FEB	28	Homo sapiens	-	USA	Minnesota	0	0	0	CY239477	0	CY239478	0	0	0	0	1	0	1	0																							
C/Johannesburg/66	FALSE	1	-	-	-	Homo sapiens	-	-	NULL	0	0	0	0	0	AB000604	0	0	0	0	0	0	1	0																							
C/Alberta/2193/2011	FALSE	1	2011	JAN	24	Homo sapiens	nasopharyngeal fluid	Canada	Alberta	0	0	0	0	0	JX133157	0	0	0	0	0	0	1	0																							
C/Yamagata/12/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC385863	0	0	0	0	0	0	1	0	0	0																							
C/Miyagi/1/99	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Minnesota/33/2015	FALSE	2	2015	MAR	11	Homo sapiens	-	USA	Minnesota	0	0	0	CY239481	0	CY239482	0	0	0	0	1	0	1	0																							
C/England/892/1983	FALSE	6	1983	-	-	Homo sapiens	-	United Kingdom	NULL	LC123307	LC123409	LC123511	LC122637	LC123743	0	LC124985	1	1	1	1	1	0	1																							
C/Yamagata/7/2002	FALSE	7	2002	-	-	Homo sapiens	-	Japan	Yamagata	LC123326	LC123428	LC123530	0	LC123761	LC123824	LC124988	1	1	1	0	1	1	1																							
C/Minnesota/18/2015	FALSE	2	2015	MAR	27	Homo sapiens	-	USA	Minnesota	0	0	0	CY239448	0	CY239449	0	0	0	0	1	0	1	0																							
C/Fukuoka/2/2004	FALSE	1	-	-	-	-	-	Japan	Fukuoka	0	0	0	AB252164	0	0	0	0	0	0	1	0	0	0																							
C/Miyagi/2/93	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	D88427	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/36/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC385867	0	0	0	0	0	0	1	0	0	0																							
C/Mie/275/2012	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751594	0	0	0	0	0	0	1	0	0	0																							
C/Minnesota/05/2015	FALSE	2	2015	FEB	5	Homo sapiens	-	USA	Minnesota	0	0	0	CY239427	0	CY239426	0	0	0	0	1	0	1	0																							
C/Yamagata/2/2015	FALSE	1	2015	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512488	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/10/1981	FALSE	6	1981	-	-	Homo sapiens	-	Japan	Yamagata	LC123302	LC123404	LC123506	0	LC123738	LC123820	LC124984	1	1	1	0	1	1	1																							
C/Mie/186/2012	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751364	0	0	0	0	0	0	1	0	0	0																							
C/Leyte/5/2011	FALSE	1	-	-	-	Homo sapiens	-	Philippines	Leyte	0	0	0	AB978552	0	0	0	0	0	0	1	0	0	0																							
C/Miyagi/7/91	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Miyagi/7/96	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Thailand/CN38_PB1_gene/2017	FALSE	1	2017	MAR	7	Homo sapiens	nasal swab	Thailand	NULL	0	MK480603	0	0	0	0	0	0	1	0	0	0	0	0																							
C/Yamagata/1/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC385860	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/6/98	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Minnesota/08/2015	FALSE	2	2015	MAR	4	Homo sapiens	-	USA	Minnesota	0	0	0	CY239433	0	CY239432	0	0	0	0	1	0	1	0																							
C/kyouto/41/82	FALSE	2	-	-	-	Homo sapiens	-	-	NULL	D78390	D78391	0	0	0	0	0	1	1	0	0	0	0	0																							
C/Yamagata/30/2014	FALSE	7	2014	-	-	Homo sapiens	-	Japan	Yamagata	LC123376	LC123478	LC123580	0	LC123806	LC123874	LC125038	1	1	1	0	1	1	1																							
C/Mie/199/2012egg	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751596	0	0	0	0	0	0	1	0	0	0																							
C/Catalonia/1945/2009	FALSE	1	2009	NOV	23	Homo sapiens	nasopharyngeal swab	Spain	Catalonia	0	0	0	HM748625	0	0	0	0	0	0	1	0	0	0																							
C/Lancaster/1/2015	FALSE	3	2015	JAN	23	Homo sapiens	-	United Kingdom	Lancaster	KY075640	0	0	0	0	KY075642	0	2	0	0	0	0	1	0																							
C/Miyagi/4/93	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Pig/Beijing/115/81	FALSE	4	-	-	-	Homo sapiens	-	-	NULL	0	0	0	0	D78444	D78426	D78445	0	0	0	0	1	1	1																							
C/Mie/182/2012	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751602	0	0	0	0	0	0	1	0	0	0																							
C/Thailand/c5395_PB1_gene/2015	FALSE	1	2015	JAN	7	Homo sapiens	nasal swab	Thailand	NULL	0	MK480582	0	0	0	0	0	0	1	0	0	0	0	0																							
C/Minnesota/29/2015	FALSE	2	2015	FEB	23	Homo sapiens	-	USA	Minnesota	0	0	0	CY239473	0	CY239474	0	0	0	0	1	0	1	0																							
CaenMA5	FALSE	1	2005	-	-	-	-	France	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Seoul/APD401/2015	FALSE	2	2015	MAR	29	Homo sapiens	-	South Korea	NULL	0	0	0	MK050093	0	0	MK050095	0	0	0	1	0	0	1																							
C/Yamagata/25/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512492	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/4/2012	FALSE	7	2012	-	-	Homo sapiens	-	Japan	Yamagata	LC123366	LC123468	LC123570	0	LC123796	LC123864	LC125028	1	1	1	0	1	1	1																							
C/Cheongju/GPD1653/2016	FALSE	1	2016	MAY	19	Homo sapiens	-	South Korea	NULL	0	0	0	0	0	0	MK050098	0	0	0	0	0	0	1																							
C/Minnesota/16/2015	FALSE	1	2015	MAR	19	Homo sapiens	-	USA	Minnesota	0	0	0	CY239446	0	0	0	0	0	0	1	0	0	0																							
C/Miyagi/2/2000	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Yamagata/6/2014	FALSE	7	2014	-	-	Homo sapiens	-	Japan	Yamagata	LC123373	LC123475	LC123577	0	LC123803	LC123871	LC125035	1	1	1	0	1	1	1																							
C/Kaohsiung/97042912C/2008	FALSE	1	2008	APR	29	Homo sapiens	throat swab	Taiwan	Kaohsiung	0	0	0	MH185831	0	0	0	0	0	0	1	0	0	0																							
C/Miyagi/3/2000	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Thailand/CN38_PB2_gene/2017	FALSE	1	2017	MAR	7	Homo sapiens	nasal swab	Thailand	NULL	MK480604	0	0	0	0	0	0	1	0	0	0	0	0	0																							
CaenME1	FALSE	1	2005	-	-	-	-	France	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
CaenBR1	FALSE	1	2006	-	-	-	-	France	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Sendai/TU4/2008	FALSE	1	-	-	-	Homo sapiens	-	Japan	"Miyagi, Sendai"	0	0	0	AB978556	0	0	0	0	0	0	1	0	0	0																							
C/Minnesota/27/2015	FALSE	2	2015	FEB	4	Homo sapiens	-	USA	Minnesota	0	0	0	CY239469	0	CY239470	0	0	0	0	1	0	1	0																							
C/Berlin/1/85	FALSE	1	-	-	-	-	embryonated chicken eggs	-	NULL	X55992	0	0	0	0	0	0	1	0	0	0	0	0	0																							
C/Yamagata/30/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512510	0	0	0	0	0	0	1	0	0	0																							
C/Biliran/1/2013	FALSE	7	2013	-	-	Homo sapiens	-	Philippines	Biliran	AB979713	AB980271	AB981334	AB978560	0	AB982140	AB985625	1	1	1	1	0	1	1																							
C/Yamagata/29/2012	FALSE	7	2012	-	-	Homo sapiens	-	Japan	Yamagata	LC123370	LC123472	LC123574	0	LC123800	LC123868	LC125032	1	1	1	0	1	1	1																							
C/Greece/1/79	FALSE	4	1979	-	-	Homo sapiens	-	Greece	NULL	LC123296	LC123398	LC123500	0	0	0	0	1	1	1	0	0	0	0																							
C/Minnesota/15/2015	FALSE	2	2015	MAR	20	Homo sapiens	-	USA	Minnesota	0	0	0	CY239444	0	CY239445	0	0	0	0	1	0	1	0																							
C/Kansas/1/79	FALSE	11	1979	-	-	Homo sapiens	-	USA	NULL	LC123295	LC123397	LC123499	0	LC123732	0	0	1	1	1	0	1	0	0																							
C/Catalonia/1372/2009	FALSE	1	2009	SEP	14	Homo sapiens	nasopharyngeal swab	Spain	Catalonia	0	0	0	HM748627	0	0	0	0	0	0	1	0	0	0																							
C/Georgia/1/69	FALSE	7	1969	-	-	Homo sapiens	-	USA	NULL	LC123288	LC123390	LC123492	0	LC123726	LC123818	LC124981	1	1	1	0	1	1	1																							
C/Miyagi/9/91	FALSE	9	-	-	-	Homo sapiens	-	-	NULL	0	0	0	0	0	AB000614	0	0	0	0	0	0	1	0																							
C/Minnesota/23/2015	FALSE	2	2015	APR	15	Homo sapiens	-	USA	Minnesota	0	0	0	CY239457	0	CY239458	0	0	0	0	1	0	1	0																							
C/Catalonia/1266/2009	FALSE	1	2009	AUG	25	Homo sapiens	nasopharyngeal swab	Spain	Catalonia	0	0	0	HM748629	0	0	0	0	0	0	1	0	0	0																							
C/Thailand/B12597_NP_gene/2015	FALSE	1	2015	AUG	31	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	0	MK480588	0	0	0	0	0	0	1	0	0																							
CaenBO1	FALSE	1	2004	-	-	-	-	France	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Sendai/TU3/2008	FALSE	7	2008	-	-	Homo sapiens	-	Japan	"Miyagi, Sendai"	AB979709	AB980267	AB981327	AB978555	0	AB982136	AB985621	1	1	1	1	0	1	1																							
C/Catalonia/2588/2010	FALSE	1	2010	APR	13	Homo sapiens	nasopharyngeal swab	Spain	Catalonia	0	0	0	HM748634	0	0	0	0	0	0	1	0	0	0																							
CaenMA3	FALSE	1	2005	-	-	-	-	France	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Biliran/2/2013	FALSE	7	2013	-	-	Homo sapiens	-	Philippines	Biliran	AB979714	AB980272	AB981335	AB978561	0	AB982141	AB985626	1	1	1	1	0	1	1																							
C/Minnesota/21/2015	FALSE	1	2015	MAR	29	Homo sapiens	-	USA	Minnesota	0	0	0	CY239454	0	0	0	0	0	0	1	0	0	0																							
C/Osaka/2/2004	FALSE	1	-	-	-	-	-	Japan	Osaka	0	0	0	AB252162	0	0	0	0	0	0	1	0	0	0																							
C/Sendai/TU5/2008	FALSE	7	2008	-	-	Homo sapiens	-	Japan	"Miyagi, Sendai"	AB979710	AB980268	AB981328	AB978557	0	AB982137	AB985622	1	1	1	1	0	1	1																							
C/Minnesota/22/2015	FALSE	2	2015	MAR	31	Homo sapiens	-	USA	Minnesota	0	0	0	CY239455	0	CY239456	0	0	0	0	1	0	1	0																							
C/Minnesota/30/2015	FALSE	2	2015	FEB	23	Homo sapiens	-	USA	Minnesota	0	0	0	CY239475	0	CY239476	0	0	0	0	1	0	1	0																							
C/Yamagata/37/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512496	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/8/88	FALSE	2	-	-	-	Homo sapiens	-	-	NULL	0	0	0	D28968	0	AB000612	0	0	0	0	1	0	1	0																							
C/Yamagata/2/2017	FALSE	1	2017	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512498	0	0	0	0	0	0	1	0	0	0																							
C/kyoto/41/82	FALSE	1	-	-	-	Homo sapiens	-	-	NULL	0	0	D78389	0	0	0	0	0	0	1	0	0	0	0																							
C/Scotland/5500/2007	FALSE	6	2007	-	-	Homo sapiens	respiratory sample	United Kingdom	NULL	KT835344	KT835335	KT835349	KT835350	KT835355	KT835365	0	1	1	1	1	1	1	0																							
C/Miyagi/3/99	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Yamagata/18/2008	FALSE	7	2008	-	-	Homo sapiens	-	Japan	Yamagata	LC123359	LC123461	LC123563	0	LC123790	LC123857	LC125021	1	1	1	0	1	1	1																							
CaenHE2	FALSE	1	2005	-	-	-	-	France	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Yamagata/34/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512511	0	0	0	0	0	0	1	0	0	0																							
C/Melbourne/1/2011	FALSE	1	2011	SEP	6	Homo sapiens	throat swab	Australia	NULL	0	0	0	JQ045710	0	0	0	0	0	0	1	0	0	0																							
Yamagata/10/81	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/England/83	FALSE	6	-	-	-	Homo sapiens	-	-	NULL	D78387	D78388	D78386	0	D78431	AB000725	0	1	1	1	0	1	2	0																							
C/Yamagata/13/2014	FALSE	7	2014	-	-	Homo sapiens	-	Japan	Yamagata	LC123374	LC123476	LC123578	0	LC123804	LC123872	LC125036	1	1	1	0	1	1	1																							
C/Catalonia/1430/2009	FALSE	1	2009	SEP	28	Homo sapiens	nasopharyngeal swab	Spain	Catalonia	0	0	0	HM748632	0	0	0	0	0	0	1	0	0	0																							
C/Thailand/B12983_HE_gene/2015	FALSE	1	2015	SEP	25	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	MK480592	0	0	0	0	0	0	1	0	0	0																							
C/Minnesota/24/2015	FALSE	2	2015	APR	14	Homo sapiens	-	USA	Minnesota	0	0	0	CY239459	0	CY239460	0	0	0	0	1	0	1	0																							
Taylor/1233/47	FALSE	2	-	-	-	-	-	-	NULL	0	0	0	0	0	D26546	D00028	0	0	0	0	0	1	1																							
C/Miyagi/2/92	FALSE	9	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
