strain_id	complete	seq_count	cg_subtype	hn_subtype	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession	segment8_accession	segment_1_counts	segment_2_counts	segment_3_counts	segment_4_counts	segment_5_counts	segment_6_counts	segment_7_counts	segment_8_counts
A/chicken/East Java/UT6020/2006	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2006	-	-	Gallus gallus	-	Indonesia	East Java	GQ122552	GQ122553	GQ122554	GQ122555	GQ122556	GQ122557	GQ122558	GQ122559	1	1	1	1	1	1	1	1
A/Indonesia/CDC523T/2006	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2006	MAR	23	Homo sapiens	gender:F; age:1; Throat Swab	Indonesia	NULL	CY014383	CY014382	CY014381	CY014376	CY014379	CY014378	CY014377	CY014380	1	1	1	1	1	1	1	1
A/house crow/Hong Kong/719/2007(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	-	-	Corvidae sp.	-	China	NULL	CY036066	CY036067	CY036068	CY036069	CY036070	CY036071	CY036072	CY036073	1	1	1	1	1	1	1	1
A/chicken/Wuxi/WX-32/2013	TRUE	16	A5|D1|A12|H5|A8|N1|A|A	H5N1	2013	APR	1	Gallus gallus	cloacal swab	China	Wuxi	KJ907604	KJ907605	KJ907606	KJ907607	KJ907608	KJ907609	KJ907610	KJ907611	1	1	1	1	1	1	1	1
A/Cambodia/V0417301/2011	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2011	APR	16	Homo sapiens	-	Cambodia	Prey Veng	JN588928	JN588913	JN588898	JN588808	JN588865	JN588859	JN588829	JN588881	1	1	1	1	1	1	1	1
A/chicken/Jalgaon/12419/2006	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2006	FEB	18	Gallus gallus	liver and trachea	India	NULL	FJ010997	FJ010998	FJ010999	FJ010993	FJ010992	FJ010996	FJ010994	FJ010995	1	1	1	1	1	1	1	1
A/Muscovy duck/Vietnam/HU10-1139/2018	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2018	-	-	Cairina moschata	-	Viet Nam	NULL	LC497238	LC497239	LC497240	LC497241	LC497242	LC497243	LC497244	LC497245	1	1	1	1	1	1	1	1
A/chicken/Nigeria/16VIR5840-8/2015	TRUE	16	A5|D1|A12|H5|A8|N1|A|A	H5N1	2015	JAN	21	Gallus gallus	-	Nigeria	NULL	MF112261	MF112360	MF112457	MF112549	MF112649	MF112749	MF112849	MF113019	1	1	1	1	1	1	1	1
A/goose/Shantou/4885/2001(H5N1)	TRUE	8	A3|D1|A5|H5|A8|N1|A|A	H5N1	2001	-	-	Anser sp.	-	China	NULL	CY029053	CY029054	CY029055	CY028932	CY029056	CY029057	CY029058	CY029059	1	1	1	1	1	1	1	1
A/chicken/West Bengal/162642/2009	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2009	FEB	15	Gallus gallus	-	India	West Bengal	GU083650	GU083651	GU083652	GU083653	GU083654	GU083655	GU083656	GU083657	1	1	1	1	1	1	1	1
A/Indonesia/UT3006/2005	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2005	-	-	Homo sapiens	-	Indonesia	NULL	JX235396	JX235397	JX235398	JX235399	JX235400	JX235401	JX235402	JX235403	1	1	1	1	1	1	1	1
A/duck/Cambodia/D3PV/2006	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2006	AUG	7	Anseriformes sp.	-	Cambodia	Prey Veng Province	HQ200479	HQ200478	HQ200480	HQ200475	HQ200481	HQ200476	HQ200477	HQ200482	1	1	1	1	1	1	1	1
A/poultry/Benin/21-A-08-035-O/2021	TRUE	8	A5|D1|A12|H5|A8|N1|A|A	H5N1	2021	SEP	1	Environment	Oral-pharyngeal	Benin	NULL	ON870419	ON870418	ON870417	ON870413	ON870415	ON943072	ON870414	ON870416	1	1	1	1	1	1	1	1
A/swan/Mangystau/3/2006	TRUE	8	A3|D1|A12|H5|A8|N1|A|B	H5N1	2006	MAR	20	Anseriformes sp.	nasal swab	Kazakhstan	Mangystau Oblast	MK779137	MK779136	MK779135	FJ436942	MK779134	FJ436943	MK779133	JF262041	1	1	1	1	1	1	1	1
A/swine/Guangxi/592/2011	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2011	FEB	27	Sus scrofa	tracheal swab	China	NULL	KM027996	KM027997	KM027998	KM027999	KM028000	KM028001	KM028002	KM028003	1	1	1	1	1	1	1	1
A/chicken/Viet Nam/8/2005	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2005	-	-	Gallus gallus	-	Viet Nam	NULL	CY016858	CY016857	CY016856	CY016851	CY016854	CY016853	CY016852	CY016855	1	1	1	1	1	1	1	1
A/chicken/Ca Mau/1180/2006	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2006	DEC	27	Gallus gallus	-	Viet Nam	NULL	JX420203	JX420204	JX420205	JX420206	JX420207	JX420208	JX420209	JX420210	1	1	1	1	1	1	1	1
A/chicken/Shantou/9/2002(H5N1)	TRUE	8	A3|D1|A5|H5|A8|N1|A|A	H5N1	2002	-	-	Gallus gallus	-	China	NULL	CY029102	CY029103	CY029104	CY028939	CY029105	CY029106	CY029107	CY029108	1	1	1	1	1	1	1	1
A/environment/Cambodia/C425D/2011	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2011	APR	26	-	water	Cambodia	Phnom Penh	JQ673591	JQ673595	JQ673599	JQ673603	JQ673610	JQ673614	JQ673618	JQ673622	1	1	1	1	1	1	1	1
A/chicken/Viet Nam/HU12-666/2019	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2019	AUG	30	Gallus gallus	Swabs of poultry	Viet Nam	NULL	MT106927	MT106928	MT106929	MT106930	MT106931	MT106932	MT106933	MT106934	1	1	1	1	1	1	1	1
A/chicken/Hong Kong/409.1/2002	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2002	-	-	Gallus gallus	-	China	NULL	GU186679	GU186678	GU186677	GU186672	GU186675	GU186674	GU186673	GU186676	1	1	1	1	1	1	1	1
A/duck/Vietnam/34/2007(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	-	-	Anseriformes sp.	-	Viet Nam	NULL	CY029644	CY029645	CY029646	CY029647	CY029648	CY029649	CY029650	CY029651	1	1	1	1	1	1	1	1
A/Vietnam/UT3062/2004	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2004	JAN	16	Homo sapiens	throat swab	Viet Nam	NULL	HM114502	HM114503	HM114504	HM114505	HM114506	HM114507	HM114508	HM114509	1	1	1	1	1	1	1	1
A/chicken/Egypt/07118-NLQP/2007	TRUE	21	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	MAR	1	Gallus gallus	oropharyngeal swabs	Egypt	NULL	KR732534	KR732477	KR732399	GQ184214	KR732570	KR732467	KR732480	KR732446	1	2	1	2	1	2	1	1
A/Thailand/NBL1/2006	TRUE	88	A3|D1|A12|H5|A8|N1|A|A	H5N1	2006	AUG	10	Homo sapiens	fecal specimen	Thailand	NULL	GQ466181	MG668913	MG668914	MG668923	KJ907471	MG668925	KJ907481	MG668935	7	7	7	7	7	7	7	7
A/chicken/France/150169a/2015	TRUE	8	A5|D1|A12|H5|A8|N1|A|A	H5N1	2015	NOV	19	Gallus gallus	-	France	NULL	KU310444	KU310445	KU310446	KU310447	KU310448	KU310449	KU310450	KU310451	1	1	1	1	1	1	1	1
A/magpie/Korea/Y:S-M1/2004	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2004	-	-	Corvidae sp.	-	South Korea	NULL	GU052456	GU052455	GU052454	GU052449	GU052452	GU052451	GU052450	GU052453	1	1	1	1	1	1	1	1
A/duck/Cambodia/46W2M4/2013	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2013	JAN	9	Anseriformes sp.	-	Cambodia	Kampong Cham	KF001423	KF001424	KF001425	KF001426	KF001427	KF001428	KF001429	KF001430	1	1	1	1	1	1	1	1
A/chicken/Bangladesh/15083/2012	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2012	JAN	18	Gallus gallus	-	Bangladesh	NULL	KF888519	KF888520	KF888521	KF888522	KF888523	KF888524	KF888525	KF888526	1	1	1	1	1	1	1	1
A/chicken/Hunan/23/2002(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2002	-	-	Gallus gallus	-	China	NULL	CY029263	CY029264	CY029265	CY028962	CY029266	CY029267	CY029268	CY029269	1	1	1	1	1	1	1	1
A/common buzzard/Hong Kong/9213/2007(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	-	-	Buteo buteo	-	China	NULL	CY036218	CY036219	CY036220	CY036221	CY036222	CY036223	CY036224	CY036225	1	1	1	1	1	1	1	1
A/chicken/Indonesia/CDC25/2005	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2005	OCT	4	Gallus gallus	-	Indonesia	NULL	CY014182	CY014183	CY014184	CY014185	CY014186	CY014187	CY014188	CY014189	1	1	1	1	1	1	1	1
A/chicken/Shantou/5738/2001(H5N1)	TRUE	8	A3|D1|A5|H5|A8|N1|A|A	H5N1	2001	-	-	Gallus gallus	-	China	NULL	CY029088	CY029089	CY029090	CY028937	CY029091	CY029092	CY029093	CY029094	1	1	1	1	1	1	1	1
A/chicken/Vietnam/NCVD-20/2007(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	-	-	Gallus gallus	-	Viet Nam	NULL	CY030380	CY030381	CY030382	CY030383	CY030384	CY030385	CY030386	CY030387	1	1	1	1	1	1	1	1
A/environment/Hong Kong/674.15/2002	TRUE	8	A3|D1|A7|H5|A8|N1|A|A	H5N1	2002	-	-	-	live bird market	China	NULL	GU186687	GU186686	GU186685	GU186680	GU186683	GU186682	GU186681	GU186684	1	1	1	1	1	1	1	1
A/chicken/Shantou/4059/2002(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2002	-	-	Gallus gallus	-	China	NULL	CY029179	CY029180	CY029181	CY028950	CY029182	CY029183	CY029184	CY029185	1	1	1	1	1	1	1	1
A/house crow/Hong Kong/1203/2007(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	-	-	Corvidae sp.	-	China	NULL	CY036098	CY036099	CY036100	CY036101	CY036102	CY036103	CY036104	CY036105	1	1	1	1	1	1	1	1
A/chicken/Vietnam/HU3-1317/2015	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2015	-	-	Gallus gallus	-	Viet Nam	NULL	LC167731	LC167732	LC167733	LC167734	LC167735	LC167736	LC167737	LC167738	1	1	1	1	1	1	1	1
A/swine/Banten/UT6001/2006	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2006	-	-	Sus scrofa	-	Indonesia	NULL	HM440090	HM440089	HM440088	HM440083	HM440086	HM440085	HM440084	HM440087	1	1	1	1	1	1	1	1
A/ruddy turnstone/Delaware Bay/105/2007	TRUE	16	B9|E1|A10|H5|A11|N1|B|A	H5N1	2007	MAY	22	Arenaria interpres	-	USA	NULL	MH578726	MH613313	MH578718	MH578700	MH578650	MH578774	MH579054	MH579068	1	1	1	1	1	1	1	1
A/duck/Soc Trang/31/2007	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	-	-	Anseriformes sp.	-	Viet Nam	NULL	JX420123	JX420124	JX420125	JX420126	JX420127	JX420128	JX420129	JX420130	1	1	1	1	1	1	1	1
A/duck/Bangladesh/19097/2013	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2013	FEB	14	Anseriformes sp.	-	Bangladesh	NULL	KF874284	KF874285	KF874286	KF715205	KF874287	KF715206	KF874288	KF874289	1	1	1	1	1	1	1	1
A/duck/Vietnam/LBM132/2012	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2012	MAR	7	Anas platyrhynchos	-	Viet Nam	NULL	AB742260	AB742261	AB742262	AB742263	AB742264	AB742265	AB742266	AB742267	1	1	1	1	1	1	1	1
A/chicken/Uthaithani/NIAH115067/2008	TRUE	16	A3|D1|A12|H5|A8|N1|A|A	H5N1	2008	-	-	Gallus gallus	-	Thailand	NULL	FJ750819	FJ750818	FJ750817	FJ743696	FJ750815	FJ868035	FJ750813	FJ750816	2	2	2	2	2	2	2	2
A/environment/Maryland/06OS1175/2006	TRUE	8	B4|E1|A11|H5|A11|N1|B|A	H5N1	2006	AUG	2	Environment	-	USA	Maryland	CY190138	CY190137	CY190136	CY190131	CY190134	CY190133	CY190132	CY190135	1	1	1	1	1	1	1	1
A/hooded crane/Kagoshima/110214-3/2011	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2011	-	-	Grus monacha	-	Japan	Kagoshima	AB760276	AB760277	AB760278	AB760279	AB760280	AB760281	AB760282	AB760283	1	1	1	1	1	1	1	1
A/magpie robin/Hong Kong/1097/2008(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2008	-	-	Copsychus saularis	-	China	NULL	CY036250	CY036251	CY036252	CY036253	CY036254	CY036255	CY036256	CY036257	1	1	1	1	1	1	1	1
A/muscovy duck/Quang Ninh/48c1-4-1/2013	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2013	-	-	Cairina moschata	-	Viet Nam	NULL	LC010709	LC010710	LC010711	LC010712	LC010713	LC010714	LC010715	LC010716	1	1	1	1	1	1	1	1
A/Egypt/MOH-NRC-8434/2014	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2014	DEC	27	Homo sapiens	-	Egypt	NULL	KX247639	KX247640	KX247641	KR063683	KX247642	KX247643	KX247644	KX247645	1	1	1	1	1	1	1	1
A/crow/India/01CA15/2012	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2012	JAN	9	Corvidae sp.	-	India	NULL	KT285322	KT285323	KT285324	KT285325	KT285326	KT285327	KT285328	KT285329	1	1	1	1	1	1	1	1
A/chicken/Cambodia/TKCMB1F/2010	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2010	JAN	28	Gallus gallus	-	Cambodia	Takeo	JN588934	JN588919	JN588905	JN588817	JN588873	JN588847	JN588835	JN588889	1	1	1	1	1	1	1	1
A/Indonesia/CDC582/2006	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2006	APR	26	Homo sapiens	gender:M; age:30; Nasal Swab	Indonesia	NULL	CY014391	CY014390	CY014389	CY014384	CY014387	CY014386	CY014385	CY014388	1	1	1	1	1	1	1	1
A/duck/Vietnam/NCVD-0193/2012	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2012	DEC	17	Anseriformes sp.	-	Viet Nam	NULL	KY171565	KY171566	KY171567	KY171568	KY171569	KY171570	KY171571	KY171572	1	1	1	1	1	1	1	1
A/Indonesia/CDC370E/2006	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2006	FEB	10	Homo sapiens	gender:M; age:23; ETT wash	Indonesia	NULL	CY014359	CY014358	CY014357	CY014210	CY014248	CY014232	CY014223	CY014262	1	1	1	1	1	1	1	1
A/ruddy turnstone/New Jersey/AI07-699/2007	TRUE	8	B9|E1|A10|H5|A11|N1|B|A	H5N1	2007	AUG	10	Arenaria interpres	-	USA	Cook's Beach, Cape May county, NJ	CY144754	CY144753	CY144752	CY144747	CY144750	CY144749	CY144748	CY144751	1	1	1	1	1	1	1	1
A/chicken/Xinjiang/68/2005	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2005	-	-	Gallus gallus	-	China	Xinjiang	HM172447	HM172392	HM172348	HM172106	HM172256	HM172192	HM172145	HM172299	1	1	1	1	1	1	1	1
A/mallard/California/2535P/2011	TRUE	8	B10|E1|A10|H5|A11|N1|B|A	H5N1	2011	AUG	12	Anas platyrhynchos	-	USA	Solano County, CA	CY133988	CY133987	CY133986	CY133981	CY133984	CY133983	CY133982	CY133985	1	1	1	1	1	1	1	1
A/chicken/Giza/CAI22/2008	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2008	JUN	30	Gallus gallus	-	Egypt	Giza	CY126215	CY126214	CY126213	CY126208	CY126211	CY126210	CY126209	CY126212	1	1	1	1	1	1	1	1
A/chicken/Bangladesh/NRL-AI-2109/2017	TRUE	8	A5|D1|A12|H5|A8|N1|A|A	H5N1	2017	APR	3	Gallus gallus	Oropharyngeal swab	Bangladesh	Dhaka	MN994092	MN994093	MN994094	MN994095	MN994096	MN994097	MN994098	MN994099	1	1	1	1	1	1	1	1
A/duck/Bangladesh/43411/2020	TRUE	8	A5|D1|A12|H5|A8|N1|A|A	H5N1	2020	FEB	19	Anas sp.	Oral-pharyngeal	Bangladesh	NULL	MW466381	MW466380	MW466379	MW466376	MW466382	MW466383	MW466378	MW466377	1	1	1	1	1	1	1	1
A/Vietnam/UT31312II/2007	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	JUL	26	Homo sapiens	-	Viet Nam	NULL	HM114574	HM114575	HM114576	HM114577	HM114578	HM114579	HM114580	HM114581	1	1	1	1	1	1	1	1
A/chicken/Egypt/06553-NLQP/2006	TRUE	10	A3|D1|A12|H5|A8|N1|A|A	H5N1	2006	MAR	21	Gallus gallus	oropharyngeal swabs	Egypt	NULL	KR732472	JX080693	KR732498	KR732525	KR732532	KR732463	KR732486	KR732546	1	2	1	1	1	2	1	1
A/duck/Lao/961/2010	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2010	-	-	Anseriformes sp.	-	Laos	NULL	CY098379	CY098380	CY098381	CY098382	CY098383	CY098384	CY098385	CY098386	1	1	1	1	1	1	1	1
A/chicken/Vietnam/NCVD-398/2010	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2010	-	-	Gallus gallus	-	Viet Nam	NULL	KR732513	KR732458	KR732413	KR732425	KR732576	KR732427	KR732461	KR732572	1	1	1	1	1	1	1	1
A/hooded crane/Kagoshima/4612J003/2010	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2010	-	-	Grus monacha	-	Japan	Kagoshima	AB760260	AB760261	AB760262	AB760263	AB760264	AB760265	AB760266	AB760267	1	1	1	1	1	1	1	1
A/duck/Korea/JEQ149/2008	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2008	APR	6	Anseriformes sp.	-	South Korea	NULL	GQ412037	GQ412043	GQ412049	GQ412052	GQ412061	GQ412067	GQ412073	GQ412079	1	1	1	1	1	1	1	1
A/chicken/Vietnam/NCVD14-A501/2014	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2014	AUG	11	Gallus gallus	-	Viet Nam	NULL	KY171212	KY171213	KY171214	KY171215	KY171216	KY171217	KY171218	KY171219	1	1	1	1	1	1	1	1
A/chicken/Bangladesh/12VIR-7140-15/2012	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2012	APR	5	Gallus gallus	-	Bangladesh	NULL	KC616602	KC616584	KC616566	KC616476	KC616530	KC616512	KC616494	KC616548	1	1	1	1	1	1	1	1
A/chicken/East Java/UT6044/2007	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	-	-	Gallus gallus	-	Indonesia	East Java	GQ122532	GQ122533	GQ122534	GQ122402	GQ122422	GQ122535	GQ122536	GQ122537	1	1	1	1	1	1	1	1
A/duck/Vietnam/NCVD-2727/2013	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2013	JAN	23	Anseriformes sp.	-	Viet Nam	NULL	KY171427	KY171428	KY171429	KY171430	KY171431	KY171432	KY171433	KY171434	1	1	1	1	1	1	1	1
A/mandarin duck/Korea/Q2/2011	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2011	-	-	Aix galericulata	-	South Korea	NULL	JN807901	JN807921	JN807968	JN807992	JN808016	JN808050	JN808069	JN808107	1	1	1	1	1	1	1	1
A/duck/Bangladesh/31095/2016	TRUE	8	A5|D1|A12|H5|A8|N1|A|A	H5N1	2016	OCT	24	Anas sp.	-	Bangladesh	NULL	MG042230	MG042214	MG042374	MG042099	MG042147	MG042293	MG042190	MG042229	1	1	1	1	1	1	1	1
A/duck/Bangladesh/21326/2013	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2013	NOV	24	Anseriformes sp.	-	Bangladesh	NULL	KT362009	KT362010	KT362011	KT362012	KT362013	KT362014	KT362015	KT362016	1	1	1	1	1	1	1	1
A/muscovy duck/Vietnam/LBM230/2012	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2012	-	-	Cairina moschata	-	Viet Nam	Northern Vietnam	AB786697	AB786698	AB786699	AB786700	AB786701	AB786702	AB786703	AB786704	1	1	1	1	1	1	1	1
A/duck/Vietnam/NCVD-12/2007(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	-	-	Anseriformes sp.	-	Viet Nam	NULL	CY030324	CY030325	CY030326	CY030327	CY030328	CY030329	CY030330	CY030331	1	1	1	1	1	1	1	1
A/chicken/Vietnam/202/2005	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2005	DEC	5	Gallus gallus	-	Viet Nam	NULL	EU930899	EU930898	EU930897	EU930892	EU930895	EU930894	EU930893	EU930896	1	1	1	1	1	1	1	1
A/duck/Bangladesh/25887/2015	TRUE	8	A5|D1|A12|H5|A8|N1|A|A	H5N1	2015	JUL	10	Anas sp.	-	Bangladesh	NULL	KY635551	KY635730	KY635535	KY635814	KY635539	KY635809	KY635452	KY635513	1	1	1	1	1	1	1	1
A/duck/Bangladesh/31992/2017	TRUE	16	A5|D1|A12|H5|A8|N1|A|A	H5N1	2017	FEB	15	Anas sp.	-	Bangladesh	NULL	MG957550	MG957629	MG957615	MG957528	MG957538	MG957522	MG957603	MG957561	1	1	1	1	1	1	1	1
A/chicken/India/CA0302/2011	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2011	MAR	6	Gallus gallus	Carcass	India	Tripura	CY092127	CY092128	CY092129	CY089474	CY092130	CY089475	CY092131	CY092132	1	1	1	1	1	1	1	1
A/chicken/Giza/CAI6/2008	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2008	JUL	1	Gallus gallus	-	Egypt	Giza	CY126127	CY126126	CY126125	CY126120	CY126123	CY126122	CY126121	CY126124	1	1	1	1	1	1	1	1
A/duck/Bangladesh/40524/2019	TRUE	8	A5|D1|A12|H5|A8|N1|A|A	H5N1	2019	JUL	11	Anas sp.	Oral-pharyngeal	Bangladesh	NULL	MT090458	MT090455	MT090454	MT090453	MT090459	MT090457	MT090460	MT090456	1	1	1	1	1	1	1	1
A/duck/Bangladesh/31297/2016	TRUE	8	A5|D1|A12|H5|A8|N1|A|A	H5N1	2016	NOV	25	Anas platyrhynchos	-	Bangladesh	NULL	MG042281	MG042092	MG042119	MG042220	MG042340	MG042466	MG042141	MG042315	1	1	1	1	1	1	1	1
A/environment/Maryland/1152/2006	TRUE	16	B4|E1|A11|H5|A11|N1|B|A	H5N1	2006	AUG	2	Environment	fresh fecal sample found amongst mallard population	USA	Maryland	CY081347	JF758676	JF758674	JF758670	CY081343	JF758675	CY081341	CY081344	2	2	2	2	2	2	2	2
A/Muscovy duck/Vietnam/HU3-579/2015	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2015	-	-	Cairina moschata	-	Viet Nam	NULL	LC167547	LC167548	LC167549	LC167550	LC167551	LC167552	LC167553	LC167554	1	1	1	1	1	1	1	1
A/duck/Egypt/Q2645C/2010	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2010	DEC	26	Anseriformes sp.	-	Egypt	NULL	KF881660	KF881661	KF881662	CY099581	KF881663	KF881664	KF881665	KF881666	1	1	1	1	1	1	1	1
A/chicken/West Bengal/82583/2008	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2008	JAN	12	Gallus gallus	-	India	Purulia	CY080384	CY080385	CY080386	CY080387	CY080388	CY080389	CY080390	CY080391	1	1	1	1	1	1	1	1
A/duck/Vietnam/NCVD-13/2007(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	-	-	Anseriformes sp.	-	Viet Nam	NULL	CY030332	CY030333	CY030334	CY030335	CY030336	CY030337	CY030338	CY030339	1	1	1	1	1	1	1	1
A/Indonesia/CDC644/2006	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2006	MAY	30	Homo sapiens	gender:M; age:15; Throat Swab	Indonesia	NULL	CY014520	CY014513	CY014519	CY014518	CY014516	CY014515	CY014514	CY014517	1	1	1	1	1	1	1	1
A/chestnut munia/Hong Kong/2442/2007(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	-	-	Lonchura atricapilla	-	China	NULL	CY036138	CY036139	CY036140	CY036141	CY036142	CY036143	CY036144	CY036145	1	1	1	1	1	1	1	1
A/chicken/Cameroon/16VIR3791-22/2016	TRUE	16	A5|D1|A12|H5|A8|N1|A|A	H5N1	2016	JUN	1	Gallus gallus	-	Cameroon	NULL	KY926768	KY926769	KY926770	KY926771	KY926772	KY926773	KY926774	KY926775	1	1	1	1	1	1	1	1
A/Duck/Egypt/S75-P10-du/2019	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2019	-	-	Anseriformes sp.	oropharyngeal swabs	Egypt	NULL	MW063641	MW063640	MW063639	MW063636	MW063638	MW063637	MW063643	MW063642	1	1	1	1	1	1	1	1
A/ferret/Indonesia/5-F5/2005	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	-	-	-	Mustela furo	-	-	NULL	CY116675	CY116676	CY116677	CY116678	CY116679	CY116680	CY116681	CY116682	1	1	1	1	1	1	1	1
A/chicken/Sleman/04141596/2014	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2014	-	-	Gallus gallus	tissue	Indonesia	Yogyakarta	KY614829	KY614830	KY614831	KY614832	KY614833	KY614834	KY614835	KY614836	1	1	1	1	1	1	1	1
A/chicken/Nigeria/16VIR5840-20/2015	TRUE	16	A5|D1|A12|H5|A8|N1|A|A	H5N1	2015	FEB	4	Gallus gallus	-	Nigeria	NULL	MF112273	MF112372	MF112469	MF112561	MF112661	MF112761	MF112861	MF112958	1	1	1	1	1	1	1	1
A/Cambodia/S1211394/2008	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2008	DEC	11	Homo sapiens	-	Cambodia	NULL	JN588923	HQ200601	JN588893	HQ200596	HQ200599	HQ200598	HQ200597	HQ200600	1	1	1	1	1	1	1	1
A/duck/Ha Tinh/07-53/2007	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	-	-	Anseriformes sp.	-	Viet Nam	NULL	GU050435	GU050434	GU050433	GU050428	GU050431	GU050430	GU050429	GU050432	1	1	1	1	1	1	1	1
A/duck/Vietnam/6/2007(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	-	-	Anseriformes sp.	-	Viet Nam	NULL	CY029588	CY029589	CY029590	CY029591	CY029592	CY029593	CY029594	CY029595	1	1	1	1	1	1	1	1
