sequenceID	source.name	rec_segment	gb_segment	gb_subtype	gb_lineage	rec_subtype	rec_lineage	gb_year	gb_month	gb_day	gb_country	length	pubmed_id	full_name	gb_lab_host	gb_host	isolate	gb_source	
CY018769	ibv-ncbi-refseqs-seg8	8	8	Yamagata				1988			Japan	1045		Influenza B virus (B/Yamagata/16/1988)	Egg 20 passage(s)	Homo sapiens	Influenza B virus (B/Yamagata/16/1988)		
CQ903172	ibv-ncbi-refseqs-seg1	1		Yamagata								2396		Influenza B virus					
CQ903172	ibv-ncbi-refseqs-seg2	1		Yamagata								2396		Influenza B virus					
CQ903173	ibv-ncbi-refseqs-seg1	2		Yamagata								2368		Influenza B virus					
CQ903173	ibv-ncbi-refseqs-seg2	2		Yamagata								2368		Influenza B virus					
CQ903174	ibv-ncbi-refseqs-seg3	3		Yamagata								2307		Influenza B virus					
CQ903175	ibv-ncbi-refseqs-seg4	4		Yamagata	Yamagata							1882		Influenza B virus					
M10298	ibv-ncbi-refseqs-seg4	4		Yamagata	Yamagata							1783	6083660	Influenza B virus					
CQ903177	ibv-ncbi-refseqs-seg5	5		Yamagata								1841		Influenza B virus					
CQ903176	ibv-ncbi-refseqs-seg6	6		Yamagata								1557		Influenza B virus					
CQ903178	ibv-ncbi-refseqs-seg7	7		Yamagata								1191		Influenza B virus					
CQ903179	ibv-ncbi-refseqs-seg8	8		Yamagata								1096		Influenza B virus					
