sequenceID	source.name	rec_segment	gb_segment	gb_subtype	rec_subtype	gb_year	gb_month	gb_day	gb_country	length	pubmed_id	full_name	gb_lab_host	gb_host	isolate	gb_source
KM015497	idv-ncbi-refseqs-seg7	7	7	D/OK		2014	APR	2	China	868	25142163	Influenza D virus (D/bovine/Shandong/Y125/2014)		Bos taurus	D/bovine/Shandong/Y125/2014	
KM015498	idv-ncbi-refseqs-seg1	1	1	D/OK		2014	APR	2	China	2364	25142163	Influenza D virus (D/bovine/Shandong/Y127/2014)		Bos taurus	D/bovine/Shandong/Y127/2014	
KM015499	idv-ncbi-refseqs-seg2	2	2	D/OK		2014	APR	2	China	2330	25142163	Influenza D virus (D/bovine/Shandong/Y127/2014)		Bos taurus	D/bovine/Shandong/Y127/2014	
KM015500	idv-ncbi-refseqs-seg3	3	3	D/OK		2014	APR	2	China	2195	25142163	Influenza D virus (D/bovine/Shandong/Y127/2014)		Bos taurus	D/bovine/Shandong/Y127/2014	
KM015501	idv-ncbi-refseqs-seg4	4	4	D/OK	D/OK	2014	APR	2	China	2049	25142163	Influenza D virus (D/bovine/Shandong/Y127/2014)		Bos taurus	D/bovine/Shandong/Y127/2014	
KM015502	idv-ncbi-refseqs-seg5	5	5	D/OK		2014	APR	2	China	1775	25142163	Influenza D virus (D/bovine/Shandong/Y127/2014)		Bos taurus	D/bovine/Shandong/Y127/2014	
KM015503	idv-ncbi-refseqs-seg6	6	6	D/OK		2014	APR	2	China	1219	25142163	Influenza D virus (D/bovine/Shandong/Y127/2014)		Bos taurus	D/bovine/Shandong/Y127/2014	
KM015504	idv-ncbi-refseqs-seg7	7	7	D/OK		2014	APR	2	China	868	25142163	Influenza D virus (D/bovine/Shandong/Y127/2014)		Bos taurus	D/bovine/Shandong/Y127/2014	
KM015505	idv-ncbi-refseqs-seg1	1	1	D/OK		2014	APR	2	China	2364	25142163	Influenza D virus (D/bovine/Shandong/Y217/2014)		Bos taurus	D/bovine/Shandong/Y217/2014	
KM015506	idv-ncbi-refseqs-seg2	2	2	D/OK		2014	APR	2	China	2330	25142163	Influenza D virus (D/bovine/Shandong/Y217/2014)		Bos taurus	D/bovine/Shandong/Y217/2014	
KM015507	idv-ncbi-refseqs-seg3	3	3	D/OK		2014	APR	2	China	2195	25142163	Influenza D virus (D/bovine/Shandong/Y217/2014)		Bos taurus	D/bovine/Shandong/Y217/2014	
KM015508	idv-ncbi-refseqs-seg4	4	4	D/OK	D/OK	2014	APR	2	China	2049	25142163	Influenza D virus (D/bovine/Shandong/Y217/2014)		Bos taurus	D/bovine/Shandong/Y217/2014	
KM015509	idv-ncbi-refseqs-seg5	5	5	D/OK		2014	APR	2	China	1775	25142163	Influenza D virus (D/bovine/Shandong/Y217/2014)		Bos taurus	D/bovine/Shandong/Y217/2014	
KM015510	idv-ncbi-refseqs-seg6	6	6	D/OK		2014	APR	2	China	1219	25142163	Influenza D virus (D/bovine/Shandong/Y217/2014)		Bos taurus	D/bovine/Shandong/Y217/2014	
KM015511	idv-ncbi-refseqs-seg7	7	7	D/OK		2014	APR	2	China	868	25142+L181163	Influenza D virus (D/bovine/Shandong/Y217/2014)		Bos taurus	D/bovine/Shandong/Y217/2014	
KM392482	idv-ncbi-refseqs-seg1	1	1	D/660		2011	JUN	1	USA	2364		Influenza D virus (D/bovine/Texas/3-13/2011)		Bos taurus	D/bovine/Texas/3-13/2011	
KM392483	idv-ncbi-refseqs-seg2	2	2	D/660		2011	JUN	1	USA	2330		Influenza D virus (D/bovine/Texas/3-13/2011)		Bos taurus	D/bovine/Texas/3-13/2011	
KM392484	idv-ncbi-refseqs-seg3	3	3	D/660		2011	JUN	1	USA	2195		Influenza D virus (D/bovine/Texas/3-13/2011)		Bos taurus	D/bovine/Texas/3-13/2011	
KM392485	idv-ncbi-refseqs-seg4	4	4	D/660	D/660	2011	JUN	1	USA	2049		Influenza D virus (D/bovine/Texas/3-13/2011)		Bos taurus	D/bovine/Texas/3-13/2011	
KM392486	idv-ncbi-refseqs-seg5	5	5	D/660		2011	JUN	1	USA	1775		Influenza D virus (D/bovine/Texas/3-13/2011)		Bos taurus	D/bovine/Texas/3-13/2011	
KM392487	idv-ncbi-refseqs-seg6	6	6	D/660		2011	JUN	1	USA	1219		Influenza D virus (D/bovine/Texas/3-13/2011)		Bos taurus	D/bovine/Texas/3-13/2011	
KM392488	idv-ncbi-refseqs-seg7	7	7	D/660		2011	JUN	1	USA	868		Influenza D virus (D/bovine/Texas/3-13/2011)		Bos taurus	D/bovine/Texas/3-13/2011	
LC318665	idv-ncbi-refseqs-seg1	1	1	D/Yama2016		2016			Japan	2364	29321324	Influenza D virus (D/bovine/Yamagata/10710/2016)		Bos taurus	D/bovine/Yamagata/10710/2016	
LC318666	idv-ncbi-refseqs-seg2	2	2	D/Yama2016		2016			Japan	2331	29321324	Influenza D virus (D/bovine/Yamagata/10710/2016)		Bos taurus	D/bovine/Yamagata/10710/2016	
LC318667	idv-ncbi-refseqs-seg3	3	3	D/Yama2016		2016			Japan	2195	29321324	Influenza D virus (D/bovine/Yamagata/10710/2016)		Bos taurus	D/bovine/Yamagata/10710/2016	
LC318668	idv-ncbi-refseqs-seg4	4	4	D/Yama2016	D/Yama2016	2016			Japan	2049	29321324	Influenza D virus (D/bovine/Yamagata/10710/2016)		Bos taurus	D/bovine/Yamagata/10710/2016	
LC318669	idv-ncbi-refseqs-seg5	5	5	D/Yama2016		2016			Japan	1775	29321324	Influenza D virus (D/bovine/Yamagata/10710/2016)		Bos taurus	D/bovine/Yamagata/10710/2016	
LC318670	idv-ncbi-refseqs-seg6	6	6	D/Yama2016		2016			Japan	1219	29321324	Influenza D virus (D/bovine/Yamagata/10710/2016)		Bos taurus	D/bovine/Yamagata/10710/2016	
LC318671	idv-ncbi-refseqs-seg7	7	7	D/Yama2016		2016			Japan	868	29321324	Influenza D virus (D/bovine/Yamagata/10710/2016)		Bos taurus	D/bovine/Yamagata/10710/2016	
KX768824	idv-ncbi-refseqs-seg1	1	1	D/OK		2016			Italy	2364	28916759	Influenza D virus (D/swine/Italy/173287-4/2016)		Sus scrofa	D/swine/Italy/173287-4/2016	
KX768825	idv-ncbi-refseqs-seg2	2	2	D/OK		2016			Italy	2330	28916759	Influenza D virus (D/swine/Italy/173287-4/2016)		Sus scrofa	D/swine/Italy/173287-4/2016	
KX768826	idv-ncbi-refseqs-seg3	3	3	D/OK		2016			Italy	2195	28916759	Influenza D virus (D/swine/Italy/173287-4/2016)		Sus scrofa	D/swine/Italy/173287-4/2016	
KX768827	idv-ncbi-refseqs-seg4	4	4	D/OK	D/OK	2016			Italy	2049	28916759	Influenza D virus (D/swine/Italy/173287-4/2016)		Sus scrofa	D/swine/Italy/173287-4/2016	
KX768828	idv-ncbi-refseqs-seg5	5	5	D/OK		2016			Italy	1775	28916759	Influenza D virus (D/swine/Italy/173287-4/2016)		Sus scrofa	D/swine/Italy/173287-4/2016	
KX768829	idv-ncbi-refseqs-seg6	6	6	D/OK		2016			Italy	1219	28916759	Influenza D virus (D/swine/Italy/173287-4/2016)		Sus scrofa	D/swine/Italy/173287-4/2016	
KX768830	idv-ncbi-refseqs-seg7	7	7	D/OK		2016			Italy	868	28916759	Influenza D virus (D/swine/Italy/173287-4/2016)		Sus scrofa	D/swine/Italy/173287-4/2016	
KT592530	idv-ncbi-refseqs-seg1	1	1	D/OK		2015			Italy	2364	26812282	Influenza D virus (D/swine/Italy/199724-3/2015)		Sus scrofa	D/swine/Italy/199724-3/2015	
KT592531	idv-ncbi-refseqs-seg2	2	2	D/OK		2015			Italy	2330	26812282	Influenza D virus (D/swine/Italy/199724-3/2015)		Sus scrofa	D/swine/Italy/199724-3/2015	
KT592532	idv-ncbi-refseqs-seg3	3	3	D/OK		2015			Italy	2195	26812282	Influenza D virus (D/swine/Italy/199724-3/2015)		Sus scrofa	D/swine/Italy/199724-3/2015	
KT592533	idv-ncbi-refseqs-seg4	4	4	D/OK	D/OK	2015			Italy	2049	26812282	Influenza D virus (D/swine/Italy/199724-3/2015)		Sus scrofa	D/swine/Italy/199724-3/2015	
KT592534	idv-ncbi-refseqs-seg5	5	5	D/OK		2015			Italy	1775	26812282	Influenza D virus (D/swine/Italy/199724-3/2015)		Sus scrofa	D/swine/Italy/199724-3/2015	
KT592535	idv-ncbi-refseqs-seg6	6	6	D/OK		2015			Italy	1219	26812282	Influenza D virus (D/swine/Italy/199724-3/2015)		Sus scrofa	D/swine/Italy/199724-3/2015	
KT592536	idv-ncbi-refseqs-seg7	7	7	D/OK		2015			Italy	868	26812282	Influenza D virus (D/swine/Italy/199724-3/2015)		Sus scrofa	D/swine/Italy/199724-3/2015	
KX768831	idv-ncbi-refseqs-seg1	1	1	D/OK		2015			Italy	2364	28916759	Influenza D virus (D/swine/Italy/254578/2015)		Sus scrofa	D/swine/Italy/254578/2015	
KX768832	idv-ncbi-refseqs-seg2	2	2	D/OK		2015			Italy	2330	28916759	Influenza D virus (D/swine/Italy/254578/2015)		Sus scrofa	D/swine/Italy/254578/2015	
KX768833	idv-ncbi-refseqs-seg3	3	3	D/OK		2015			Italy	2195	28916759	Influenza D virus (D/swine/Italy/254578/2015)		Sus scrofa	D/swine/Italy/254578/2015	
KX768834	idv-ncbi-refseqs-seg4	4	4	D/OK	D/OK	2015			Italy	2049	28916759	Influenza D virus (D/swine/Italy/254578/2015)		Sus scrofa	D/swine/Italy/254578/2015	
KX768835	idv-ncbi-refseqs-seg5	5	5	D/OK		2015			Italy	1775	28916759	Influenza D virus (D/swine/Italy/254578/2015)		Sus scrofa	D/swine/Italy/254578/2015	
KX768836	idv-ncbi-refseqs-seg6	6	6	D/OK		2015			Italy	1219	28916759	Influenza D virus (D/swine/Italy/254578/2015)		Sus scrofa	D/swine/Italy/254578/2015	
KX768837	idv-ncbi-refseqs-seg7	7	7	D/OK		2015			Italy	868	28916759	Influenza D virus (D/swine/Italy/254578/2015)		Sus scrofa	D/swine/Italy/254578/2015	
KX768817	idv-ncbi-refseqs-seg1	1	1	D/OK		2015			Italy	2364	28916759	Influenza D virus (D/swine/Italy/268344-2/2015)		Sus scrofa	D/swine/Italy/268344-2/2015	
KX768818	idv-ncbi-refseqs-seg2	2	2	D/OK		2015			Italy	1654	28916759	Influenza D virus (D/swine/Italy/268344-2/2015)		Sus scrofa	D/swine/Italy/268344-2/2015	
KX768819	idv-ncbi-refseqs-seg3	3	3	D/OK		2015			Italy	2213	28916759	Influenza D virus (D/swine/Italy/268344-2/2015)		Sus scrofa	D/swine/Italy/268344-2/2015	
KX768820	idv-ncbi-refseqs-seg4	4	4	D/OK	D/OK	2015			Italy	2049	28916759	Influenza D virus (D/swine/Italy/268344-2/2015)		Sus scrofa	D/swine/Italy/268344-2/2015	
KX768821	idv-ncbi-refseqs-seg5	5	5	D/OK		2015			Italy	1729	28916759	Influenza D virus (D/swine/Italy/268344-2/2015)		Sus scrofa	D/swine/Italy/268344-2/2015	
KX768822	idv-ncbi-refseqs-seg6	6	6	D/OK		2015			Italy	1220	28916759	Influenza D virus (D/swine/Italy/268344-2/2015)		Sus scrofa	D/swine/Italy/268344-2/2015	
KX768823	idv-ncbi-refseqs-seg7	7	7	D/OK		2015			Italy	874	28916759	Influenza D virus (D/swine/Italy/268344-2/2015)		Sus scrofa	D/swine/Italy/268344-2/2015	
KX768838	idv-ncbi-refseqs-seg1	1	1	D/OK		2015			Italy	2364	28916759	Influenza D virus (D/swine/Italy/354017/2015)		Sus scrofa	D/swine/Italy/354017/2015	
KX768839	idv-ncbi-refseqs-seg2	2	2	D/OK		2015			Italy	2330	28916759	Influenza D virus (D/swine/Italy/354017/2015)		Sus scrofa	D/swine/Italy/354017/2015	
KX768840	idv-ncbi-refseqs-seg3	3	3	D/OK		2015			Italy	2195	28916759	Influenza D virus (D/swine/Italy/354017/2015)		Sus scrofa	D/swine/Italy/354017/2015	
KX768841	idv-ncbi-refseqs-seg4	4	4	D/OK	D/OK	2015			Italy	2052	28916759	Influenza D virus (D/swine/Italy/354017/2015)		Sus scrofa	D/swine/Italy/354017/2015	
KX768842	idv-ncbi-refseqs-seg5	5	5	D/OK		2015			Italy	1775	28916759	Influenza D virus (D/swine/Italy/354017/2015)		Sus scrofa	D/swine/Italy/354017/2015	
KX768843	idv-ncbi-refseqs-seg6	6	6	D/OK		2015			Italy	1219	28916759	Influenza D virus (D/swine/Italy/354017/2015)		Sus scrofa	D/swine/Italy/354017/2015	
KX768844	idv-ncbi-refseqs-seg7	7	7	D/OK		2015			Italy	868	28916759	Influenza D virus (D/swine/Italy/354017/2015)		Sus scrofa	D/swine/Italy/354017/2015	
MK054181	idv-ncbi-refseqs-seg1	1	1	D/660		2017	NOV	1	USA	2319		Influenza D virus		Sus scrofa	D/swine/Kentucky/17TOSU1262/2017	nasal swab
MK054182	idv-ncbi-refseqs-seg2	2	2	D/660		2017	NOV	1	USA	2262		Influenza D virus		Sus scrofa	D/swine/Kentucky/17TOSU1262/2017	nasal swab
MK054180	idv-ncbi-refseqs-seg3	3	3	D/660		2017	NOV	1	USA	2133		Influenza D virus		Sus scrofa	D/swine/Kentucky/17TOSU1262/2017	nasal swab
MK054184	idv-ncbi-refseqs-seg4	4	4	D/660	D/660	2017	NOV	1	USA	1995		Influenza D virus		Sus scrofa	D/swine/Kentucky/17TOSU1262/2017	nasal swab
MK054178	idv-ncbi-refseqs-seg5	5	5	D/660		2017	NOV	1	USA	1659		Influenza D virus		Sus scrofa	D/swine/Kentucky/17TOSU1262/2017	nasal swab
MK054183	idv-ncbi-refseqs-seg6	6	6	D/660		2017	NOV	1	USA	1164		Influenza D virus		Sus scrofa	D/swine/Kentucky/17TOSU1262/2017	nasal swab
MK054179	idv-ncbi-refseqs-seg7	7	7	D/660		2017	NOV	1	USA	732		Influenza D virus		Sus scrofa	D/swine/Kentucky/17TOSU1262/2017	nasal swab
NC_036616	idv-ncbi-refseqs-seg1	1	1	D/OK		2011	MAR	21	USA	2364	23408893	Influenza D virus (D/swine/Oklahoma/1334/2011)		Sus scrofa	D/swine/Oklahoma/1334/2011	
NC_036615	idv-ncbi-refseqs-seg2	2	2	D/OK		2011	MAR	21	USA	2330	23408893	Influenza D virus (D/swine/Oklahoma/1334/2011)		Sus scrofa	D/swine/Oklahoma/1334/2011	
NC_036619	idv-ncbi-refseqs-seg3	3	3	D/OK		2011	MAR	21	USA	2195	23408893	Influenza D virus (D/swine/Oklahoma/1334/2011)		Sus scrofa	D/swine/Oklahoma/1334/2011	
NC_036618	idv-ncbi-refseqs-seg4	4	4	D/OK	D/OK	2011	MAR	21	USA	2049	23408893	Influenza D virus (D/swine/Oklahoma/1334/2011)		Sus scrofa	D/swine/Oklahoma/1334/2011	
NC_036617	idv-ncbi-refseqs-seg5	5	5	D/OK		2011	MAR	21	USA	1775	23408893	Influenza D virus (D/swine/Oklahoma/1334/2011)		Sus scrofa	D/swine/Oklahoma/1334/2011	
NC_036620	idv-ncbi-refseqs-seg6	6	6	D/OK		2011	MAR	21	USA	1219	23408893	Influenza D virus (D/swine/Oklahoma/1334/2011)		Sus scrofa	D/swine/Oklahoma/1334/2011	
NC_036621	idv-ncbi-refseqs-seg7	7	7	D/OK		2011	MAR	21	USA	868	23408893	Influenza D virus (D/swine/Oklahoma/1334/2011)		Sus scrofa	D/swine/Oklahoma/1334/2011	
LC494105	idv-ncbi-refseqs-seg1	1	1	D/Yama2019		2019			Japan	2319	31855532	Influenza D virus		Bos taurus	D/bovine/Yamagata/1/2019	
LC494106	idv-ncbi-refseqs-seg2	2	2	D/Yama2019		2019			Japan	2262	31855532	Influenza D virus		Bos taurus	D/bovine/Yamagata/1/2019	
LC494107	idv-ncbi-refseqs-seg3	3	3	D/Yama2019		2019			Japan	2133	31855532	Influenza D virus		Bos taurus	D/bovine/Yamagata/1/2019	
LC494108	idv-ncbi-refseqs-seg4	4	4	D/Yama2019	D/Yama2019	2019			Japan	1995	31855532	Influenza D virus		Bos taurus	D/bovine/Yamagata/1/2019	
LC494109	idv-ncbi-refseqs-seg5	5	5	D/Yama2019		2019			Japan	1659	31855532	Influenza D virus		Bos taurus	D/bovine/Yamagata/1/2019	
LC494110	idv-ncbi-refseqs-seg6	6	6	D/Yama2019		2019			Japan	1164	31855532	Influenza D virus		Bos taurus	D/bovine/Yamagata/1/2019	
LC494111	idv-ncbi-refseqs-seg7	7	7	D/Yama2019		2019			Japan	820	31855532	Influenza D virus		Bos taurus	D/bovine/Yamagata/1/2019	
